@relation mydataframe
@attribute nm numeric
@attribute nf numeric
@attribute la numeric
@attribute lt numeric
@attribute fix numeric
@attribute npt numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {'1','0'}
@data
1,3,0.09362,480.666667,1,0.666667,133.5,129,'1'
1,1,0,398,1,1,140,137,'1'
3,52,0.183477,283.519231,0,0.75,818.65,978,'0'
1,8,0.016039,514.375,1,1,479.25,550,'0'
2,38,0.091829,366.815789,1,0.763158,313.25,405,'0'
1,16,0.018308,583.75,1,0.75,495.25,566,'0'
2,33,0.095682,403.484848,0,0.727273,448.25,540,'0'
2,33,0.095682,403.484848,1,0.727273,382.25,474,'0'
2,9,0.086558,218.222222,0,0.555556,24,24,'0'
2,8,0.080952,393.75,1,0.875,90.5,169,'1'
2,3,0.079208,168.333333,1,0.333333,659,644,'1'
2,10,0.013782,544.2,1,0.6,21,20,'1'
4,63,6.2e-05,256.253968,1,0.603175,336,363,'0'
2,3,0.115809,181.333333,1,0.333333,54,54,'1'
2,41,0.028489,288.512195,0,0.731707,609.25,701,'0'
3,21,0.009292,466.333333,0,0.714286,190.25,286,'0'
2,12,0.508086,185.5,0,0.5,221.166667,409,'0'
3,22,0.058697,379.454545,0,0.863636,645.25,737,'0'
2,38,0.018813,244.789474,0,0.763158,533.25,625,'0'
1,1,0.025641,39,1,1,824.6,939,'0'
2,2,0.003236,309,1,0.5,192.566667,549,'1'
2,7,0.006195,761,1,0.571429,79,78,'1'
2,4,0.007243,621.25,1,0.5,29,29,'1'
2,3,0.008721,229.333333,1,0.666667,237.333333,491,'1'
2,2,0.010381,289,1,0.5,2,2,'1'
2,9,0.124817,608,1,0.555556,397.5,438,'1'
2,7,0.007537,644.428571,0,0.857143,268.5,287,'1'
2,7,0.043266,614.142857,1,0.857143,78,98,'1'
2,38,0.019177,242.894737,1,0.842105,296.5,345,'1'
2,10,0.033937,480.3,1,0.8,10,10,'1'
2,2,0.518987,316,1,0.5,24,24,'1'
2,2,0.008929,224,0,0.5,40.5,48,'0'
2,5,0.303448,203,1,0.6,26.5,34,'1'
2,2,0.027429,875,1,0.5,52,52,'0'
2,2,0.005695,878,1,0.5,50,50,'0'
2,2,0.165173,781,0,0.5,46,46,'0'
2,2,0.123311,592,0,0.5,39,39,'0'
2,2,0.090435,575,1,0.5,37,37,'0'
2,2,0.164948,582,0,0.5,35,35,'0'
2,2,0.508993,556,0,0.5,29,29,'0'
2,2,0.432099,405,0,0.5,27,27,'0'
2,11,0.031333,446.818182,1,0.727273,127,119,'0'
2,36,0.042985,359.944444,0,0.694444,349.25,441,'0'
2,30,0.08832,418.933333,1,0.7,236,244,'0'
2,40,0.072615,349.1,0,0.75,275.25,367,'0'
2,2,0.003155,317,1,0.5,194.583333,555,'0'
2,9,0.027546,625.222222,0,0.777778,120,120,'0'
2,6,0.015772,782,0,0.833333,501,487,'0'
3,12,0.017523,494.583333,0,0.75,477,474,'0'
2,5,0.09063,260.4,0,0.6,364,356,'0'
2,2,0.003145,318,0,0.5,312,307,'0'
2,10,0.019409,541,1,0.9,301,296,'0'
4,21,21,0,0,0.809524,81.166667,108,'0'
1,1,0.017182,291,0,1,37.166667,51,'0'
4,7,0.039246,273,1,1,1006.833333,1718,'0'
2,2,0.023622,254,1,1,605.5,285,'0'
3,5,0.043333,300,1,1,563,546,'1'
2,3,0.221402,180.666667,1,1,484,468,'0'
1,1,0.003774,265,1,1,968,954,'0'
2,3,0.004075,654.333333,1,1,946.166667,1396,'0'
1,1,0.054945,273,1,1,73,22,'1'
1,1,0.181132,265,1,1,63,20,'1'
1,1,0.003663,273,1,1,70,34,'0'
1,1,0.011858,253,1,1,747.5,753,'0'
1,1,0.008333,240,1,1,785.5,641,'0'
1,1,0.029167,240,1,1,10,5,'1'
3,6,0.006858,267.333333,1,1,16.859524,41,'0'
2,5,0.087892,650.8,1,1,249.114286,949,'1'
1,1,0,204,1,1,631.5,431,'0'
1,1,0.040404,198,1,1,312,197,'0'
2,2,0.004343,460.5,1,1,68.5,73,'1'
2,2,0.103806,144.5,1,0.5,343.7,862,'1'
2,3,0.040346,231.333333,1,1,104.583333,114,'1'
1,1,0.006993,143,1,1,160,118,'0'
2,22,0.082759,336.136364,1,0.409091,154,153,'1'
2,2,0.090517,116,1,1,24,24,'1'
1,3,0.013324,500.333333,1,0.333333,22,16,'1'
3,12,0.023182,237.25,1,0.916667,17,17,'1'
1,1,0.375,112,1,1,368,412,'1'
2,7,0.038346,521.571429,0,1,46.166667,61,'0'
1,1,0.004167,240,1,1,969,955,'0'
1,1,0.004167,240,1,1,71,35,'0'
1,2,0.179054,148,1,1,518,260,'1'
2,4,0.061594,483,1,1,222,213,'1'
1,1,0.036649,191,1,1,464,234,'1'
2,3,0.059059,333,1,1,81,79,'1'
1,1,0,222,1,1,73,53,'0'
1,18,0.025619,457.555556,1,0.611111,326,178,'1'
1,2,0.001403,713,1,1,207,116,'0'
2,2,0.0288,312.5,1,0.5,169,163,'1'
3,12,0.009996,383.5,1,0.75,157,151,'1'
2,2,0.020833,216,1,1,26,26,'1'
1,1,0.008547,234,1,1,22,16,'0'
1,1,0.00431,232,1,1,19,13,'1'
1,1,0.038961,231,1,1,45,29,'1'
1,1,0.004444,225,1,1,304,686,'1'
1,1,0.035242,227,1,1,101.5,95,'1'
1,2,0.000929,538.5,1,1,13,13,'0'
1,2,0.004062,615.5,1,0.5,192.1,526,'0'
1,2,0.002435,616,1,1,14.5,16,'1'
1,1,0.004386,228,1,1,1,1,'0'
3,15,0.028754,333.866667,1,0.4,164,178,'1'
2,11,0.02069,382.272727,1,0.454545,61,60,'1'
3,14,0.051572,340.714286,1,0.785714,47,47,'1'
1,1,0.002045,489,1,1,6,6,'1'
2,7,0.01687,457.285714,1,1,27.5,38,'1'
2,6,0.011752,312,1,0.833333,381,459,'1'
1,1,0.002033,492,1,1,648,574,'0'
1,4,0.022472,333.75,1,1,645,571,'1'
1,1,0.00616,487,1,1,253.066667,340,'0'
1,1,0.002058,486,1,1,368.5,368,'1'
1,4,0.040719,945.5,1,0.75,602,539,'1'
2,12,0.043937,569,1,0.833333,598,583,'1'
1,2,0,389.5,1,1,271.583333,300,'0'
1,2,0.05522,579.5,1,1,352,351,'1'
1,3,0.014625,547,1,0.666667,256.083333,279,'1'
1,1,0.005226,574,1,1,431,396,'0'
1,2,0.002843,703.5,1,0.5,338,332,'0'
1,1,0.001748,572,1,1,224.833333,243,'0'
2,5,0.020937,601.8,1,0.4,214.416667,245,'1'
1,3,0.008637,540.333333,1,0.666667,206.416667,227,'1'
3,29,0.048911,458.965517,1,0.793103,245.5,269,'1'
1,1,0.020134,596,1,1,189.083333,211,'0'
1,1,0.015025,599,1,1,176.083333,198,'0'
1,1,0.018519,648,1,1,226,219,'0'
1,1,0.004559,658,1,1,79,96,'1'
1,9,0.008624,554,1,0.888889,199,192,'1'
1,2,0,771.5,1,1,186,179,'0'
1,1,0.00312,641,1,1,12.333333,18,'1'
1,1,0.00156,641,0,1,166.333333,186,'1'
1,7,0.017544,635.142857,1,0.857143,146.333333,163,'1'
1,1,0.036179,691,1,1,121.333333,139,'1'
1,1,0.055474,685,1,1,119.333333,137,'1'
1,1,0.004032,744,1,1,104.333333,124,'0'
1,1,0.001135,881,1,1,283.833333,367,'0'
1,1,0.001135,881,1,1,69.5,81,'1'
1,1,0.031782,881,1,1,68.5,80,'1'
1,2,0.000954,524,1,1,65.5,77,'1'
1,1,0.076747,873,1,1,61.5,73,'1'
1,3,0.041207,574.333333,1,1,60.5,72,'1'
2,9,0.125592,399,1,0.888889,310,381,'1'
1,4,0.185658,1018,1,1,55.5,60,'1'
2,7,0.003639,353.285714,1,0.428571,309,370,'1'
1,5,0.014052,512.4,1,1,30,29,'1'
1,7,0.016013,597.714286,1,0.571429,23,22,'1'
1,2,0.064423,861.5,1,0.5,49,47,'1'
1,6,0.007042,662.666667,1,1,46,44,'1'
1,1,0.001182,846,1,1,4,4,'0'
1,1,0.017815,842,1,1,271,290,'0'
1,1,0.002398,834,1,1,13,13,'0'
1,1,0.001199,834,0,1,12,12,'0'
1,1,0.001199,834,1,1,32,30,'0'
1,1,0.001199,834,1,1,116,108,'0'
1,1,0.010526,855,1,1,102,94,'0'
1,1,0.003529,850,1,1,27.5,35,'0'
1,1,0.009423,849,1,1,154,153,'1'
1,1,0.004728,846,1,1,23.5,31,'0'
1,1,0.003559,843,1,1,77,72,'0'
1,1,0.002375,842,1,1,75,70,'0'
1,1,0.08076,842,1,1,150,149,'1'
1,1,0.013301,827,1,1,74,69,'0'
1,1,0.006061,825,1,1,5.5,6,'1'
1,1,0.003636,825,1,1,20,19,'0'
