@relation mydataframe
@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute fix numeric
@attribute pd numeric
@attribute npt numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {'1','0'}
@data
1,2,0.954434,0.102564,0,53,1,8343.008333,1188,'0'
1,3,0.693298,0.333333,0,24,1,70,70,'0'
1,1,0,0.097345,1,41,1,713.716667,2396,'0'
1,3,0.894836,0.035484,0,97,1,5914.816667,15716,'0'
1,1,0,0.103234,0,8,1,712.283333,1774,'1'
1,2,0.420504,0.154762,0,411,0.833333,673.633333,1715,'1'
1,1,0.185125,0.370588,0,125,1,5276.666667,11409,'1'
1,1,0.109606,1.243478,0,60,1,5285.5,10255,'1'
1,7,0.596058,0.157324,0,856,0.75,4430,6647,'0'
1,1,0,0.076923,0,7,1,4174.5,5751,'0'
1,1,0,0.595745,0,128,1,5347.983333,13758,'1'
1,2,0.922311,0.125604,1,389,1,5670.85,13757,'0'
1,2,0.811278,0.004751,1,142,1,5676.533333,13754,'0'
1,2,1,0.011173,1,6,1,5156.833333,11154,'0'
1,1,0,0.047619,0,47,1,5257.916667,10691,'0'
1,1,0,0.047619,0,19,1,5311.416667,10524,'0'
1,1,0,0.047619,0,1,1,5297.75,10329,'0'
1,1,0,0.052632,0,9,1,5443.333333,8669,'0'
1,1,0,0.037037,0,9,1,4388.5,6605,'0'
1,1,0,0.037037,0,23,1,4158,4891,'0'
1,5,0.725304,0.065445,1,108,1,870.9,2216,'0'
1,1,0.721928,0.091743,1,304,0.5,5725.483333,13752,'0'
1,1,0,0.006135,0,0,1,701.466667,1743,'0'
1,6,0.988109,0.008863,1,598,0.636364,5677.916667,12209,'0'
1,2,0.189427,0.180812,0,206,1,717.5,1621,'0'
1,1,0,0,0,141,1,5317.666667,10250,'0'
2,55,0.923853,2.26442,0,479,0.114035,1078.5,1211,'1'
1,1,0,0.735849,1,17,1,12.866667,1,'0'
2,9,0.521998,0.519704,1,338,0.384615,25.866667,14,'0'
3,5,0.895134,0.360374,1,85,0.8,30.866667,17,'0'
3,28,0,0,0,0,0.009615,6272.622619,215,'0'
1,1,0,0,0,0,1,6917.622619,1,'0'
3,4,0,0,0,0,0.125,8367.008333,684,'0'
1,1,0,0.323529,0,0,1,8367.008333,126,'0'
2,2,0.260863,0.263374,1,0,1,8256.378571,520,'0'
4,5,0,0,0,0,0.2,8253.378571,833,'1'
1,1,0,0.018868,1,0,1,8257.378571,111,'0'
2,2,0,0,0,0,0.333333,8275.378571,783,'0'
3,5,0.561975,0.021505,0,0,0.571429,8353.008333,671,'0'
