@relation mydataframe
@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {'1','0'}
@data
1,1,0.581676,0.065669,1,6,36,1752.666667,3709,'1'
1,1,0,0.002985,0,3,0,7983.5,13391,'0'
1,2,0,0,0,1,7,1508,1508,'1'
1,1,0,0,0,1,458,8025.5,12804,'0'
1,37,0.622239,0.217704,0,1,835,6003,6003,'0'
1,2,0,0.063584,0,1,0,1963,1963,'0'
1,1,0,0.01087,0,1,6,1941,1941,'0'
1,9,0.712136,0.146362,0,1,2202,9460,9460,'0'
1,1,0,0.003859,1,10,10,1289.5,2048,'0'
1,2,0.781666,0.010143,0,10,26,482.985714,1052,'0'
1,1,0.94566,0.00366,0,6,8,2648.233333,4212,'0'
1,1,0.877962,0.049702,0,5,2,723.5,887,'0'
1,2,0.169455,0.02926,0,3,6,8051.5,12929,'1'
1,2,0.106413,0.074468,0,3,2,7802.5,12303,'0'
1,1,0,0.006803,0,1,0,7684,12159,'0'
1,3,0.600562,0.090007,1,3,160,7682,12157,'0'
1,1,0,0.004608,0,1,1,9990,12130,'0'
1,2,0.863121,0.008837,0,1,3,10752,10752,'0'
1,5,0.908951,0.013636,0,1,86,9910,9910,'0'
1,3,0.645076,0.012999,0,1,45,9721,9721,'0'
1,6,0.856485,0.008755,0,6,136,4494.333333,17768,'0'
1,1,0,0.00177,0,2,318,8189.833333,14518,'0'
1,37,0.851037,1.395643,0,1,15598,1456,1456,'1'
1,21,0,0,0,1,0,363,363,'1'
1,1,0,0,0,1,70,9926,9926,'0'
1,2,0.307457,0.130709,0,1,15,9830,9830,'0'
1,1,0,0.125,0,6,388,924,971,'0'
1,1,0,0.078431,1,1,67,10777,10777,'0'
1,1,0,0.025641,0,10,12,823.547619,3201,'0'
1,1,0,0.016736,0,8,80,842.476191,3200,'0'
1,1,0,0.017778,0,8,25,31,31,'0'
1,1,0,0.0069,0,10,85,836.178571,3193,'0'
1,1,0,0.020408,0,6,17,685.954762,2300,'0'
1,1,0.740386,0.020963,0,11,147,684.954762,2299,'0'
1,2,0.756834,0.133929,0,11,913,2833.178319,113,'0'
1,1,0,0.018072,0,8,99,679.138095,2289,'0'
1,2,0.811278,0.001422,0,11,52,680.554762,2288,'0'
1,1,0,0.02766,0,8,12,675.554762,2283,'0'
1,1,0,0.007123,1,11,24,1582.42619,5683,'0'
1,1,0,0.000168,0,12,9,27,27,'0'
1,2,0.768043,0.02289,0,12,778,674.571429,2281,'0'
1,1,0,0.002132,0,11,2,665.619048,2272,'0'
1,1,0,0.009901,0,2,65,664.619048,2271,'0'
1,1,0,0.444444,0,7,57,830.840476,3161,'0'
1,1,0,0.028606,0,9,1,800.607143,3130,'0'
1,1,0,0.000746,0,8,3,26,26,'0'
1,1,0,0.00713,0,15,0,163,441,'0'
1,2,0.897482,0.034146,0,7,35,658.909524,2262,'0'
1,5,0.930623,0.017351,0,12,1056,655.909524,2259,'0'
1,1,0,0.031847,0,8,6,643.290476,2246,'0'
1,1,0,0.003279,1,8,54,311.025652,1579,'0'
1,1,0,0.052356,0,7,21,644.554762,2244,'0'
1,1,0,0.004329,0,8,255,639.97381,2239,'0'
1,1,0,0.014797,1,7,204,309.960337,1576,'0'
1,1,0,0.20743,0,2,76,816.609524,3118,'0'
1,1,0,0.052154,0,9,2,815.609524,3117,'0'
1,2,0.927926,0.036842,0,13,59,164,439,'0'
1,1,0,0.067757,0,9,110,815.709524,3115,'0'
1,1,0,0.005742,1,11,3,313.545924,1575,'0'
1,1,0,0.053274,1,10,131,312.545924,1574,'0'
1,3,0.825234,0.011141,0,13,208,253.730952,762,'0'
1,1,0,0.144068,0,8,344,2569.618398,108,'0'
1,2,0.787258,0.051282,0,9,573,644.021429,2232,'0'
1,1,1,0.004399,0,7,6,644.873809,2228,'0'
1,1,0,0.044776,0,8,533,819.733333,3109,'0'
1,1,0,0.003516,0,11,14,640.990476,2224,'0'
1,1,0.985228,0.019231,1,10,0,314.746465,1573,'0'
1,1,0,0.020809,0,10,16,2433.983683,22439,'0'
1,1,0,0.434783,1,5,286,307.746465,1566,'0'
1,1,0,0.030159,0,1,336,2567.988456,106,'0'
1,1,0,0.04698,0,9,24,162.5,435,'0'
1,2,0.485461,0.032819,0,11,237,252.302381,757,'0'
1,1,0,0.003442,0,4,106,589.690476,2163,'0'
1,1,0,0.008036,0,15,1,588.690476,2162,'0'
