@relation mydataframe
@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute pd numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {'1','0'}
@data
1,3,0.994911,0.159684,0.096443,74.411765,1,1377,715,17,'0'
1,4,0.874002,0.090802,0.071934,212,1,117,2809.466667,1076,'1'
1,1,0,0.008929,0.089286,336,1,2,4256.970238,3790,'0'
3,15,0.816872,0.877167,0.877167,85.7875,0,6526,1152,1179,'1'
1,1,0.777333,0.064397,0.156394,181.166667,0,2885,1326.607143,85,'0'
1,1,0.714332,0.114846,0.211685,312.375,0,2214,1314.607143,73,'0'
1,1,0.455257,0.242059,0.172095,276.333333,0,1708,1539.933333,42,'0'
1,1,0,0,0,272.111111,0,0,964.583333,9,'0'
1,1,0,0.003448,0.003448,580,0,233,1785.269048,51,'0'
1,1,0,0.003448,0.003448,580,0,231,1785.935714,50,'0'
1,10,0,0,0,0,0,0,535,99,'0'
1,1,0.78969,0.006821,0.001364,244.333333,0,717,1433.134524,64,'0'
1,1,0,0.003448,0.003448,580,0,231,1784.935714,49,'0'
1,1,0.666326,0.13797,0.196123,438.5,0,758,1378,29,'0'
1,1,0,0.054614,0.062147,531,0,3,982.5,16,'0'
1,1,0,0.029963,0,534,0,0,970.583333,15,'0'
1,1,0.767919,0.15503,0.106102,606.333333,0,0,969.583333,14,'0'
1,1,0,0,0,0,0,233,1795.269048,61,'0'
1,1,0,0.001721,0.001721,581,0,67,1284.465476,65,'0'
1,1,0,0.055556,0.055556,18,0,168,1869.083333,48,'0'
1,1,0.689328,0.160435,0.100805,704.333333,0,0,1542.933333,45,'0'
1,1,0.713195,0.173701,0.108225,616,0,0,1382,33,'0'
1,1,0.696212,0.029886,0.008368,836.5,0,0,966.583333,11,'0'
1,1,0.498267,0.159021,0.098733,381.5,0,0,1320.607143,79,'0'
1,1,0,0.000812,0.000812,1231,0,3,898.916667,101,'0'
1,1,0,0,0,0,0,3437,1795.269048,61,'0'
1,1,0.619382,0.00677,0.002031,738.5,0,0,1544.933333,47,'0'
1,1,0,0.555556,0.055556,18,0,0,1379,30,'0'
1,1,0,0.5,0,18,0,0,899.916667,102,'0'
1,1,0,0.055556,0.055556,18,0,3,897.916667,100,'0'
1,10,0,0,0,55.080808,0,0,1168,99,'0'
1,2,0.154951,0.373219,0.198006,351,1,233,2632.2,285,'1'
1,1,0,0.034483,1.137931,29,1,44,2517.566667,245,'0'
1,1,0,0,0,82.8,0,0,402,11,'0'
1,1,0.259783,0.020725,0.001727,72.375,0,116,132,17,'0'
1,2,1,0.075,0.075,26.666667,0,220,2883.27381,377,'0'
2,2,0.928362,0.020756,0.002965,674.5,1,344,19,7,'0'
1,5,0.172335,0.079404,0.114144,21.210526,0,131,261,207,'0'
2,2,0.965636,0.012876,0.011803,466,1,17,2405.7,657,'1'
1,1,0,0,0,233,1,0,2735.630952,2766,'0'
2,6,0.951427,0.012511,0.012079,289.75,1,59,2543.523413,2491,'0'
1,1,0,0,0.055556,6,1,63,4269.687698,464,'0'
1,1,0,0.054366,0.016474,607,1,23,2333.383333,273,'0'
1,1,0,0,0,26,0,138,748,24,'0'
1,2,0.990225,0.060606,0.084175,148.5,1,36,427.5,292,'1'
2,2,0.995727,0.030899,0.005618,178,1,11,2219.666667,1491,'0'
1,1,0,0.001377,0.001377,726,0,4,1868.333333,183,'1'
1,1,0,0.12963,0,54,1,7,1828.666667,175,'0'
2,4,0.904788,0.045494,0.003433,291.25,1,50,1559.5,867,'0'
1,1,0,0.049091,0.018182,550,1,0,1142.5,88,'1'
1,1,0,0.006623,0.006623,151,1,22,3,1,'0'
2,2,0.976021,0.01002,0.004676,748.5,1,28,2931.27381,2513,'0'
1,1,0,0.145455,0.036364,55,1,86,2712.1,320,'0'
1,1,0,0,0,0,0,0,227,186,'0'
1,1,0,0,0,0,0,0,283,219,'0'
1,1,0,0,0,176.333333,0,0,264,210,'0'
1,1,0,0,0,0,0,0,227,186,'0'
1,2,0,0,0,0,0,0,227,186,'0'
