@relation mydataframe
@attribute ev.g. numeric
@attribute iv.g. numeric
@attribute l numeric
@attribute d numeric
@attribute i numeric
@attribute t numeric
@attribute lOComment numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute bug {'1','0'}
@data
1.4,1.4,1.3,1.3,1.3,1.3,2,2,2,'0'
1,1,1,1,1,1,1,1,1,'1'
1,3,0.11,9.5,32.54,163.15,0,6,0,'0'
4,2,0.06,16,13.47,191.55,0,3,0,'0'
6,2,0.06,17.33,19.97,333.31,0,3,0,'0'
6,2,0.06,17.33,19.97,333.31,0,3,0,'0'
1,1,0.5,2,17.43,3.87,0,1,0,'0'
1,2,0.16,6.43,14.62,33.58,0,7,0,'0'
5,5,0.07,14.25,38.51,434.49,16,13,0,'0'
3,1,0.04,22.3,61.1,1687.66,35,22,0,'0'
5,1,0.05,20.76,41.24,987.39,28,16,0,'0'
1,1,0.11,9,15.9,71.53,4,4,0,'0'
5,1,0.04,28.12,27.4,1203.31,17,23,0,'0'
5,1,0.04,27.22,17.45,718.32,17,23,0,'0'
1,2,0.04,27.5,47.41,1991.81,15,40,0,'0'
1,2,0.07,15.2,43.1,553.22,20,23,0,'0'
1,1,0.11,9.15,29.61,137.83,5,8,0,'0'
1,1,0.25,4,13.88,12.33,1,2,0,'0'
1,2,0.09,11.65,64.01,482.5,0,19,0,'0'
1,1,0.25,4,13.88,12.33,1,0,0,'0'
1,1,0.08,12,8.79,70.32,0,1,0,'0'
1,1,0.23,4.38,11.07,11.77,0,0,0,'0'
1,1,0.21,4.88,22.65,29.9,0,0,0,'0'
1,1,0.07,14.14,12.09,134.33,0,1,0,'0'
1,1,0.07,14.67,14.67,175.37,0,1,0,'0'
1,1,0.33,3,13,6.5,0,0,0,'0'
1,1,0.4,2.5,7.86,2.73,0,0,0,'0'
1,1,0.05,19.62,18.87,403.39,30,7,0,'0'
1,1,0.02,42.02,79.18,7766.59,95,33,0,'0'
6,23,0.02,54.82,101.81,16996.03,31,134,0,'0'
1,3,0.07,15,12.36,154.56,5,9,0,'0'
27,46,0.01,97.73,157.03,83315.8,191,164,0,'0'
7,10,0.03,32.21,60.5,3487.09,48,27,0,'0'
1,1,0.04,22.83,116.21,3364.78,10,4,0,'0'
1,3,0.1,10.29,34.17,201.16,0,5,0,'0'
3,3,0.05,21.86,24.71,655.71,5,7,0,'0'
1,3,0.14,7.18,36.19,103.77,24,16,0,'0'
1,4,0.09,11.03,26.75,180.76,8,15,0,'0'
1,6,0.08,12.89,53.31,491.82,44,42,0,'0'
1,3,0.07,14.11,48.49,536.07,16,19,0,'0'
4,4,0.07,13.42,28.43,284.5,10,19,0,'0'
1,4,0.04,23.1,30.61,907.34,19,15,0,'0'
1,2,0.04,24.42,25.62,849,18,13,0,'0'
1,3,0.03,39.72,27.08,2373.13,20,14,0,'0'
4,6,0.05,21.19,94.51,2357.02,32,26,0,'0'
3,8,0.07,15.19,108.84,1394.86,34,17,0,'0'
1,1,0.14,7,25.9,70.51,3,3,0,'0'
1,4,0.13,7.89,54.3,187.94,2,12,0,'0'
1,1,0.38,2.67,11.58,4.57,2,0,0,'0'
1,7,0.07,14.23,114.37,1285.77,28,39,0,'0'
1,10,0.04,24.9,214.24,7379.91,31,77,0,'0'
1,4,0.13,7.64,51.3,166.19,23,55,0,'0'
1,2,0.05,18.78,68.36,1339.83,8,12,0,'0'
1,5,0.06,17.21,57.28,942.4,47,40,0,'0'
1,5,0.13,7.85,30.19,103.24,20,13,0,'0'
1,1,0.18,5.5,28.75,48.32,6,7,0,'0'
1,1,0.07,15,31.67,395.83,8,7,0,'0'
1,1,0.27,3.75,10.63,8.3,6,3,0,'0'
1,3,0.07,14.57,36.74,433.33,2,9,0,'0'
1,5,0.05,19.25,54.44,1120.71,12,12,0,'0'
5,5,0.07,14.84,54.55,667.2,9,23,0,'0'
1,3,0.1,10.26,30.24,176.95,3,3,0,'0'
1,3,0.1,10.26,30.24,176.95,3,3,0,'0'
1,1,0.09,11,8.88,59.69,0,3,0,'0'
1,1,0.29,3.5,16.39,11.15,4,0,0,'0'
1,2,0.05,20.78,27.4,657.21,17,6,0,'0'
1,1,0.08,12.89,35.6,328.84,11,8,0,'0'
5,8,0.04,26.83,48.89,1955.01,8,17,0,'0'
1,1,0.06,15.65,59.87,815.07,39,14,0,'0'
4,2,0.04,22.85,21.82,632.97,14,10,0,'0'
1,1,0.02,53.2,58.73,9234.21,13,22,0,'0'
1,1,0.04,24.28,37.54,1229.25,11,10,0,'0'
1,1,0.14,7.07,36.78,102.16,0,0,0,'0'
1,5,0.05,22.12,97.85,2659.81,14,39,0,'0'
1,1,0.16,6.13,20.41,42.54,2,5,0,'0'
1,3,0.11,9,39.8,179.1,6,9,0,'0'
1,2,0.16,6.11,23.34,48.42,4,4,0,'0'
