@relation mydataframe
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
0,3,19,0,3,2,104,0.5,0,0,0.666667,0,33,0.6667,'0'
0,6,14,3,2,3,52,0,0,0.96875,0.555556,1,16.333333,1.6667,'0'
0,15,39,19,12,8,344,0.25,1,0,0.228571,0,32.6,1.1,'0'
0,17,118,72,15,17,1066,0.916667,1,0.616667,0.185185,3,42.916667,1.7083,'1'
0,3,22,44,2,5,156,1,1,0,0.261905,0,11.416667,1.25,'0'
0,10,61,135,10,16,504,1,0,0.672727,0.378947,1,24.789474,1.9474,'0'
0,3,7,1,3,2,23,0,0,0.969697,1,0,10.5,0.5,'0'
0,4,6,0,3,3,30,1,0,0.818182,0.666667,0,8.666667,1,'0'
2,22,77,149,20,16,1164,1,4,0.777778,0.142857,3,48.913043,2.3043,'0'
0,11,38,2,10,8,224,1,0,0.731707,0.197917,2,17.5,1.8333,'1'
0,2,8,0,0,1,1082,0,0,0,0.666667,0,153.285714,0.8571,'0'
0,13,97,116,13,16,895,1,0,0.7625,0.19,4,42.85,0.95,'1'
0,8,23,0,3,8,148,1,1,0,0.288889,0,14.888889,1.3333,'0'
0,5,7,1,4,3,29,1,0,0.818182,0.666667,0,8.333333,0.6667,'0'
0,31,65,303,4,26,634,1,0,0,0.17734,0,20.033333,2.2333,'1'
0,7,11,3,3,3,37,0,0,0.969697,1,2,11.333333,1.3333,'0'
0,15,109,395,13,13,929,0.555556,4,0.517241,0.211207,1,29.666667,1.9667,'0'
0,9,29,0,8,5,187,1,0,0.823529,0.375,2,22,1.125,'0'
0,17,73,14,16,4,432,1,5,0.708333,0.275,1,46.444444,0.7778,'1'
0,15,88,201,15,19,541,1,1,0.627119,0.144928,2,22.043478,2.1304,'0'
0,16,1,0,1,1,1,0,0,0,1,0,0,1,'0'
0,51,102,301,13,24,1238,0.5,1,0.526316,0.121839,2,40.2,2.6333,'0'
0,6,26,0,5,5,172,1,0,0.823529,0.375,2,20.125,1.125,'0'
0,3,10,0,3,3,32,1,0,0.948718,0.666667,0,9.333333,0.6667,'0'
0,1,8,0,1,6,43,1,1,0,0.666667,0,6,0.8333,'0'
0,9,28,3,8,2,155,0,0,0.92,1,1,50.666667,4,'1'
0,11,34,68,7,12,199,1,0,0.837838,0.292308,2,14.153846,2.1538,'0'
0,10,23,0,5,8,198,0.5,0,0.844444,0.35,1,23,2.25,'0'
0,9,22,0,5,6,105,0.5,0,0.883721,0.333333,2,16.166667,1.6667,'0'
0,4,21,3,4,1,144,1,0,0.960784,1,2,46.666667,3.3333,'0'
0,5,15,4,5,5,90,1,0,0.902439,0.533333,0,16.4,0.8,'0'
0,3,3,3,1,3,3,0,0,0,0.666667,0,0,1,'0'
0,0,3,1,0,2,7,0,0,0.909091,0.75,1,2.5,0.5,'0'
0,3,17,0,1,3,204,1,0,0,0.666667,0,65.666667,1,'0'
