@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
3,0,7,0,7,4,0.25,43,0.36,1,2,7.4,1,'0'
1,0,3,4,2,3,0.666667,17,0.5,0,0,3,1,'0'
4,0,26,144,26,13,0.842105,433,0.197368,4,5,20.3,3,'0'
2,0,8,3,6,2,2,165,0.666667,1,3,54,15,'1'
1,0,25,22,3,6,0.571429,176,0.25,0,0,20.875,1,'1'
1,0,6,3,2,3,2,3,1,0,0,0,1,'0'
1,0,0,0,0,0,2,9,1,0,0,3,0,'0'
1,0,9,15,7,6,2,46,0.333333,0,0,6.666667,4,'1'
1,0,0,0,0,0,2,0,0,0,0,0,0,'0'
1,0,7,6,7,3,2,22,0.375,0,0,4.5,1,'0'
1,0,11,45,10,9,2,52,0.15,0,0,4.2,1,'1'
3,0,10,25,10,7,0.222222,165,0.3,2,3,15.4,3,'0'
2,0,13,201,13,21,0.918182,266,0.176768,1,1,10.130435,1,'0'
4,0,18,22,18,7,0.142857,141,0.3125,0,0,16.5,1,'0'
3,0,3,6,3,8,0.4375,82,0.416667,1,2,7.888889,3,'1'
1,2,8,3,6,2,2,96,0.533333,0,0,31,3,'0'
4,0,6,5,5,8,0.527778,168,0.25,2,2,15.4,3,'1'
2,0,7,26,7,1,0.571429,415,0.390625,1,1,50.75,8,'0'
1,0,17,6,6,4,2,53,0.45,0,0,12.25,5,'0'
1,0,3,1,2,2,2,17,0.666667,0,0,7.5,2,'0'
1,0,6,61,5,14,0.830769,81,0.297619,0,0,4.428571,1,'0'
1,0,8,62,6,11,0.72,184,0.229167,0,0,10.1875,4,'0'
4,17,66,6,0,4,1.333333,21,0.666667,0,0,4,0,'0'
1,0,4,1,2,6,0.6,50,0.5,0,0,7,2,'0'
1,0,3,3,2,3,2,127,0.666667,0,0,41.333333,13,'0'
2,0,11,25,11,8,0.766667,73,0.25,0,0,5.363636,1,'1'
1,0,2,1,1,2,2,2,1,0,0,0,1,'0'
3,0,2,1,1,3,0.5,15,0.666667,0,0,3.666667,1,'1'
2,0,6,3,4,3,2,10,0.555556,0,0,2.333333,1,'1'
1,0,6,10,4,4,2,60,0.45,0,0,11,2,'0'
1,0,17,528,6,33,2,33,0.387205,0,0,0,1,'1'
1,0,5,3,4,3,2,3,0.777778,0,0,0,1,'0'
1,0,32,0,32,3,0.633333,204,0.416667,0,0,27.428571,1,'0'
2,0,13,0,12,3,0.464286,294,0.371429,1,1,35.25,2,'1'
1,0,5,3,5,3,2,19,0.533333,0,0,5.333333,1,'0'
3,0,14,7,14,5,0.35,416,0.25,0,0,36.636364,11,'0'
4,0,5,1,3,1,2,24,0.666667,1,1,11,1,'1'
1,0,9,0,5,1,2,1,1,0,0,0,1,'0'
1,0,4,0,3,4,0,39,0.583333,0,0,8.5,1,'1'
3,13,22,30,8,10,0.5,114,0.22619,1,3,8.333333,2,'0'
3,0,21,59,13,13,0.641026,208,0.261538,1,3,13.642857,3,'0'
4,8,13,0,2,3,0.833333,39,0.625,0,0,8.25,1,'1'
4,0,8,3,8,1,2,49,0.666667,2,2,15.333333,1,'0'
1,0,7,0,0,1,2,1,1,0,0,0,1,'0'
1,1,3,0,2,1,0,44,0.75,1,1,20,2,'0'
0,0,21,9,19,3,0.4,309,0.457143,0,0,50.333333,4,'0'
1,0,2,0,1,1,2,7,1,0,0,6,0,'0'
2,0,8,15,8,7,0.722222,45,0.357143,1,20,5,1,'0'
1,0,9,0,7,2,0.5,61,0.666667,0,0,18.666667,1,'0'
1,1,15,45,11,12,0.714286,171,0.35,0,0,9.933333,3,'0'
1,0,0,0,0,1,2,1,1,0,0,0,1,'0'
3,0,9,4,9,2,0.75,36,0.3,0,0,5.6,1,'0'
1,0,7,6,6,4,2,39,0.625,0,0,8.75,1,'0'
3,0,10,8,10,3,0.25,62,0.4,1,3,11.2,1,'0'
1,0,6,3,4,2,2,31,0.333333,0,0,9.333333,1,'0'
