@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
3,0,0,2,6,4,182,1,1,0.833333,0.325,4,42.5,12,'0'
6,0,217,4,7,6,521,0.909091,3,0.96875,0.166008,4,21.173913,8,'1'
2,0,3,5,9,2,71,0,0,0.9,0.6,1,22.666667,1,'0'
1,0,1049,88,23,41,2031,0.222222,1,0,0.118012,0,42.021277,16,'1'
1,0,0,32,1,1,1,0,0,0,1,0,0,1,'0'
1,0,0,5,1,3,218,1,0,0,0.333333,0,51.75,62,'1'
2,0,1,1,7,1,50,0,0,0.947368,0.625,1,24,1,'0'
5,0,74,23,21,14,785,1,5,0.970282,0.206349,1,36.095238,29,'1'
6,0,20,4,4,1,121,0.666667,1,0.991111,0.5,12,13.75,1,'0'
1,11,9,31,1,6,45,1,1,0,0.583333,0,6.333333,1,'0'
6,0,51,5,13,1,497,1,1,0.980938,0.5,12,33.928571,3,'1'
7,0,3,1,5,3,110,1,0,0.99696,0.666667,0,35.333333,1,'1'
2,0,0,2,0,3,83,0,0,0.842105,0.5625,11,19.75,3,'0'
1,0,137,9,22,16,1219,0.666667,2,0,0.209524,0,54.136364,14,'1'
2,0,4,4,3,4,52,0.25,0,0.5,0.5,1,8.6,1,'0'
5,0,5,4,15,2,389,1,1,0.990895,0.371429,0,53.857143,8,'0'
2,0,0,1,6,3,79,1,0,0.7,0.5,1,18.5,3,'0'
1,0,29,6,7,11,485,1,3,0,0.223214,0,33.071429,8,'1'
1,0,0,9,1,1,12,0,0,0,1,0,9,0,'0'
5,0,0,4,5,2,61,1,1,0.995856,0.416667,0,13.75,2,'0'
1,0,87,3,6,19,1342,1,3,0,0.230453,0,48.037037,15,'1'
1,0,0,7,1,1,1,0,0,0,1,0,0,1,'0'
2,0,0,2,2,1,5,0,0,1,1,0,4,0,'0'
1,0,0,3,1,6,118,1,0,0,0.5,0,18.166667,4,'0'
6,0,125,11,8,7,336,1,1,0.973094,0.197368,6,16.157895,3,'0'
1,0,0,8,9,3,356,0,1,0,0.375,0,42.125,1,'0'
2,0,0,1,3,0,151,0.5,0,0.777778,0.444444,2,48,18,'0'
6,0,2,3,6,1,202,1,2,0.993893,0.35,0,38.4,1,'0'
2,0,1,3,6,1,30,0,0,0.947368,0.666667,2,8,1,'0'
2,0,1,1,9,1,79,0,0,0.947368,0.625,1,38,1,'0'
2,0,1,0,1,2,14,0,0,0.923077,0.75,0,6,1,'0'
1,0,3,29,0,3,4,0,0,0,0.833333,0,0,1,'0'
1,3,33,6,5,8,141,0.666667,0,0,0.185714,0,11.545455,3,'1'
1,0,8,10,3,8,294,0.833333,0,0,0.333333,0,31,10,'1'
2,0,0,1,3,0,300,1,1,0.538462,0.333333,3,41.285714,16,'0'
1,0,9,1,3,5,135,1,3,0,0.333333,0,20,6,'0'
2,0,3,8,8,5,92,1,0,0.782609,0.444444,0,13.833333,1,'0'
2,0,0,1,4,0,206,1,0,0.7,0.35,3,39.8,11,'0'
2,0,2,2,8,3,176,0.333333,0,0.857143,0.5,1,42.25,1,'0'
2,0,0,2,7,6,167,1,0,0.695652,0.40625,2,19.75,4,'0'
1,0,0,1,1,3,62,1,0,0,0.666667,0,13.75,3,'0'
2,0,0,4,5,7,176,0,0,0.615385,0.35,2,13.583333,4,'0'
1,0,105,8,5,14,913,0.428571,0,0,0.237037,0,59.4,29,'0'
1,2,26,10,2,7,28,1,1,0,0.275,0,2.375,1,'0'
2,0,10,2,13,1,162,0,0,0.818182,0.72,0,30,1,'0'
5,0,1606,26,36,29,1917,0.684211,5,0.913287,0.139063,12,28.359375,21,'1'
6,0,40,3,7,3,342,1,1,0.983824,0.5,10,26.75,5,'1'
1,0,3,7,2,8,230,1,1,0,0.35,0,21.5,5,'1'
2,0,25,3,6,9,161,0.5,0,0.615385,0.386364,2,13.454545,5,'0'
2,0,24,8,9,8,1304,0.636364,1,0.831169,0.373333,7,79.8125,14,'1'
6,19,10,22,3,4,56,1,1,0.995413,0.44,0,10,1,'0'
5,0,184,14,20,12,868,1,4,0.960294,0.145604,4,29.535714,15,'1'
2,0,1,2,5,2,22,0,0,0.947368,0.625,1,9.5,1,'0'
3,0,2,6,0,5,36,1,0,0.809524,0.466667,1,5.4,1,'0'
2,0,0,6,2,1,5,0,0,1,1,0,4,0,'0'
5,17,67,18,2,12,395,1,0,0.98048,0.446429,0,26.928571,2,'0'
1,13,12,13,2,0,65,1,2,0,0.354167,0,6.75,3,'0'
4,0,0,1,1,3,195,1,0,0.995378,0.375,3,46.25,2,'1'
3,0,3,0,3,3,33,0,0,1,0.75,0,10,0,'0'
1,0,291,6,17,22,755,0.875,2,0,0.125874,0,26.666667,12,'1'
1,2,8,2,3,7,149,1,0,0,0.4375,0,17.5,9,'1'
1,2,15,4,5,4,81,1,2,0,0.457143,0,10.285714,3,'0'
1,5,6,9,0,4,11,0,0,0,0.75,0,1.75,1,'0'
1,0,0,2,0,0,191,0,0,0,0,0,152,0,'0'
1,0,210,11,31,29,1566,0.9,2,0,0.136719,0,47.625,31,'1'
6,0,65,9,11,6,512,1,1,0.981735,0.253333,1,32.533333,8,'0'
2,0,3,4,7,2,79,0,0,0.9,0.533333,1,25.333333,1,'0'
6,0,18,4,9,1,210,1,1,0.988183,0.5,12,21.888889,2,'0'
1,0,9,18,3,4,141,0.666667,1,0,0.208333,0,18.714286,5,'0'
1,0,100,4,0,16,679,0.8,0,0,0.323529,0,38.352941,13,'0'
6,0,0,1,4,3,507,1,10,0.997019,1,5,120.75,6,'0'
2,0,3,1,3,0,283,0,0,0.636364,0.285714,2,43.5,24,'0'
3,0,8,0,4,5,176,1,2,0.818182,0.366667,3,33,7,'0'
2,0,1,2,2,2,8,0,0,0.888889,0.625,0,3,1,'0'
8,0,6,3,13,4,119,0,0,0.996516,0.875,0,28.75,7,'0'
1,0,35,1,2,11,52,1,1,0,0.424242,0,3.636364,1,'0'
6,0,4,2,4,1,353,1,2,0.994056,0.5,3,67.2,5,'0'
2,0,4,1,3,0,55,1,0,0.7,0.375,2,12.25,6,'0'
6,0,4,2,6,1,247,1,2,0.994056,0.5,4,47,4,'0'
8,0,6,3,14,4,132,0,0,0.996516,0.875,0,32,7,'0'
1,0,200,41,16,18,375,0.909091,3,0,0.113095,0,13.56,8,'1'
1,0,13,0,2,5,375,0,0,0,0.28,0,61.333333,11,'0'
3,0,0,8,1,3,71,0.133333,0,0.85,0.5,1,13,1,'0'
2,0,1,3,8,1,65,0,0,0.947368,0.625,0,31.5,1,'0'
1,0,10,1,0,5,206,0,0,0,0.3,0,40.2,6,'0'
1,0,91,6,15,9,1313,0.625,1,0,0.274854,0,67.684211,5,'0'
2,0,0,2,3,0,127,1,0,0.636364,0.3,2,24,4,'0'
7,0,6,3,4,3,214,1,0,0.993939,0.3,5,41.4,1,'0'
3,0,8,0,4,5,176,1,2,0.818182,0.366667,3,33,7,'0'
1,0,78,7,0,13,13,0,0,0,0.430769,0,0,1,'0'
6,0,3,3,5,3,214,1,1,0.994994,0.32,11,33.666667,8,'0'
1,0,53,5,6,10,477,0.043478,2,0,0.373737,0,40.272727,7,'0'
3,0,2,1,2,5,289,1,0,0.987988,0.7,6,55.4,2,'1'
6,0,38,5,11,1,307,1,1,0.983824,0.25,12,24.166667,3,'1'
7,0,9,3,8,3,299,1,0,0.992436,0.388889,0,48.333333,1,'0'
5,0,5,6,7,2,536,1,3,0.993056,0.3,0,87.166667,3,'0'
7,5,8,6,3,5,121,1,0,0.99536,0.6,2,22.8,6,'0'
1,0,13,5,0,6,65,1,0,0,0.166667,0,8,4,'0'
7,0,133,3,4,5,646,1,0,0.97619,0.180556,5,32.421053,5,'0'
2,0,1,2,10,2,134,0,2,0.9,0.555556,3,42.333333,1,'0'
8,0,13,3,24,4,233,1,3,0.997028,0.5,1,37.333333,3,'0'
1,0,1,4,1,2,2,0,0,0,0.625,0,0,1,'0'
4,0,23,2,2,10,492,0.333333,1,0.764706,0.272727,4,43.181818,14,'0'
1,0,3,5,0,2,23,0,2,0,0.5,0,4,2,'0'
2,0,3649,0,8,84,696,0,0,0.105263,0.056202,0,7.093023,3,'0'
2,0,1,1,3,2,10,0,0,0.75,0.75,0,4,1,'0'
2,0,0,2,8,3,879,0.666667,2,0.5,0.25,0,122.857143,3,'1'
2,0,11,2,12,3,1839,0.333333,3,0.375,0.236364,0,164.272727,20,'1'
8,0,4,3,13,4,237,1,0,0.996516,0.666667,0,58,19,'0'
6,0,3,6,3,3,46,0,0,0.997382,0.833333,0,14.333333,1,'0'
2,0,1,5,5,1,30,0,0,0.947368,0.625,0,14,1,'0'
1,0,0,5,8,0,158,0,0,0,0.466667,0,30,5,'0'
5,0,0,4,1,8,419,1,0,0.989394,0.625,0,51,12,'0'
7,0,1,2,4,2,40,1,1,0.997399,0.4,1,12,1,'0'
1,0,1,0,7,4,343,0.285714,0,0,0.2,0,47,11,'0'
6,0,42,3,10,1,512,1,5,0.982379,0.5,5,37.692308,9,'1'
3,0,1,7,0,2,9,0,0,1,0.75,0,3.5,0,'0'
2,0,31,1,5,7,223,1,1,0.565217,0.333333,3,18.545455,8,'0'
8,0,6,2,8,4,129,0,0,0.996516,0.875,0,31.25,8,'0'
7,0,15,6,18,5,606,1,2,0.986466,0.25,6,58.9,17,'1'
2,0,1,1,6,1,28,0,0,0.947368,0.625,1,13,1,'0'
1,1,1358,37,18,39,1757,0.380952,4,0,0.11016,0,30,7,'1'
6,0,206,18,6,15,615,1,1,0.970588,0.219388,7,20.714286,13,'0'
1,0,0,4,0,6,66,1,0,0,0.75,0,9.666667,2,'0'
5,0,0,2,5,2,119,1,0,0.993912,0.4,0,22.2,1,'1'
1,0,0,1,0,0,6,0,0,0,1,0,3,0,'0'
2,0,190,4,9,19,690,0,0,0.672414,0.4,3,33.4,8,'1'
6,0,0,2,3,3,406,1,0,0.994056,0.5,5,77.4,5,'0'
7,0,51,2,13,4,774,1,0,0.980568,0.214286,0,53.428571,6,'0'
1,36,147,47,7,19,240,0.5,4,0,0.233083,0,11.315789,6,'0'
2,0,0,1,2,1,5,0,0,1,1,0,4,0,'0'
2,0,1,2,8,1,40,0,0,0.947368,0.6,2,18.5,1,'0'
1,0,1,6,1,2,2,0,0,0,1,0,0,1,'0'
1,0,293,11,4,26,293,1,7,0,0.136364,0,9.222222,4,'1'
1,0,0,4,10,3,207,0.857143,4,0,0.6,0,49,9,'0'
2,0,16,4,19,2,404,1,4,0.428571,0.246914,0,43.222222,11,'0'
1,0,0,2,3,0,204,1,0,0,0.535714,0,28,3,'1'
2,0,26,3,4,6,72,0,0,0.872727,0.333333,0,7.875,2,'0'
2,1,71,8,10,16,460,1,2,0.15,0.208333,0,24.166667,14,'1'
1,0,1,2,1,2,2,0,0,0,0.75,0,0,1,'0'
1,0,0,8,2,1,89,1,0,0,0.375,0,13.666667,4,'1'
3,0,15,2,0,4,184,0,0,0.85,0.5,1,28.833333,14,'0'
1,0,0,39,2,11,135,1,0,0,0.484848,0,11.181818,2,'0'
5,0,60,14,20,10,429,0.857143,1,0.976084,0.235294,12,23.823529,9,'1'
8,0,21,1,11,5,157,0,0,0.993056,0.314286,7,21.428571,6,'0'
2,0,1,1,9,2,106,0,0,0.947368,0.625,2,52,1,'0'
2,0,1,4,4,9,246,0.75,1,0.829787,0.444444,1,23.2,3,'0'
2,0,3,1,5,4,215,0.857143,0,0.722222,0.722222,3,33.666667,7,'0'
2,0,1,0,1,2,16,0,0,0.75,0.75,1,7,2,'0'
2,0,1,1,5,1,24,0,0,0.954545,0.75,0,11,1,'0'
5,0,43,4,5,9,219,1,0,0.990654,0.375,1,20.8,4,'0'
2,0,1,1,3,0,106,1,0,0.777778,0.444444,2,34,11,'0'
1,0,0,1,6,4,392,1,2,0,0.404762,0,53.285714,11,'1'
7,0,2,1,5,4,461,1,2,0.993939,0.4,0,89.4,6,'0'
2,0,2,1,4,4,198,0.75,0,0.935484,0.466667,7,37.8,8,'0'
6,0,26,3,6,1,650,1,3,0.983824,0.5,3,51.75,3,'1'
1,0,15,1,0,6,6,0,0,0,0.75,0,0,1,'0'
4,0,13445,52,34,195,9017,0.639344,10,0.731597,0.080053,19,36.472803,32,'1'
2,0,1,3,6,1,54,0,0,0.947368,0.666667,2,24.5,1,'0'
