@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
2,0,6,60,90,5,38,786,0.9375,9,0.275,1,0.95,'1'
1,14,32,36,164,4,18,141,1,0,0.2375,0,1.05,'0'
1,0,9,52,86,5,16,451,0.833333,3,0.183333,0,1.7083,'1'
2,0,5,28,72,4,14,254,0.333333,0,0.46875,1,0.875,'1'
2,0,5,20,4,4,7,148,0.6,0,0.375,1,0.625,'1'
2,0,5,21,49,3,9,106,0.5,0,0.522727,1,0.8182,'1'
3,0,6,4,1,1,3,24,0,0,0.555556,0,1.3333,'0'
2,0,20,59,20,19,4,267,1,4,0.666667,1,0.875,'0'
1,0,10,24,6,9,11,156,0,1,0.375,0,1,'1'
2,1,11,37,0,5,6,278,1,0,0.375,1,1.625,'1'
1,0,2,30,88,1,14,250,0,1,0.21875,0,1.125,'1'
2,0,9,51,89,7,22,417,0.857143,2,0.233766,1,1.0455,'1'
2,0,8,40,258,4,23,390,0.8,0,0.3,1,1.76,'1'
2,0,6,85,611,5,60,1390,0.5,14,0.266129,1,0.9677,'1'
2,0,7,32,79,3,13,251,0.666667,0,0.483333,1,1.2,'1'
2,0,6,37,0,5,18,321,0.833333,4,0.36,1,0.9,'1'
1,0,0,0,0,0,0,4,0,0,0,0,0,'0'
2,2,5,20,0,3,10,53,1,1,0.55,1,0.9,'1'
2,0,5,22,54,3,10,117,0.5,0,0.5,1,0.8333,'1'
1,0,33,244,0,28,79,1441,0.4375,3,0.144928,0,1.6559,'1'
1,0,7,1,0,1,1,1,0,0,1,0,1,'0'
3,0,34,126,130,32,10,1170,0.019048,2,0.161538,2,2.4,'1'
1,0,34,183,89,30,45,1831,0.727273,4,0.140162,0,2.2963,'1'
2,0,6,52,479,4,35,536,0.9375,6,0.335135,1,0.9211,'1'
2,0,7,42,209,4,24,372,0.9,3,0.346154,1,0.8889,'1'
2,0,8,19,0,6,6,324,1,6,0.583333,1,1.375,'0'
