@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
1,0,3,1,11,585,0.5,0,0.3,0,0,96.166667,39,'0'
3,0,4,0,5,30,1,0,0.666667,0,0,6.25,1,'0'
2,0,6,0,11,423,0.923077,0,0.416667,0,0,81,17,'0'
1,0,0,4,3,154,1,0,0.5,0,0,24.5,7,'0'
1,0,0,8,1,1,0,0,1,0,0,0,1,'0'
2,0,2,1,3,139,1,0,0.625,0,0,33,4,'1'
2,0,65,3,10,454,0.454545,0,0.252101,0,0,23.611111,7,'0'
3,0,1,5,2,9,0,0,0.75,0,0,3.5,1,'0'
1,1,20,1,9,220,0.666667,0,0.357143,0,0,26.125,14,'0'
1,0,0,1,0,104,1,0,0.428571,0,0,13,5,'0'
1,0,0,10,2,1,0,0,1,0,0,0,1,'0'
3,0,8,2,5,89,0.666667,0,0.5,2,2,16.2,6,'0'
2,0,4,0,4,27,1,0,0.666667,0,0,5.5,1,'0'
1,11,20,11,14,183,0.8,0,0.333333,0,0,21.25,5,'0'
1,0,9,1,14,230,0.777778,1,0.32,0,0,35.833333,14,'0'
1,0,0,0,0,4,0,0,1,0,0,3,0,'0'
2,0,22,3,3,47,0.666667,1,0.277778,0,0,3.888889,1,'0'
2,0,203,3,12,350,0.916667,2,0.210227,1,1,13.695652,13,'0'
2,0,13,0,11,105,0.333333,0,0.4,1,2,16,4,'0'
1,0,28,1,10,144,0.666667,1,0.232143,0,0,14.666667,3,'0'
2,0,43,2,15,473,0.777778,0,0.223214,0,0,29.933333,10,'1'
1,0,105,4,12,279,0.888889,3,0.222222,0,0,13.210526,7,'0'
1,0,20,1,8,88,0.666667,1,0.238095,0,0,9.625,2,'0'
1,0,66,1,24,438,0.5,0,0.25,0,0,32.538462,19,'0'
2,0,8,0,10,81,0.666667,0,0.416667,0,0,14.6,3,'0'
3,0,4,0,5,30,1,0,0.666667,0,0,6.25,1,'0'
