@relation mydataframe
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {'1','0'}
@data
3,3,0,0,0,6,54,1,0,0.555556,2,7.833333,1,'0'
2,3,27,793,20,42,5680,0.896552,6,0.152074,11,88.698413,1.6984,'0'
5,0,1,0,0,1,6,0,0,1,0,5,0,'1'
4,0,2,210,2,21,120,0,0,0.52381,0,4.714286,0.9524,'0'
3,3,13,34,11,14,1120,0.833333,3,0.205,22,43.56,2.28,'1'
1,0,26,3,1,3,17,0,0,0.666667,0,0,1,'0'
1,0,0,0,0,1,1,0,0,1,0,0,1,'1'
4,0,2,3,2,3,60,0,0,0.666667,0,19,1.6667,'0'
4,0,3,21,3,7,39,0,0,0.571429,6,4.571429,0.8571,'0'
4,0,3,66,3,12,97,0,0,0.316667,1,7.083333,1.25,'0'
1,0,8,134,3,5,867,0,1,0.2125,0,49.882353,4.7059,'0'
2,5,14,34,11,14,1120,0.833333,3,0.205,17,43.56,2.28,'1'
1,1,0,14,0,6,117,1,0,0.571429,0,13.125,0.75,'1'
2,0,6,0,1,1,2128,0.142857,1,0.361111,7,116.833333,8,'0'
3,0,11,0,0,2,13,0.5,0,0.75,0,4.5,0.5,'0'
1,0,22,45,2,10,51,0,0,0.3,0,0,1,'0'
1,1,9,41,3,9,579,0.857143,1,0.227273,0,25,2.2727,'1'
4,0,3,21,3,7,39,0,0,0.571429,6,4.571429,0.8571,'0'
1,0,1,13,0,6,720,1,0,0.25,0,100.142857,3.5714,'0'
1,0,0,66,0,12,12,0,0,0.638889,0,0,1,'0'
3,0,6,0,5,0,583,1,0,0.40625,3,143,0.75,'0'
1,0,6,153,2,18,18,0,0,0.4,0,0,1,'0'
4,0,3,595,3,35,200,0,0,0.308571,0,4.714286,0.9714,'0'
1,0,2,91,1,14,14,0,0,0.5,0,0,1,'0'
1,0,11,16,10,9,191,1,0,0.333333,0,19.666667,1,'0'
1,0,0,28,0,8,8,0,0,0.46875,0,0,1,'1'
1,0,8,3,2,6,90,0,2,0.5,1,12.166667,0.6667,'0'
4,0,2,21,2,7,42,0,0,0.342857,0,5,0.8571,'0'
1,0,5,91,2,13,486,0,0,0.410714,0,33.714286,3.7143,'0'
2,0,9,0,9,1,239,1,0,0.571429,2,118,0.5,'0'
4,0,2,3,2,3,17,0,0,0.666667,0,4.666667,0.6667,'0'
1,2,22,622,20,22,1192,1,11,0.113889,0,22.877551,1.0408,'0'
1,0,0,66,0,12,12,0,0,0.75,0,0,1,'0'
1,0,8,0,0,0,0,0,0,0,0,0,0,'0'
2,0,7,35,6,6,240,1,3,0.263889,0,22.2,0.7,'0'
2,0,14,0,14,21,2890,1,2,0.160839,3,83.558824,1.0588,'0'
1,0,11,695,0,42,498,1,0,0.257937,0,10.5,1.6429,'1'
1,0,0,6,0,4,4,0,0,0.75,0,0,1,'0'
1,0,0,6,0,4,4,0,0,0.5,0,0,1,'0'
2,0,13,280,11,35,1231,1,10,0.30662,7,28.560976,1.1951,'0'
1,1,0,28,0,7,128,0,0,0.333333,0,15,0.875,'1'
1,0,2,1,1,2,2,0,0,0.75,0,0,1,'0'
2,0,8,33,7,7,327,0.7,2,0.232323,0,27.818182,1.2727,'0'
1,0,0,120,0,16,16,0,0,0.645833,0,0,1,'1'
2,1,5,15,3,7,80,0.75,0,0.52381,4,9.857143,1.8571,'1'
2,0,5,128,4,11,263,0,0,0.192513,10,14.470588,1.8824,'0'
1,0,6,0,1,4,73,0,1,0.55,0,16.5,0.5,'0'
4,0,3,21,3,7,39,0,0,0.571429,6,4.571429,0.8571,'0'
1,0,0,15,0,6,6,0,0,0.5,0,0,1,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
4,0,3,10,3,5,52,0,0,0.6,0,9.4,1.6,'0'
4,0,2,10,2,5,28,0,0,0.45,0,4.6,0.8,'0'
2,0,7,141,6,10,1937,1,2,0.189815,0,105.666667,1.1667,'0'
1,0,3,375,1,29,1992,1,0,0.226481,0,46.142857,3.1429,'0'
4,0,2,10,2,5,30,0,0,0.45,0,5,0.8,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
1,0,23,33,18,5,849,0.6,1,0.2125,0,75.727273,1.0909,'0'
1,0,0,0,0,1,1,0,0,1,0,0,1,'1'
1,0,2,1,1,2,2,0,0,0.75,0,0,1,'0'
1,0,6,10,0,5,107,0,0,0.35,0,20.4,1.8,'0'
4,0,2,3,2,3,19,0,0,0.666667,0,5.333333,0.6667,'0'
1,0,0,21,0,7,7,0,0,0.428571,0,0,1,'1'
1,0,0,0,0,1,8,0,0,1,0,3,0,'0'
1,0,0,0,0,24,723,0,0,0.528846,0,26.730769,2.6538,'0'
1,0,0,177,0,24,887,0.736842,9,0.126667,0,27.933333,1.2333,'0'
1,0,0,1,0,2,2,0,0,0.75,0,0,1,'0'
1,0,2,45,1,10,10,0,0,0.5,0,0,1,'0'
4,2,13,102,6,14,288,0.5,0,0.34375,18,16.875,2.375,'1'
1,0,0,28,0,8,8,0,0,0.666667,0,0,1,'1'
1,0,2,1,1,2,2,0,0,0.75,0,0,1,'0'
1,2,28,569,19,13,2197,1,9,0.152632,0,55.947368,1.9737,'0'
1,0,0,45,0,10,13,0,0,0.4,0,0,1,'1'
3,2,2,10,0,5,20,0,0,0.6,0,3,0.2,'0'
2,0,7,9,7,3,136,1,0,0.433333,2,21.5,1.5,'0'
4,0,3,78,3,13,72,0,0,0.538462,7,4.538462,0.9231,'0'
4,0,19,0,1,8,64,1,0,0.4375,0,6.75,0.5,'0'
1,0,2,0,1,0,0,0,0,0,0,0,0,'0'
1,0,0,6,0,4,4,0,0,0.5,0,0,1,'0'
4,0,2,3,2,3,17,0,0,0.5,0,4.666667,0.6667,'0'
