@relation mydataframe
@attribute noc numeric
@attribute cbo numeric
@attribute lcom numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {'1','0'}
@data
0,14,0,14,21,0.672727,2890,2,0.179487,0.160839,3,83.558824,2,'0'
0,13,833,2,46,0.903704,579,1,0,0.220497,0,11.195652,12,'0'
0,0,6,0,4,2,4,0,0,0.75,0,0,1,'0'
0,0,6,0,4,2,4,0,0,0.5,0,0,1,'0'
0,11,280,9,35,0.903947,1225,10,0.487179,0.30662,7,28.414634,3,'0'
1,0,136,0,16,2,254,0,0,0.308824,0,13.941176,1,'0'
0,2,1,1,2,2,2,0,0,0.75,0,0,1,'0'
0,0,1,0,2,2,2,0,0,0.75,0,0,1,'0'
0,2,6,1,4,2,4,0,0,0.75,0,0,1,'0'
0,0,1,0,2,0.5,14,0,0,0.5,0,3.333333,1,'1'
0,2,6,2,4,1.333333,16,0,0.975309,0.625,5,2.75,1,'0'
4,8,20,2,0,0.825,77,3,0,0.518519,0,7,1,'0'
0,28,3,1,3,1.5,17,0,0,0.666667,0,0,1,'0'
0,0,0,0,1,2,1,0,0,1,0,0,1,'0'
0,2,3,2,3,2,60,0,0.979167,0.666667,0,19,3,'0'
0,3,21,3,7,2,39,0,0.931818,0.571429,6,4.571429,1,'0'
0,3,66,3,12,2,97,0,0.895238,0.316667,1,7.083333,3,'0'
0,8,134,3,5,0.9375,867,1,0,0.2125,0,49.882353,19,'0'
7,16,236,11,14,0.650538,1240,3,0.625,0.180556,25,37.5625,11,'0'
1,0,152,0,16,0.915789,325,0,0,0.355263,0,14.75,10,'1'
0,6,0,1,1,0.680672,2128,1,0.734375,0.361111,7,116.833333,17,'0'
0,11,0,0,2,1,13,0,0.944444,0.75,0,4.5,1,'0'
0,8,0,0,0,2,0,0,0,0,0,0,0,'0'
0,7,37,6,6,0.698413,228,3,0.363636,0.263889,0,21.1,1,'0'
0,2,0,1,0,2,0,0,0,0,0,0,0,'0'
0,0,6,0,4,2,4,0,0,0.5,0,0,1,'0'
0,2,3,2,3,2,17,0,0.979167,0.5,0,4.666667,1,'0'
0,10,0,5,2,0.166667,167,2,0,0.5,0,53.666667,1,'1'
1,9,57,4,14,0.821429,200,3,0.858696,0.383333,8,11.8,2,'0'
0,4,1,1,2,2,8,0,0.888889,0.75,0,3,1,'0'
0,2,36,2,9,2,50,0,0.921569,0.555556,0,4.555556,1,'0'
0,1,58,0,14,0.547368,547,3,0,0.31,0,26.1,10,'1'
0,3,36,3,9,2,50,0,0.911111,0.555556,6,4.555556,1,'0'
0,0,0,0,1,2,9,0,0,1,0,3,0,'0'
0,2,6,1,4,2,4,0,0,0.75,0,0,1,'0'
0,3,0,3,1,2,6,0,1,1,0,5,0,'0'
1,6,43,4,9,0.944444,115,0,0.897727,0.325,8,10.3,6,'1'
4,17,80,9,24,0.738095,665,1,0.745283,0.337931,13,21.827586,11,'1'
0,0,325,0,26,2,26,0,0,0.487179,0,0,1,'0'
2,9,15,3,6,1.2,88,0,0.915254,0.333333,4,13.5,2,'0'
0,13,862,10,16,0.89678,962,6,0.463415,0.119298,5,19.844444,5,'1'
0,0,246,0,35,0.804762,436,6,0,0.125926,0,10.944444,2,'0'
0,8,35,7,7,0.833333,253,2,0.307692,0.232323,0,21.181818,6,'1'
1,3,3,2,4,0.9,192,0,0.947368,0.611111,3,30.333333,3,'1'
0,0,91,0,14,2,14,0,0,0.5,0,0,1,'0'
6,10,0,4,5,0.65,183,3,0,0.466667,0,18.222222,2,'0'
0,3,55,3,11,2,61,0,0.891304,0.545455,4,4.545455,1,'0'
0,0,136,0,17,2,17,0,0,0.455882,0,0,1,'1'
52,55,253,3,17,2,249,0,0.765957,0.456522,2,9.826087,4,'0'
0,0,1,0,2,2,2,0,0,0.75,0,0,1,'0'
0,2,78,2,13,2,72,0,0.886792,0.538462,0,4.538462,1,'0'
0,10,62,5,13,0.708134,601,4,0,0.233083,0,28.5,11,'0'
0,2,0,0,6,0.844444,608,0,0,0.458333,0,98.833333,8,'0'
0,22,45,2,10,1.111111,51,0,0,0.3,0,0,1,'0'
1,8,41,2,9,0.843537,596,1,0,0.227273,0,25.772727,11,'0'
0,3,21,3,7,2,39,0,0.931818,0.571429,6,4.571429,1,'0'
0,1,13,0,6,1.083333,720,0,0,0.25,0,100.142857,11,'0'
0,3,1,2,3,0,159,1,0.75,0.888889,0,51,9,'0'
0,0,28,0,8,2,8,0,0,0.5,0,0,1,'0'
0,6,0,5,0,0.380952,583,0,0.926829,0.40625,3,143,1,'1'
0,6,153,2,18,2,18,0,0,0.4,0,0,1,'0'
0,3,595,3,35,2,200,0,0.734375,0.308571,0,4.714286,1,'0'
0,2,91,1,14,2,14,0,0,0.5,0,0,1,'0'
0,11,16,10,9,0.875,191,0,0,0.333333,0,19.666667,2,'0'
0,0,28,0,8,2,8,0,0,0.46875,0,0,1,'0'
0,9,3,2,6,0.728571,132,2,0,0.5,1,18.666667,1,'0'
0,2,21,2,7,2,42,0,0.94,0.342857,0,5,1,'0'
0,5,105,2,14,2,527,0,0,0.4,0,34.133333,5,'0'
0,9,0,9,1,0,239,0,0.75,0.571429,2,118,1,'0'
0,2,3,2,3,2,17,0,0.979167,0.666667,0,4.666667,1,'0'
2,21,740,19,22,0.908217,1257,11,0,0.106971,0,22.301887,3,'1'
0,0,66,0,12,2,12,0,0,0.75,0,0,1,'0'
0,10,15,8,7,0.577778,745,2,0.333333,0.275,0,72.5,4,'0'
0,1,0,0,0,2,0,0,0,0,0,0,0,'0'
0,3,55,3,11,2,61,0,0.891304,0.545455,6,4.545455,1,'0'
0,0,0,0,1,2,1,0,0,1,0,0,1,'0'
0,0,6,0,4,2,4,0,0,1,0,0,1,'0'
0,2,3,2,3,2,17,0,0.979167,0.666667,0,4.666667,1,'0'
0,37,1504,36,9,0.788672,10701,10,0,0.135526,0,130.716049,25,'1'
0,11,0,10,22,0.522989,2603,3,0.2,0.201149,2,85.366667,4,'0'
0,0,55,0,11,2,11,0,0,0.348485,0,0,1,'0'
0,0,0,0,1,2,1,0,0,1,0,0,1,'0'
0,0,15,0,6,2,6,0,0,1,0,0,1,'0'
0,2,6,1,4,2,4,0,0,0.75,0,0,1,'0'
0,6,630,6,35,1,471,2,0.728682,0.214286,0,12.027778,7,'0'
0,2,0,1,0,2,0,0,0,0,0,0,0,'0'
0,2,6,1,4,2,4,0,0,0.75,0,0,1,'0'
0,2,136,2,17,2,96,0,0.854545,0.397059,0,4.647059,1,'0'
0,2,1,1,2,2,2,0,0,0.75,0,0,1,'0'
3,51,1798,24,49,0.93149,1475,2,0.568345,0.1375,19,21.492308,23,'1'
