@relation data/M_multi_metrics_EQ.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R59-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R48-weka.filters.unsupervised.attribute.Remove-R55-weka.filters.unsupervised.attribute.Remove-R40-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.Remove-R33-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R23-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Remove-R30-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Remove-R19-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R28-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R2

@attribute LDHH_fanIn numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute LDHH_dit numeric
@attribute LDHH_fanOut numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute CvsExpEntropy numeric
@attribute class {buggy,clean}

@data
0.002555,0.003049,0.004091,0,1.01,0,0,2,0,0,0,1,2,0,0,0,0,11,0,0.005627,0,8,8,0.103594,buggy
0.004756,0.001481,0.015332,0,13.18,1,0,2,0,0,0,1,1,0,0,0,4,38,0,0.018761,0.001486,7,7,0.328692,buggy
0.009143,0,0.001953,0.00026,2.03,0,6,0,2.06,0,0,1,11,0,0,0,0,4,0,0.003117,0.001486,7,2,0.125841,clean
0.005395,0.000876,0.000739,0,7.09,0,0,4,0,0,1,1,6,0,0,0,0,0,0,0.020376,0.002338,17,10,0.170416,buggy
0,0.000876,0,0.000402,1.01,1,0,0,0,0,1,2,1,0,0,0,0,0,0,0.000566,0.003017,22,7,0.055912,buggy
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,clean
0,0,0.002712,0,1.06,0,0,2,0,0,29,2,0,0,0,4.06,0,6,0,0.008318,0,24,2,0.117569,buggy
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,0,clean
0.000453,0,0.000507,0.001366,10.24,0,0,1,0,0,0,1,1,0,0,0,0,9,0,0.011728,0.001486,7,0,0.079902,buggy
0.003493,0.002408,0,0,0,7,1,0,0,0,0,1,4,0,0,0,0,11,0,0.002039,0.002673,22,16,0.02762,buggy
0.002402,0,0.006087,0.006808,0,0,3,0,1.01,0,0,1,8,0.001069,0,0,0,1,0,0,0.001486,7,5,0.068437,clean
0,0.001705,0,0,1.01,0,0,0,0,0.000966,2,2,1,0,0,1.01,0,0,0,0.000535,0.019677,97,5,0.004944,buggy
0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,7,2,0,clean
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2,0,clean
0,0,0,0.01632,1.01,74,0,0,0,0.002083,3,2,0,0,0,1.03,0,1,0,0.002039,0.001612,12,0,0.002342,clean
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,0,clean
0.001019,0.00115,0.001935,0,1.01,0,0,1,0,0.000814,3,2,2,0,1.01,1.03,0,4,0.000287,0.00452,0.002251,24,5,0.004969,buggy
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,2,0,clean
0.001784,0.002743,0,0,6.07,0,0,0,0,0.003134,3,1,4,0,0,2.03,0,1,0,0.007979,0.004318,15,9,0.088626,buggy
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,clean
0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,12,0,0.000801,0.001486,7,7,0.054874,clean
0.001019,0,0.000563,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0.008717,0,0,9,0.057702,clean
