@relation 'data/M_multi_metrics_JDT.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-14,17-21,23-30,32-39,41-43,46-47,49-61'

@attribute ck_oo_numberOfPublicAttributes numeric
@attribute ck_oo_noc numeric
@attribute WCHU_noc numeric
@attribute LDHH_noc numeric
@attribute WCHU_lcom numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute LDHH_dit numeric
@attribute class {buggy,clean}

@data
1,1,1.01,0.01184,1.07,1,0,0,clean
0,0,0,0,1.15,0,2,0,clean
0,2,0,0,0,0,0,0,clean
3,5,0,0,2.39,0,0,0.001409,buggy
1,0,0,0,0,0,0,0.001409,clean
8,3,3.03,0.006412,4.43,1,0,0.001409,buggy
12,2,0,0,6.51,1,0,0,buggy
1,2,0,0,0,0,1,0,clean
2,1,0,0,2.31,0,2,0,buggy
3,0,0,0,0,0,0,0,buggy
1,0,0,0,0,0,0,0.001409,clean
7,2,1.01,0.000358,1.08,0,0,0,buggy
0,0,0,0,5.81,1,0,0.004395,clean
0,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,4,0,clean
0,0,0,0,0,0,4,0,clean
1,0,0,0,0,0,0,0,clean
2,0,0,0,0,0,0,0.001409,clean
0,0,0,0,0,0,3,0,clean
10,0,0,0,2.73,4,3,0,buggy
4,3,1.01,0.000798,0,0,0,0.001409,clean
3,0,0,0,2.11,0,0,0,clean
3,0,0,0,5.99,0,24,0,clean
2,0,0,0,0,0,0,0,clean
0,0,0,0,1.03,1,0,0,clean
0,0,0,0,0,1,1,0,clean
0,0,0,0,0,0,8,0,clean
5,2,0,0,0,0,0,0.001409,buggy
4,5,0,0,1.07,1,0,0.001409,clean
0,0,0,0,1.14,0,2,0,buggy
0,0,0,0,0,1,4,0,clean
6,0,0,0,1.1,1,0,0,clean
0,1,0,0,0,0,4,0,clean
0,1,1.01,0.000585,4.35,0,0,0.00026,buggy
2,3,0,0,21.3,0,0,0.001409,buggy
9,1,1.01,0,8.27,0,0,0,clean
0,0,0,0,0,0,2,0,clean
0,0,0,0,0,1,0,0,clean
0,0,0,0,1.05,1,0,0,clean
0,0,0,0,2.09,0,0,0,buggy
0,0,0,0,0,0,0,0,clean
0,2,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,0,clean
4,0,0,0,0,1,0,0.001409,clean
0,0,0,0,2.12,1,2,0.008262,clean
0,0,0,0,1.45,0,8,0,clean
6,2,1.01,0.001667,1.17,0,0,0.001409,clean
2,0,0,0,0,1,0,0.001409,buggy
10,0,0,0,0,0,11,0.001409,buggy
0,0,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,0,clean
3,0,0,0,0,0,0,0.001409,clean
4,2,0,0,6.31,2,3,0,buggy
1,3,1.01,0.002037,1.07,0,5,0,clean
0,0,0,0,0,1,1,0,clean
0,4,0,0,0,0,0,0,clean
0,0,0,0,0,0,4,0,clean
0,1,0,0,0,0,0,0,clean
0,0,0,0,0,0,0,0,clean
1,0,0,0,3.18,0,1,0.001409,clean
0,0,0,0,0,0,0,0.001409,clean
4,1,1.01,0.000292,0,0,0,0.001409,clean
0,0,0,0,0,0,3,0,clean
13,5,1.01,0.000585,1.16,0,0,0.001409,buggy
0,0,0,0,12.57,0,17,0,buggy
1,0,0,0,1.03,0,1,0.001409,clean
0,3,0,0,1.09,0,0,0,clean
0,0,0,0,0,0,0,0.001409,clean
2,0,0,0,0,0,0,0.001409,clean
2,0,0,0,0,0,0,0,clean
0,0,0,0,0,1,1,0,clean
0,0,0,0,0,0,0,0,buggy
