@relation 'data/M_multi_metrics_ML.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R1-15,17-26,28,30-33,35-53,55-61'

@attribute ck_oo_noc numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_numberOfMethodsInherited numeric
@attribute class {buggy,clean}

@data
0,0,2,0,0.002801,clean
4,0,1,0,0.009791,buggy
0,0,1,0,0,buggy
0,0,1,0,0.009791,clean
0,7,1,2.07,0.016354,clean
0,0,1,0,0,clean
0,1,2,0,0.009791,clean
1,0,1,0,0.009791,clean
0,0,1,0,0,clean
0,0,1,0,0.012592,clean
0,8,4,0,0.014863,clean
0,0,1,0,0,clean
1,0,2,0,0.005924,clean
0,13,3,1.02,0.000497,clean
0,1,3,0,0,buggy
1,0,1,0,0.009791,clean
0,0,1,0,0,clean
0,0,1,0,0.009791,clean
0,0,1,0,0,clean
0,0,2,0,0,clean
0,0,1,0,0.009791,clean
0,4,3,0,0.027723,clean
0,1,1,1.01,0.010674,clean
0,0,1,0,0,clean
0,0,2,0,0.010847,clean
0,0,1,0,0.005924,clean
0,0,1,0,0.009791,clean
1,0,2,0,0.027723,clean
0,0,1,0,0,buggy
0,0,1,0,0.009791,clean
0,0,1,0,0,clean
0,0,1,0,0.005924,clean
0,7,1,2.07,0.016354,clean
8,0,1,0,0,clean
0,0,2,0,0.012165,clean
0,0,1,0,0.009791,clean
0,0,1,0,0.009791,clean
0,0,2,0,0.009791,clean
1,0,1,0,0,clean
0,1,2,0,0.005924,clean
0,0,1,0,0,clean
0,0,1,0,0,clean
0,16,3,0,0,buggy
0,0,1,0,0,buggy
0,0,2,0,0.022649,clean
0,0,1,0,0.009791,clean
0,0,2,0,0.004479,buggy
0,2,4,2.02,0.019903,clean
0,0,1,0,0.009791,clean
0,0,1,0,0.011815,clean
0,0,1,0,0,clean
0,0,1,0,0,buggy
0,1,1,0,0.005924,clean
0,0,1,0,0,buggy
0,0,1,0,0.011815,clean
0,0,1,0,0,clean
0,0,1,0,0.005924,clean
0,2,3,0,0.014101,clean
0,0,1,0,0.005924,clean
0,0,3,0,0.009791,clean
0,0,1,0,0,clean
0,4,2,0,0,clean
0,1,2,0,0,clean
0,0,1,0,0,clean
0,0,2,0,0.011815,clean
0,0,1,0,0.009791,clean
0,1,2,0,0.009791,clean
