@relation 'data/M_multi_metrics_PDE.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-6,9,11-15,18,20,24-26,28,30,33,35-43,47,49-55,58-61'

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute LDHH_dit numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute class {buggy,clean}

@data
0,0.105389,0.004203,0.004297,0,0,0,0.332866,0,0.001223,1,3,0,1.02,1.01,0,2,1,0.000869,14,6,clean
0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,51,3,clean
8,0.032927,0,0,0,1,0.00236,0.49789,0,0.000413,6,2,0,0,1.01,0,3,1,0,14,2,clean
2,0.061022,0,0,0,0,0,0.454358,0,0,0,1,0,0,0,0,4,0,0,0,6,buggy
1,0.109004,0.00172,0.004365,4,0,0.000672,0.440287,6.09,0,0,1,0.005956,0,0,0,6,0,0,0,18,clean
11,0.185996,0,0.00151,0,0,0.001176,0.429205,0,0,0,1,0,0,0,0,10,0,0,6,9,buggy
4,0.103528,0.002323,0,0,0,0.002259,0.450399,0,0,0,1,0,0,0,2,5,3,0,0,7,buggy
0,0.001136,0,0,0,0,0,0.09499,0,0,0,2,0,0,0,0,0,0,0,6,3,clean
3,0.003338,0,0,0,0,0,0.11579,0,0,0,2,0,0,0,0,0,0,0,29,2,clean
0,0.000274,0,0,0,0,0,0.061715,0,0,0,1,0,0,0,0,1,0,0,0,1,clean
0,0.000312,0,0,0,0,0,0.06092,0,0,0,1,0,0,0,0,0,0,0,7,2,clean
0,0.003182,0,0,0,0,0,0.157991,0,0,0,2,0,0,0,0,1,0,0,4,1,buggy
0,0.001672,0,0,0,0,0,0.101419,0,0,1,2,0,1.01,0,0,0,0,0.00166,3,2,clean
0,0.006706,0,0,0,0,0,0.206728,0,0.000762,20,5,0,0,1.01,0,9,0,0,90,22,clean
7,0.067433,0.001685,0.00149,0,0,0.003022,0.2679,0,0.001986,0,3,0,0,1.01,0,9,0,0,21,4,buggy
1,0.063615,0.00345,0.003252,3,0,0.001161,0.341364,1.01,0,0,1,0.000797,0,0,0,3,0,0,0,9,clean
