@relation data/M_multi_metrics_PDE.csv-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R41-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R47-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R39-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R50-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R31-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R3

@attribute ck_oo_numberOfPrivateMethods numeric
@attribute LDHH_fanIn numeric
@attribute CvsWEntropy numeric
@attribute LDHH_numberOfPublicMethods numeric
@attribute LDHH_numberOfPrivateAttributes numeric
@attribute CvsEntropy numeric
@attribute LDHH_numberOfPublicAttributes numeric
@attribute WCHU_numberOfPrivateMethods numeric
@attribute ck_oo_noc numeric
@attribute numberOfCriticalBugsFoundUntil: numeric
@attribute ck_oo_wmc numeric
@attribute LDHH_numberOfPrivateMethods numeric
@attribute WCHU_numberOfPrivateAttributes numeric
@attribute CvsLogEntropy numeric
@attribute WCHU_noc numeric
@attribute LDHH_numberOfAttributesInherited numeric
@attribute ck_oo_fanOut numeric
@attribute ck_oo_numberOfAttributesInherited numeric
@attribute ck_oo_dit numeric
@attribute ck_oo_fanIn numeric
@attribute LDHH_noc numeric
@attribute WCHU_dit numeric
@attribute ck_oo_lcom numeric
@attribute WCHU_numberOfAttributesInherited numeric
@attribute LDHH_numberOfAttributes numeric
@attribute LDHH_numberOfLinesOfCode numeric
@attribute WCHU_fanOut numeric
@attribute ck_oo_numberOfAttributes numeric
@attribute numberOfHighPriorityBugsFoundUntil: numeric
@attribute ck_oo_numberOfPrivateAttributes numeric
@attribute numberOfMajorBugsFoundUntil: numeric
@attribute WCHU_numberOfPublicMethods numeric
@attribute LDHH_dit numeric
@attribute WCHU_numberOfMethodsInherited numeric
@attribute LDHH_fanOut numeric
@attribute ck_oo_numberOfMethodsInherited numeric
@attribute ck_oo_numberOfPublicMethods numeric
@attribute CvsExpEntropy numeric
@attribute LDHH_numberOfMethods numeric
@attribute class {buggy,clean}

@data
0,0.005189,0.105389,0.004203,0.004297,6.6749,0,0,0,0,9,0,2.02,0.332866,0,0.001223,3,1,3,5,0,1.02,21,1.01,0.017152,0.031521,3.04,3,0,2,1,2.09,0.000869,2.2,0.010649,14,6,0.209245,0.00477,clean
0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,7,3,4,1,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,51,3,0,0,clean
8,0,0.032927,0,0,19.4361,0,1.01,0,1,34,0.00236,0,0.49789,0,0.000413,17,6,2,1,0,0,66,1.01,0,0.009936,1.02,3,0,3,1,0,0,1.01,0.002006,14,2,0.05424,0.002453,clean
2,0.001689,0.061022,0,0,17.9064,0,0,0,0,27,0,0,0.454358,0,0,10,0,1,0,0,0,28,0,0,0.00951,2.02,4,0,4,0,0,0,0,0.001873,0,6,0.046823,0,buggy
1,0.007865,0.109004,0.00172,0.004365,17.0697,0,1.03,4,0,32,0.000672,5.12,0.440287,6.09,0,9,0,1,19,0.005956,0,210,0,0.005338,0.008612,3.05,9,0,6,0,2.03,0,0,0.002715,0,18,0.05196,0.00621,clean
11,0,0.185996,0,0.00151,11.5477,0,1.01,0,0,53,0.001176,1.01,0.429205,0,0,11,0,1,5,0,0,210,0,0.00156,0.032098,3.04,10,0,10,0,0,0,1.01,0.003569,6,9,0.153375,0.001378,buggy
4,0.00483,0.103528,0.002323,0,17.2611,0,1.02,0,0,28,0.002259,0,0.450399,0,0,11,0,1,0,0,0,55,0,0,0.011426,2.05,5,2,5,3,1.01,0,0,0.00415,0,7,0.066245,0.00233,buggy
0,0,0.001136,0,0,3.19695,0,0,0,0,3,0,0,0.09499,0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0.0312,0,clean
3,0,0.003338,0,0,4.22329,0,0,0,0,36,0,0,0.11579,0,0,7,0,2,1,0,0,21,0,0,0.005761,0,0,0,0,0,0,0,1.01,0,29,2,0.033951,0,clean
0,0,0.000274,0,0,1.76682,0,0,0,0,4,0,0,0.061715,0,0,1,0,1,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.033928,0,clean
0,0,0.000312,0,0,1.77712,0,0,0,0,2,0,0,0.06092,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1.01,0,7,2,0.030953,0,clean
0,0,0.003182,0,0,5.70432,0,0,0,0,3,0,0,0.157991,0,0,5,0,2,1,0,0,1,0,0,0,1.01,1,0,1,0,0,0,0,0.001234,4,1,0.035389,0,buggy
