@relation 'bugzilla-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.405ns-0.399nm-0.338nf-0.333sexp-0.329entropy... numeric
@attribute '-0.502exp-0.484rexp-0.405sexp-0.261npt+0.26 nf...' numeric
@attribute '-0.574la-0.522ld+0.361lt+0.315ndev+0.27 fix...' numeric
@attribute 0.467ld+0.459lt+0.391la+0.386ndev+0.334fix... numeric
@attribute 0.637pd+0.404lt+0.338nf+0.274npt+0.237ndev... numeric
@attribute -0.837fix+0.317lt-0.285pd-0.229nf+0.147ns... numeric
@attribute -0.761npt-0.368ns-0.365nm+0.306lt+0.167entropy... numeric
@attribute -0.821entropy-0.321npt+0.289nm+0.201ns-0.195ndev... numeric
@attribute -0.499ld+0.499la-0.484ndev+0.396lt+0.172entropy... numeric
@attribute '0.546ndev+0.5  la-0.494ld-0.321lt-0.219entropy...' numeric
@attribute bug {1,0}

@data
-0.293647,1.336214,0.104303,-0.453032,-0.314602,-0.798925,1.850114,-0.314656,-0.026917,0.02273,1
1.527884,0.146972,-0.240487,-0.418321,-0.423666,-0.575092,-0.233178,0.40106,0.346413,-0.573071,1
-15.231021,6.149184,-4.941128,-9.521939,17.482279,-6.18424,-2.222875,0.977588,2.4115,-1.557165,0
-1.767471,-0.654922,-0.351437,-0.792188,1.435872,-1.006623,0.246411,-1.295435,0.060846,-0.217783,0
-7.712614,4.444944,-1.502715,-4.058074,7.599195,-4.558257,-0.206017,0.51615,0.926776,-0.737724,0
-3.232211,0.452749,-0.586703,-1.682827,2.359278,-1.800194,1.748357,-0.632037,0.050428,-0.227579,0
-7.732326,4.118321,-2.416354,-5.033451,8.008603,-1.915035,0.05062,0.231401,0.670597,-0.49458,0
-7.723332,3.975954,-1.547449,-4.015657,7.386369,-4.356868,-0.044321,0.294544,1.040882,-0.790891,0
-2.84549,4.096519,-0.650792,-1.998463,1.149249,1.021619,0.745139,0.576419,-0.268308,0.363968,0
-2.59354,2.174936,0.594492,0.155892,-0.041816,-0.433123,-0.748777,-0.394342,0.003006,0.127682,1
