@relation 'columba-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R2-3,5-6,10,12-14'

@attribute ns numeric
@attribute entropy numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute npt numeric
@attribute bug {1,0}

@data
1,0.954434,39,0,1,1,0
1,0.693298,102,0,6,1,0
1,0,113,1,3,1,0
1,0.894836,232.5,0,8,1,0
1,0,804,0,4,1,1
1,0.420504,14,0,5,0.833333,1
1,0.185125,85,0,2,1,1
1,0.109606,57.5,0,6,1,1
1,0.596058,46.083333,0,5,0.75,0
1,0,91,0,4,1,0
1,0,188,0,6,1,1
1,0.922311,69,1,5,1,0
1,0.811278,210.5,1,7,1,0
1,1,89.5,1,4,1,0
1,0,21,0,3,1,0
1,0,21,0,3,1,0
1,0,21,0,3,1,0
1,0,19,0,3,1,0
1,0,27,0,3,1,0
1,0,27,0,3,1,0
1,0.725304,229.2,1,8,1,0
1,0.721928,54.5,1,2,0.5,0
1,0,163,0,6,1,0
1,0.988109,123.090909,1,6,0.636364,0
1,0.189427,180.666667,0,6,1,0
1,0,0,0,6,1,0
2,0.923853,116.342105,0,8,0.114035,1
1,0,53,1,2,1,0
2,0.521998,31.230769,1,2,0.384615,0
3,0.895134,128.2,1,2,0.8,0
3,0,62.884615,0,1,0.009615,0
1,0,2,0,1,1,0
3,0,64.875,0,1,0.125,0
1,0,34,0,1,1,0
2,0.260863,121.5,1,1,1,0
4,0,62.2,0,1,0.2,1
1,0,53,1,1,1,0
2,0,27.666667,0,1,0.333333,0
3,0.561975,39.857143,0,1,0.571429,0
2,0,77.4,0,1,0.2,1
6,0,12.862745,0,1,0.009804,1
1,0,96,0,1,1,0
1,0,44,0,1,1,0
2,0,25,0,1,0.5,0
1,0,379,0,1,1,0
1,0,126,0,1,1,0
1,0.088232,168,1,2,1,0
1,0,50,1,1,1,0
1,0,107,0,1,1,0
2,0,43.748252,0,1,0.006993,0
3,0.74748,46.285714,0,1,0.333333,0
1,0.561838,32,0,1,0.666667,0
2,0,45.333333,0,1,0.333333,0
1,0,77,1,2,1,0
5,0.720227,109.857143,0,1,0.714286,0
3,0.509454,103.666667,0,1,0.444444,0
2,0,38.666667,0,1,0.333333,0
