@relation 'columba-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2'

@attribute ns numeric
@attribute entropy numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute rexp numeric
@attribute bug {1,0}

@data
1,0.954434,0.102564,39,0,1,53,1,8343.008333,0
1,0.693298,0.091503,102,0,6,24,1,70,0
1,0,0.044248,113,1,3,41,1,713.716667,0
1,0.894836,0.034409,232.5,0,8,97,1,5914.816667,0
1,0,0.004975,804,0,4,8,1,712.283333,1
1,0.420504,0.071429,14,0,5,411,0.833333,673.633333,1
1,0.185125,0.047059,85,0,2,125,1,5276.666667,1
1,0.109606,1.147826,57.5,0,6,60,1,5285.5,1
1,0.596058,0.245931,46.083333,0,5,856,0.75,4430,0
1,0,0,91,0,4,7,1,4174.5,0
1,0,0.351064,188,0,6,128,1,5347.983333,1
1,0.922311,0.004831,69,1,5,389,1,5670.85,0
1,0.811278,0.014252,210.5,1,7,142,1,5676.533333,0
1,1,0.011173,89.5,1,4,6,1,5156.833333,0
1,0,0.047619,21,0,3,47,1,5257.916667,0
1,0,0.047619,21,0,3,19,1,5311.416667,0
1,0,0.047619,21,0,3,1,1,5297.75,0
1,0,0.052632,19,0,3,9,1,5443.333333,0
1,0,0.037037,27,0,3,9,1,4388.5,0
1,0,0.037037,27,0,3,23,1,4158,0
1,0.725304,0.045375,229.2,1,8,108,1,870.9,0
1,0.721928,0.091743,54.5,1,2,304,0.5,5725.483333,0
1,0,0,163,0,6,0,1,701.466667,0
1,0.988109,0.008863,123.090909,1,6,598,0.636364,5677.916667,0
1,0.189427,0.031365,180.666667,0,6,206,1,717.5,0
1,0,0,0,0,6,141,1,5317.666667,0
2,0.923853,2.2654,116.342105,0,8,479,0.114035,1078.5,1
1,0,0.207547,53,1,2,17,1,12.866667,0
2,0.521998,1.812808,31.230769,1,2,338,0.384615,25.866667,0
3,0.895134,0.118565,128.2,1,2,85,0.8,30.866667,0
3,0,0,62.884615,0,1,0,0.009615,6272.622619,0
1,0,0,2,0,1,0,1,6917.622619,0
3,0,0,64.875,0,1,0,0.125,8367.008333,0
1,0,5.411765,34,0,1,0,1,8367.008333,0
2,0.260863,0.016461,121.5,1,1,0,1,8256.378571,0
4,0,0,62.2,0,1,0,0.2,8253.378571,1
1,0,0.018868,53,1,1,0,1,8257.378571,0
2,0,0,27.666667,0,1,0,0.333333,8275.378571,0
3,0.561975,0.111111,39.857143,0,1,0,0.571429,8353.008333,0
2,0,0,77.4,0,1,0,0.2,8233.378571,1
6,0,0,12.862745,0,1,0,0.009804,6168.622619,1
1,0,0.041667,96,0,1,0,1,8367.008333,0
1,0,0,44,0,1,0,1,8227.171429,0
2,0,0,25,0,1,0,0.5,8353.008333,0
1,0,0.002639,379,0,1,0,1,8367.008333,0
1,0,0.079365,126,0,1,0,1,8367.008333,0
1,0.088232,1.255952,168,1,2,34,1,11.866667,0
1,0,0.14,50,1,1,5,1,8229.486905,0
1,0,0.196262,107,0,1,0,1,8276.378571,0
2,0,0,43.748252,0,1,0,0.006993,5905.622619,0
3,0.74748,0.195473,46.285714,0,1,82,0.333333,8222.171429,0
