@relation 'jdt-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.42sexp-0.416exp-0.377rexp-0.375nm-0.357nf... numeric
@attribute -0.408sexp-0.408exp+0.392nf+0.371nm-0.367rexp... numeric
@attribute -0.606ndev-0.543lt+0.324la-0.274entropy-0.203fix... numeric
@attribute -0.549entropy+0.538npt+0.364pd+0.349lt+0.278nf... numeric
@attribute 0.734ld+0.563la+0.204fix+0.201ndev+0.164lt... numeric
@attribute -0.762ns-0.532fix+0.225ndev+0.201ld+0.116lt... numeric
@attribute -0.671la+0.574ld-0.319fix+0.309ns-0.076ndev... numeric
@attribute 0.661fix-0.467ns-0.322la-0.304npt+0.263ld... numeric
@attribute 0.713lt-0.499ndev-0.384npt-0.171fix+0.122rexp... numeric
@attribute 0.703entropy+0.561npt-0.311ndev+0.162rexp+0.151pd... numeric
@attribute '-0.705nm+0.62 pd-0.195npt-0.188rexp+0.105ns...' numeric
@attribute bug {1,0}

@data
-0.075255,0.427254,-0.949693,-0.661824,0.270361,-0.519022,-0.66359,1.398411,0.259995,-0.09743,0.37033,1
-2.503914,-3.430775,0.820495,0.593726,-0.313644,-0.39882,0.322072,0.124488,0.520636,0.190399,-0.289893,0
0.856036,0.10803,1.222511,0.251289,-0.672147,0.120796,0.57902,-0.297947,0.15168,0.108964,-0.433481,1
-2.684641,-2.861503,1.714975,-0.557232,-0.747954,-0.497537,0.319749,0.779308,0.703506,-0.612172,0.045255,0
-14.805521,12.995068,4.718678,3.183683,-1.077938,0.378406,0.022351,1.303075,2.764262,-2.150633,-11.31353,0
0.683152,-0.065772,1.277662,0.253859,-0.533581,0.099407,0.455538,-0.321722,0.23715,0.140822,-0.466133,0
0.869465,-0.240588,1.20679,0.235934,-0.637041,0.09501,0.537475,-0.258026,0.233304,0.163286,-0.148779,0
-5.49592,0.506274,1.578733,-1.957811,-0.677394,-0.131544,-0.169971,1.503647,2.211067,-0.557022,-1.761437,0
0.775891,0.114624,-1.982187,1.512757,0.660593,-0.217442,-0.478011,0.489815,0.172352,-0.420073,-0.001477,0
-0.013296,1.104712,-1.738018,-0.51651,0.114106,1.04817,0.090697,-0.628466,0.148512,0.52604,0.139148,0
-0.539253,-0.290782,-1.070772,-0.514264,-0.025307,0.531419,0.165326,-0.355089,0.402492,1.639123,0.179107,0
0.563664,0.680451,-0.462647,-0.764391,-0.169271,0.586329,0.206465,-0.475801,-0.066333,1.446081,0.209747,0
-3.234306,-2.524521,0.780316,-0.926531,-0.485924,-0.203937,0.090265,0.846956,1.33682,-0.854433,-0.129614,1
-2.513205,-2.913897,1.089189,0.291306,-0.282461,-0.399081,0.21673,0.053379,0.196279,0.326789,-0.607214,0
