@relation 'jdt-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R2-3,10,12-14'

@attribute ns numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute npt numeric
@attribute bug {1,0}

@data
1,0.581676,0.065669,0.021729,690.333333,1,6,0.666667,1
1,0,0.002985,0.008955,670,0,3,1,0
1,0,0,0,34.5,0,1,1,1
1,0,0,0,0,0,1,0.666667,0
1,0.622239,0.217704,0.266461,170.533799,0,1,0.018648,0
1,0,0.063584,0.063584,86.5,0,1,1,0
1,0,0.01087,0.01087,92,0,1,1,0
1,0.712136,0.146362,0.112639,344.547619,0,1,0.119048,0
1,0,0.003859,0,1555,1,10,1,0
1,0.781666,0.010143,0.00039,1098.571429,0,10,0.857143,0
1,0.94566,0.00366,0.001372,1093,0,6,1,0
1,0.877962,0.049702,0.023857,503,0,5,1,0
1,0.169455,0.02926,0.021084,581,0,3,0.5,1
1,0.106413,0.074468,0.002901,344.666667,0,3,1,0
1,0,0.006803,0.006803,147,0,1,1,0
1,0.600562,0.090007,0.001102,544.4,1,3,1,0
1,0,0.004608,0.023041,217,0,1,1,0
1,0.863121,0.008837,0.001473,339.5,0,1,1,0
1,0.908951,0.013636,0.005303,264,0,1,0.8,0
1,0.645076,0.012999,0.002786,359,0,1,1,0
1,0.856485,0.008755,0.004596,761.5,0,6,0.5,0
1,0,0.00177,0.00177,565,0,2,1,0
1,0.851037,1.395643,1.676248,119.578279,0,1,0.002821,1
1,0,0,0,158.61708,0,1,0.002755,1
1,0,0,0,61,0,1,1,0
1,0.307457,0.130709,0.040945,317.5,0,1,1,0
1,0,0.125,0.125,8,0,6,1,0
1,0,0.078431,0.031513,1428,1,1,1,0
1,0,0.025641,0.003663,273,0,10,1,0
1,0,0.016736,0.008368,239,0,8,1,0
1,0,0.017778,0.002963,1350,0,8,1,0
1,0,0.0069,0.00345,3768,0,10,1,0
1,0,0.020408,0.005102,196,0,6,1,0
