@relation 'platform-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R3,12-13'

@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
1,3,0.994911,0.159684,0.096443,74.411765,1,9,1377,0.823529,17,0
1,4,0.874002,0.090802,0.071934,212,1,1,117,1,1076,1
1,1,0,0.008929,0.089286,336,1,2,2,1,3790,0
3,15,0.816872,0.877167,0.877167,85.7875,0,3,6526,0.475,1179,1
1,1,0.777333,0.064397,0.156394,181.166667,0,2,2885,0.833333,85,0
1,1,0.714332,0.114846,0.211685,312.375,0,2,2214,0.875,73,0
1,1,0.455257,0.242059,0.172095,276.333333,0,2,1708,0.444444,42,0
1,1,0,0,0,272.111111,0,1,0,0.111111,9,0
1,1,0,0.003448,0.003448,580,0,1,233,1,51,0
1,1,0,0.003448,0.003448,580,0,1,231,1,50,0
1,10,0,0,0,0,0,2,0,0.010101,99,0
1,1,0.78969,0.006821,0.001364,244.333333,0,1,717,0.666667,64,0
1,1,0,0.003448,0.003448,580,0,1,231,1,49,0
1,1,0.666326,0.13797,0.196123,438.5,0,2,758,0.75,29,0
1,1,0,0.054614,0.062147,531,0,1,3,1,16,0
1,1,0,0.029963,0,534,0,1,0,1,15,0
1,1,0.767919,0.15503,0.106102,606.333333,0,1,0,0.666667,14,0
1,1,0,0,0,0,0,1,233,1,61,0
1,1,0,0.001721,0.001721,581,0,1,67,1,65,0
1,1,0,0.055556,0.055556,18,0,2,168,1,48,0
1,1,0.689328,0.160435,0.100805,704.333333,0,2,0,0.333333,45,0
1,1,0.713195,0.173701,0.108225,616,0,2,0,0.333333,33,0
1,1,0.696212,0.029886,0.008368,836.5,0,1,0,0.5,11,0
1,1,0.498267,0.159021,0.098733,381.5,0,2,0,0.166667,79,0
1,1,0,0.000812,0.000812,1231,0,2,3,1,101,0
1,1,0,0,0,0,0,2,3437,0.666667,61,0
1,1,0.619382,0.00677,0.002031,738.5,0,2,0,1,47,0
1,1,0,0.555556,0.055556,18,0,2,0,1,30,0
1,1,0,0.5,0,18,0,2,0,1,102,0
1,1,0,0.055556,0.055556,18,0,2,3,1,100,0
1,10,0,0,0,55.080808,0,1,0,0.010101,99,0
1,2,0.154951,0.373219,0.198006,351,1,4,233,1,285,1
1,1,0,0.034483,1.137931,29,1,3,44,1,245,0
1,1,0,0,0,82.8,0,1,0,0.1,11,0
1,1,0.259783,0.020725,0.001727,72.375,0,4,116,0.375,17,0
1,2,1,0.075,0.075,26.666667,0,3,220,1,377,0
2,2,0.928362,0.020756,0.002965,674.5,1,6,344,1,7,0
1,5,0.172335,0.079404,0.114144,21.210526,0,5,131,0.105263,207,0
2,2,0.965636,0.012876,0.011803,466,1,4,17,1,657,1
1,1,0,0,0,233,1,1,0,0.333333,2766,0
2,6,0.951427,0.012511,0.012079,289.75,1,11,59,0.375,2491,0
1,1,0,0,0.055556,6,1,3,63,1,464,0
1,1,0,0.054366,0.016474,607,1,3,23,1,273,0
1,1,0,0,0,26,0,4,138,0.666667,24,0
1,2,0.990225,0.060606,0.084175,148.5,1,1,36,1,292,1
2,2,0.995727,0.030899,0.005618,178,1,4,11,1,1491,0
1,1,0,0.001377,0.001377,726,0,4,4,1,183,1
1,1,0,0.12963,0,54,1,2,7,1,175,0
2,4,0.904788,0.045494,0.003433,291.25,1,9,50,1,867,0
1,1,0,0.049091,0.018182,550,1,2,0,1,88,1
1,1,0,0.006623,0.006623,151,1,6,22,1,1,0
2,2,0.976021,0.01002,0.004676,748.5,1,4,28,1,2513,0
1,1,0,0.145455,0.036364,55,1,3,86,1,320,0
1,1,0,0,0,0,0,1,0,1,186,0
1,1,0,0,0,0,0,1,0,0.333333,219,0
1,1,0,0,0,176.333333,0,1,0,0.333333,210,0
1,1,0,0,0,0,0,1,0,1,186,0
1,2,0,0,0,0,0,1,0,0.5,186,0
1,2,0.749595,0.230769,0.128205,78,1,3,354,1,536,0
2,11,0.994361,0.009988,0.009988,220.266667,0,10,139,0.866667,4643,0
1,1,0.739352,0.022568,0.022568,257,0,10,964,0.8,499,0
1,1,0,0.078947,0.013158,76,1,3,15,1,461,0
1,1,0.988109,0.008449,0.000768,118.363636,1,10,393,0.363636,460,0
1,2,0.998364,0.132911,0,79,1,3,61,1,444,0
1,1,0,0.112676,0.15493,71,1,3,1,1,440,0
1,1,0.241768,0.076174,0.028344,376.333333,1,9,54,0.333333,439,0
1,1,0,0.43662,0.028169,71,1,3,119,1,383,0
1,1,0,0,0.016949,59,1,3,37,1,372,0
1,1,0,0.033333,0.033333,60,1,3,3,1,353,0
1,2,0.787127,0.195652,0.173913,46,1,3,2,0.5,352,1
1,1,0,0.017857,0.017857,56,1,3,0,1,344,1
1,1,0,0.142857,0,56,1,3,0,1,343,1
2,4,0.788294,0.023385,0.028953,112.25,0,3,293,0.5,1337,1
1,1,0,0.074074,0.055556,54,1,3,1,1,261,0
1,1,0,0.37037,0.055556,54,1,3,95,1,252,0
1,1,0,0.057692,0.057692,52,0,3,45,1,233,0
1,1,0,0.035714,0.035714,56,0,2,6,1,185,0
1,1,0.922317,0.02,0.009231,216.666667,1,7,1,1,182,1
1,1,0,0.037736,0.037736,53,0,2,32,1,172,0
2,4,0.853197,0.005833,0.083333,171.428571,1,9,59,0.857143,858,1
1,1,0,0,0.106061,66,0,2,0,1,161,0
2,2,0.896241,0.010471,0.010471,143.25,1,8,3,0.75,809,0
1,1,0.827176,0.094637,0.018927,211.333333,1,7,24,1,157,1
1,2,0.371232,0.083333,0.208333,48,0,2,76,1,153,1
1,1,0,0.030769,0,65,1,2,19,1,147,0
1,1,0,0.016667,0.016667,60,0,2,18,1,114,0
1,1,0,0.1,0.483333,60,1,2,4,1,85,0
1,1,0.819779,0.246291,0.299703,168.5,0,2,2,1,78,1
1,1,0,0.533333,0.066667,75,1,2,7,1,68,0
1,1,0,0.047337,0.06213,169,1,2,6,1,36,1
1,2,0.922456,0.084479,0.062868,127.25,1,6,0,1,28,0
1,1,0,0.017857,0.017857,56,0,2,1,1,16,0
1,1,0.665274,0.405594,0.118881,71.5,1,5,10,1,315,0
1,1,0,0,0,0,0,1,0,1,105,0
1,2,0.987693,0.707071,0.222222,49.5,0,1,0,0.5,109,0
1,2,0.90072,2.264151,0,26.5,0,1,0,0.5,105,0
1,1,0,0.009945,0.00442,905,1,5,104,1,548,0
1,1,0,0.023359,0.006674,899,1,5,284,1,531,0
3,4,0.61832,0.008753,0.007659,457,0,9,89,1,1225,1
1,1,0,0.001134,0.001134,882,0,5,31,1,507,0
1,1,0,0.001134,0.001134,882,0,5,0,1,494,0
1,1,0,0.002268,0,882,1,5,147,1,10,0
1,1,0,0.195678,0.121248,833,1,4,1,1,441,1
1,1,0,0.002551,0.003827,784,1,4,0,1,397,0
1,1,0,0.007634,0.006361,786,1,4,86,1,395,1
2,2,1,0.002389,0.002389,418.5,1,4,133,1,2245,0
1,1,0,0.001274,0.001274,785,0,4,20,1,373,0
1,1,0,0.001274,0.001274,785,1,4,7,1,369,0
2,2,0.831474,0.005693,0.006325,790.5,1,4,0,1,2429,0
2,4,0.88831,0.011526,0.001383,542.25,1,5,216,1,2426,1
2,3,0.810575,0.040481,0.014223,228.5,1,4,145,1,2397,0
1,1,0,0.005148,0.005148,777,1,4,15,1,363,0
1,1,0,0.002574,0.002574,777,0,4,3,1,354,0
1,2,0.977409,0.023852,0.027385,283,0,9,219,0.75,350,1
1,1,0.322757,0.035253,0.0047,425.5,1,4,56,1,339,0
2,2,0.516343,0.025755,0.005329,375.333333,1,4,209,1,2100,1
1,1,0,0.001305,0.001305,766,0,4,24,1,335,0
1,1,0,0.016971,0,766,1,4,3,1,5,0
1,1,0,0,0.001309,764,0,4,1,1,331,0
1,1,0.918296,0.058264,0.005945,420.5,1,3,90,1,326,0
1,1,0,0.100917,0.06422,763,1,3,2,1,324,0
1,1,0,0.009396,0.006711,745,1,3,23,1,319,0
1,1,0,0.025538,0.005376,744,1,3,19,1,314,0
1,1,0,0.016327,0.012245,735,1,3,0,1,311,0
1,1,0,0.019048,0.008163,735,1,3,0,1,15,0
1,1,0,0.04104,0.002736,731,1,3,27,1,14,0
1,1,0,0.064789,0.015493,710,1,3,15,1,309,1
1,1,0,0.001439,0.001439,695,1,3,0,1,289,0
1,1,0,0.002878,0.002878,695,0,3,0,1,288,0
1,1,0,0.001439,0.001439,695,0,3,0,1,13,0
1,1,0,0.01295,0.004317,695,1,3,0,1,287,0
1,1,0,0.005789,0.001447,691,1,3,5,1,12,1
1,1,0,0.005806,0.005806,689,1,3,0,1,286,0
1,1,0,0.086179,0.001626,615,1,3,56,1,279,0
1,1,0,0.01675,0.008375,597,1,3,0,1,267,0
2,2,1,0.012308,0.003077,325,1,3,8,0.5,707,0
2,2,0.98424,0.083591,0.010836,323,1,3,90,1,691,1
1,1,0.954434,0.057903,0.042254,319.5,1,3,0,0.5,259,1
1,1,0.930586,0.23937,0.006299,317.5,1,3,146,1,254,1
1,1,0,0,0.001859,538,0,3,1,1,250,0
2,2,0.616166,0.068471,0.025478,314,1,3,157,1,635,1
1,1,0,0.078358,0.022388,536,1,3,46,1,242,0
1,1,0,0,0.001942,515,1,3,3,1,229,0
1,1,0,0,0.013592,515,0,3,0,1,227,0
1,1,0,0.046602,0.003883,515,0,3,11,1,226,0
1,1,0,0.145631,0.029126,515,1,3,3,1,10,1
1,2,0.764205,0.356343,0.01306,268,1,2,18,1,221,1
1,1,0,0.005089,0.007634,393,0,1,3,1,218,0
1,1,0,0.066158,0,393,1,1,0,1,217,0
1,1,0,0.018277,0.010444,383,1,1,1,1,216,0
1,1,0,0.005195,0.005195,385,1,1,0,1,213,0
1,1,0,0.005195,0.005195,385,1,1,10,1,212,0
1,1,0,0.002597,0.002597,385,0,1,13,1,204,1
1,2,0.747394,0.041108,0.013405,559.5,1,4,5,1,192,1
1,1,0,0.067024,0.005362,373,0,1,1,1,190,1
2,3,0.780274,0.017476,0.030421,309,1,8,61,1,1216,1
1,1,0,0.096257,0,374,1,1,51,1,176,1
1,1,0,0.017192,0.008596,349,0,1,15,1,154,0
1,1,0,0.002882,0.002882,347,1,1,8,1,145,0
2,3,0.759178,0.031288,0.019632,407.5,0,3,0,1,566,1
1,1,0,0.040346,0.020173,347,1,1,0,1,138,0
1,1,0,0.008772,0,342,1,1,0,1,137,0
1,3,0.39195,0.098282,0.034351,349.333333,0,3,9,0.333333,136,1
1,2,0.548487,0.070915,0.002055,486.5,1,3,8,1,128,1
1,1,0,0.011278,0.003759,266,0,1,9,1,115,0
1,1,0,0.033835,0.011278,266,1,1,9,1,100,1
1,1,0,0.068441,0.08365,263,1,1,0,1,86,1
1,1,0,0.003745,0.003745,267,0,1,4,1,80,0
2,2,1,0.005682,0,176,1,3,7,1,141,0
1,1,0,0.129032,0.064516,279,0,1,7,1,69,0
1,1,1,0.004435,0.004435,225.5,0,6,0,1,48,0
1,1,0,0.115385,0.009615,52,0,4,253,1,37,0
1,1,0,0.131274,0.027027,259,1,10,178,1,532,0
1,1,0,0.111554,0.031873,251,1,10,148,1,530,0
1,1,0,0.003984,0.003984,251,1,10,52,1,483,0
1,3,0.682755,0.096079,0.062473,257.888889,1,10,556,0.666667,9,1
1,1,0,0.023904,0.003984,251,1,9,140,1,380,0
1,1,0,0.052419,0.016129,248,1,9,3,1,355,1
2,2,0.840359,0,0.117914,220.5,1,9,102,1,1774,0
1,1,0,0.019531,0.007813,256,1,9,35,1,281,0
2,2,0.970951,0.115556,0.028889,225,1,9,14,0.5,1257,1
1,1,0,0.004184,0.004184,239,1,9,12,1,260,0
2,3,1,0.003376,0.003376,296.25,0,9,207,1,614,0
1,1,0,0.012552,0.004184,239,1,9,0,1,244,0
1,1,0,0.008368,0.004184,239,1,9,23,1,243,0
2,2,0.650022,0.019337,0.013812,181,1,9,19,1,557,1
1,2,0.487918,0.044792,0.023958,480,1,9,9,1,238,1
1,1,0,0.012712,0.016949,236,0,9,27,1,232,0
1,1,0,0.004237,0.004237,236,0,9,3,1,3,0
1,1,0,0.004237,0,236,0,8,11,1,228,0
2,3,0.861878,0.0928,0.0176,208.333333,1,10,9,0.666667,1624,0
1,2,0.991076,0.019293,0.009646,155.5,1,7,17,1,215,0
1,1,0,0.16087,0.095652,230,1,7,9,1,197,1
2,2,0.563856,0.115183,0.062827,191,1,8,6,1,1153,1
1,1,0,0.027273,0.004545,220,1,7,7,1,174,0
1,1,0,0.022936,0.009174,218,1,7,16,1,168,0
2,2,0.543564,0.011516,0.003839,260.5,1,7,26,1,684,0
1,2,0.988699,0.030474,0.005643,443,0,7,10,1,144,1
1,1,0.666578,0.082677,0.007874,127,0,7,7,1,122,1
1,1,0,0,0.015957,188,0,7,5,1,6,0
2,4,0.730481,0.053631,0.007821,223.75,1,9,19,1,476,0
1,2,1,0.002699,0.002699,370.5,0,7,4,1,104,0
1,1,0,0.043956,0.021978,182,1,7,5,1,102,0
