@relation 'postgres-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R2-3,12-13'

@attribute ns numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
10,0.999731,0.00699,0.00699,284.461095,0,20,70706,0.195965,1594,0
10,0.99952,0.006866,0.006866,288.6,0,20,108260,0.286093,25556,0
1,0,0.025641,0.029915,234,0,2,0,1,510,1
2,0.861654,6,6,0,0,7,1230,0.5,107,0
1,0,0,0,0,0,3,298,1,468,0
1,1,6,6,0,0,4,284,0.333333,398,0
1,0,0.017699,0.017699,226,0,7,66,1,239,0
1,0,0.012461,0.006231,321,0,5,53,1,792,1
2,0.907302,0.009187,0.009187,551.0625,1,11,587,0.75,12527,0
5,0.912627,0.009987,0.02318,583.347826,0,14,884,0.565217,13552,1
1,0,0.012048,0.012048,83,0,2,97,1,221,1
1,0.918296,0.007848,0.005886,764.5,0,5,86,1,5872,0
2,0.863121,0.003644,0.003644,960.5,0,4,27,1,1111,1
2,0.359827,0.001592,0.089968,753.6,0,10,5,0.2,10679,0
1,0,0.002139,0.002139,935,0,9,0,1,8670,0
3,0.930392,0.013198,0.014213,197,1,4,831,0.8,3483,1
3,0.68385,0.022554,0.023315,438.444444,1,9,944,0.888889,408,1
1,0,0.5,0.5,4,0,5,1,1,3605,0
3,0.384262,0.041971,0.062044,411,1,5,389,1,868,0
1,0.03457,0.089649,0.101776,5772.5,0,3,14,1,3034,0
10,0.999877,0.002392,0.002392,418.854582,0,15,49116,0.270916,540,0
1,0,0.004255,0.008511,235,1,8,0,1,283,0
3,0.849032,0.011666,0.011666,417.875,0,10,16,0.125,472,0
3,0.849032,0.011666,0.011666,417.875,0,10,445,1,463,0
1,0,0.045627,0.053232,263,1,2,1,1,1359,0
10,0.999984,0.005647,0.005647,354.323232,0,28,171439,0.228283,37169,0
4,0.940164,0.004057,0.004242,985.909091,0,23,2108,0.545455,27185,0
2,0.187028,0.065893,0.012018,804.333333,0,18,22,1,562,1
1,0.304221,0.047882,0.013505,543,1,10,369,1,1424,0
1,0,0.018542,0.011643,2319,1,16,8,1,18535,0
1,0,0.231884,0.043478,69,1,3,740,1,156,0
3,0.254768,0.11794,0.026578,200.666667,1,9,27,1,278,0
2,0.878674,0.006174,0.006443,1862.5,1,12,194,1,23738,0
2,0.901894,0.025401,0.029412,249.333333,0,15,335,0.666667,11549,0
1,0,0.004988,0.004988,401,1,7,22,1,1203,0
10,0.999984,0.005787,0.005787,345.761458,0,25,174659,0.286458,35375,0
7,0.94926,0.003686,0.002666,797,0,21,4222,0.78125,2563,0
3,0.252239,0.067204,0.018817,248,0,6,24,0.666667,215,0
1,0,0.020408,0.006803,735,0,6,11,1,87,0
1,0,0.035223,0.000859,1164,0,10,21,1,1198,0
1,0,0.006667,0.006667,450,0,9,302,1,416,0
2,0.971963,0.001914,0.002436,957.833333,0,15,549,1,1191,0
2,0.750469,0.010649,0.121007,344.333333,0,12,85,1,22103,0
4,0.862882,0.023261,0.012736,636.888889,0,20,1151,0.481481,24483,1
1,0,0.119048,0.015873,126,0,3,161,1,1006,0
1,0,0.009421,0.001346,743,0,6,0,1,584,0
1,0,0.028953,0.002227,449,0,9,119,1,5094,0
3,0.703171,0.072519,0.038119,681.2,1,18,1203,0.533333,20485,1
1,1,0.346457,0.220472,127,1,3,0,0.5,6,1
1,0.317521,0.008929,0.044643,112,0,6,118,1,14,1
1,0,0.462687,0.014925,67,1,7,47,1,17037,0
2,1,0.001589,0.001589,1258.5,0,14,0,1,17397,0
10,0.999789,0.006162,0.006162,323.403129,0,23,121966,0.21059,32358,0
2,0.491237,0.003376,0.01238,888.5,0,11,75,1,24464,0
2,0.790636,0.021253,0.000867,1101.454545,0,17,1196,0.545455,1417,1
3,0.552737,0.025852,0.027027,567.333333,0,5,279,1,18337,0
1,0,0.009901,0.009901,202,0,4,1,1,4680,0
1,0.683063,0.068402,0.062277,244.875,1,6,374,0.625,1026,1
1,0,0.210907,0.000483,2072,0,12,50,1,2383,1
1,0,0.003346,0.000478,2092,0,12,10,1,1000,0
1,0,0.003339,0.001669,599,0,8,5,1,2357,0
