@relation 'postgres-weka.filters.unsupervised.attribute.Remove-R1,2-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R11'

@attribute ns numeric
@attribute nm numeric
@attribute entropy numeric
@attribute la numeric
@attribute ld numeric
@attribute lt numeric
@attribute fix numeric
@attribute ndev numeric
@attribute pd numeric
@attribute npt numeric
@attribute rexp numeric
@attribute sexp numeric
@attribute bug {1,0}

@data
10,107,0.999731,0.00699,0.00699,284.461095,0,20,70706,0.195965,988.733333,1594,0
10,111,0.99952,0.006866,0.006866,288.6,0,20,108260,0.286093,4918.773409,25556,0
1,1,0,0.025641,0.029915,234,0,2,0,1,5202.438095,510,1
2,2,0.861654,6,6,0,0,7,1230,0.5,874.948718,107,0
1,1,0,0,0,0,0,3,298,1,521.867108,468,0
1,1,1,6,6,0,0,4,284,0.333333,452.35991,398,0
1,1,0,0.017699,0.017699,226,0,7,66,1,455.916667,239,0
1,1,0,0.012461,0.006231,321,0,5,53,1,5560.007251,792,1
2,11,0.907302,0.009187,0.009187,551.0625,1,11,587,0.75,4344.243651,12527,0
5,17,0.912627,0.009987,0.02318,583.347826,0,14,884,0.565217,5101.309524,13552,1
1,1,0,0.012048,0.012048,83,0,2,97,1,5161.591667,221,1
1,1,0.918296,0.007848,0.005886,764.5,0,5,86,1,4231.35,5872,0
2,2,0.863121,0.003644,0.003644,960.5,0,4,27,1,2880.666667,1111,1
2,4,0.359827,0.001592,0.089968,753.6,0,10,5,0.2,4620.651984,10679,0
1,1,0,0.002139,0.002139,935,0,9,0,1,5088.588095,8670,0
3,4,0.930392,0.013198,0.014213,197,1,4,831,0.8,3595,3483,1
3,8,0.68385,0.022554,0.023315,438.444444,1,9,944,0.888889,471,408,1
1,1,0,0.5,0.5,4,0,5,1,1,5162.920238,3605,0
3,3,0.384262,0.041971,0.062044,411,1,5,389,1,869,868,0
1,1,0.03457,0.089649,0.101776,5772.5,0,3,14,1,1423.516667,3034,0
10,106,0.999877,0.002392,0.002392,418.854582,0,15,49116,0.270916,506.833333,540,0
1,1,0,0.004255,0.008511,235,1,8,0,1,551.466667,283,0
3,7,0.849032,0.011666,0.011666,417.875,0,10,16,0.125,371,472,0
3,7,0.849032,0.011666,0.011666,417.875,0,10,445,1,366,463,0
1,1,0,0.045627,0.053232,263,1,2,1,1,4892.570253,1359,0
10,135,0.999984,0.005647,0.005647,354.323232,0,28,171439,0.228283,4309.489288,37169,0
4,10,0.940164,0.004057,0.004242,985.909091,0,23,2108,0.545455,5082.006271,27185,0
2,2,0.187028,0.065893,0.012018,804.333333,0,18,22,1,471.640423,562,1
1,1,0.304221,0.047882,0.013505,543,1,10,369,1,4777.606736,1424,0
1,1,0,0.018542,0.011643,2319,1,16,8,1,4769.643257,18535,0
1,1,0,0.231884,0.043478,69,1,3,740,1,5052.149389,156,0
3,3,0.254768,0.11794,0.026578,200.666667,1,9,27,1,233.25,278,0
2,2,0.878674,0.006174,0.006443,1862.5,1,12,194,1,5110.275894,23738,0
2,3,0.901894,0.025401,0.029412,249.333333,0,15,335,0.666667,4284.065448,11549,0
1,1,0,0.004988,0.004988,401,1,7,22,1,5107.354539,1203,0
10,133,0.999984,0.005787,0.005787,345.761458,0,25,174659,0.286458,4279.507598,35375,0
7,20,0.94926,0.003686,0.002666,797,0,21,4222,0.78125,368.685031,2563,0
3,3,0.252239,0.067204,0.018817,248,0,6,24,0.666667,214.166667,215,0
1,1,0,0.020408,0.006803,735,0,6,11,1,208,87,0
1,1,0,0.035223,0.000859,1164,0,10,21,1,314.616809,1198,0
1,1,0,0.006667,0.006667,450,0,9,302,1,307.383923,416,0
2,2,0.971963,0.001914,0.002436,957.833333,0,15,549,1,294.466152,1191,0
2,3,0.750469,0.010649,0.121007,344.333333,0,12,85,1,5056.85584,22103,0
4,15,0.862882,0.023261,0.012736,636.888889,0,20,1151,0.481481,5084.993298,24483,1
1,1,0,0.119048,0.015873,126,0,3,161,1,5192.374359,1006,0
1,1,0,0.009421,0.001346,743,0,6,0,1,5236.88641,584,0
1,1,0,0.028953,0.002227,449,0,9,119,1,5173.838335,5094,0
3,18,0.703171,0.072519,0.038119,681.2,1,18,1203,0.533333,5072.155105,20485,1
1,1,1,0.346457,0.220472,127,1,3,0,0.5,40,6,1
1,2,0.317521,0.008929,0.044643,112,0,6,118,1,36,14,1
1,1,0,0.462687,0.014925,67,1,7,47,1,5652.948691,17037,0
2,2,1,0.001589,0.001589,1258.5,0,14,0,1,5658.821698,17397,0
10,111,0.999789,0.006162,0.006162,323.403129,0,23,121966,0.21059,5876.08519,32358,0
2,2,0.491237,0.003376,0.01238,888.5,0,11,75,1,5041.259998,24464,0
2,10,0.790636,0.021253,0.000867,1101.454545,0,17,1196,0.545455,336.314635,1417,1
3,3,0.552737,0.025852,0.027027,567.333333,0,5,279,1,5011.114575,18337,0
1,1,0,0.009901,0.009901,202,0,4,1,1,5021.065216,4680,0
1,3,0.683063,0.068402,0.062277,244.875,1,6,374,0.625,335.374384,1026,1
1,1,0,0.210907,0.000483,2072,0,12,50,1,5616.360159,2383,1
1,1,0,0.003346,0.000478,2092,0,12,10,1,293.157023,1000,0
1,1,0,0.003339,0.001669,599,0,8,5,1,5039.23296,2357,0
2,2,0.252004,0.11642,0.002019,495.333333,1,10,145,0.666667,5577.663223,23284,1
11,107,0.999605,0.006435,0.006435,308.458438,0,22,110642,0.255668,5571.464475,29775,0
1,1,0,1,1,0,0,3,112,1,4869.243737,82,0
1,1,0,0.034161,0.024845,322,0,10,30,1,4868.243737,7281,0
2,2,0.721928,0.008216,0.003521,426,1,8,135,1,4846.903097,16483,0
5,14,0.788136,0.002932,0.01686,378.944444,0,17,2076,0.555556,5010.748262,26937,0
3,7,0.825826,0.010384,0.028037,128.4,0,10,6417,0.466667,4991.748262,22822,0
1,1,0,0.0199,0.014925,201,1,4,0,1,5029.250117,7253,0
2,2,0.670926,0.051661,0.01845,180.666667,0,10,562,1,4993.074409,4684,0
2,2,0.697884,0.028627,0.009835,711.75,1,13,0,0.125,4253.012277,2272,0
2,2,0.647772,0.00857,0.027674,700.125,0,13,0,0.125,4245.012277,2264,1
2,2,0.697884,0.028627,0.009835,711.75,1,13,707,1,4237.012277,2256,0
2,14,0.878657,0.019115,0.014885,395.782609,1,13,3121,0.565217,5206.924992,15586,1
3,3,0.590464,0.269697,0.262626,330,0,11,161,1,5098.763334,15513,1
3,4,0.559355,0.00729,0.069745,411.5,1,12,579,0.8,540,655,0
3,4,0.9047,0.011365,0.002879,1099.833333,1,13,518,1,4158.440917,23447,1
2,3,0.819448,0.002859,0.002859,1865.666667,0,13,198,1,4125.045183,21242,0
4,4,0.863253,0.008439,0.003882,987.5,1,12,275,1,3965.538059,14325,0
3,4,0.948019,0.015059,0.007888,697.25,0,8,58,0.75,4241.813883,8878,0
1,1,0,0.034091,0.001894,528,0,2,0,1,4230.634135,273,1
1,1,0,0.393145,0.028226,496,0,2,176,1,4884.402527,260,0
2,2,1,0.002176,0.004353,459.5,0,10,110,1,4182.509216,10408,0
1,1,0.574295,0.024912,0.023287,738.6,0,11,103,0.8,5203.443561,2110,1
1,1,0,0.501511,0.175227,331,0,2,1,1,4376.861511,46,0
2,4,0.521921,0.026743,0.002708,738.5,1,12,68,1,5419.215367,21042,1
3,3,0.994737,0.011482,0.015658,319.333333,0,4,24,1,5439.678287,9059,1
2,2,0.992774,0.021769,0.005442,367.5,1,4,6,1,4166.563067,13620,0
4,16,0.960011,0.002578,0.002578,1016,0,14,904,0.952381,4334.89412,13773,0
4,4,0.467097,0.071372,0.017145,627,0,11,205,1,4183.264941,21528,1
1,1,0,0.149418,0.007115,1546,0,5,3,1,435.784127,473,0
1,1,0,0.071429,0.047619,42,0,4,34,1,4322.057179,3184,0
3,3,0.400205,0.015723,0.141509,106,0,6,81,1,4500.40868,20033,1
1,1,0,0.329843,0.001745,573,0,8,85,1,4053.346753,9004,0
2,2,0.749595,0.004715,0.002619,954.5,0,11,61,1,4045.346753,423,0
2,10,0.740013,0.008773,0.023455,1260.111111,0,14,603,0.611111,4018.346753,12068,1
1,1,0,0.125,0,8,0,1,18,1,4401.516904,38,0
4,7,0.445366,0.025599,0.06507,605.5,0,12,298,1,4353.983715,21197,1
