@relation 'CM1-weka.filters.unsupervised.attribute.Remove-R1-2,4-6,8-12,14,16-21'

@attribute ev(g) numeric
@attribute l numeric
@attribute lOCode numeric
@attribute lOBlank numeric
@attribute defects {false,true}

@data
1.4,1.3,2,2,false
1,1,1,1,true
1,0.11,1,6,false
4,0.06,0,3,false
6,0.06,0,3,false
6,0.06,0,3,false
1,0.5,0,1,false
1,0.16,0,7,false
5,0.07,12,13,false
3,0.04,8,22,false
5,0.05,11,16,false
1,0.11,2,4,false
5,0.04,10,23,false
5,0.04,10,23,false
1,0.04,2,40,false
1,0.07,3,23,false
1,0.11,6,8,false
1,0.25,1,2,false
1,0.09,2,19,false
1,0.25,1,0,false
1,0.08,0,1,false
1,0.23,0,0,false
1,0.21,0,0,false
1,0.07,0,1,false
1,0.07,0,1,false
1,0.33,0,0,false
1,0.4,0,0,false
1,0.05,11,7,false
1,0.02,5,33,false
6,0.02,63,134,false
1,0.07,4,9,false
27,0.01,37,164,false
7,0.03,3,27,false
1,0.04,0,4,false
1,0.1,0,5,false
3,0.05,4,7,false
1,0.14,2,16,false
1,0.09,3,15,false
1,0.08,5,42,false
1,0.07,2,19,false
4,0.07,5,19,false
1,0.04,5,15,false
1,0.04,3,13,false
1,0.03,2,14,false
4,0.05,5,26,false
3,0.07,0,17,false
1,0.14,0,3,false
1,0.13,2,12,false
1,0.38,1,0,false
1,0.07,4,39,false
1,0.04,4,77,false
1,0.13,0,55,false
1,0.05,1,12,false
1,0.06,3,40,false
1,0.13,1,13,false
1,0.18,0,7,false
1,0.07,0,7,false
1,0.27,1,3,false
1,0.07,2,9,false
1,0.05,2,12,false
5,0.07,10,23,false
1,0.1,0,3,false
1,0.1,0,3,false
1,0.09,0,3,false
1,0.29,0,0,false
1,0.05,0,6,false
1,0.08,1,8,false
5,0.04,0,17,false
1,0.06,0,14,false
4,0.04,2,10,false
1,0.02,3,22,false
1,0.04,0,10,false
1,0.14,0,0,false
1,0.05,9,39,false
1,0.16,0,5,false
1,0.11,10,9,false
1,0.16,0,4,false
1,0.1,0,3,false
1,0.11,0,5,false
3,0.06,3,22,false
4,0.06,3,19,false
1,0.5,0,5,false
1,0.06,2,12,false
1,0.4,0,2,false
1,0.16,0,6,false
1,0.14,1,5,false
1,0.12,0,3,false
1,0.4,0,2,false
3,0.08,0,5,false
1,0.17,0,5,false
1,0.08,0,5,false
1,0.21,0,4,false
1,0.14,0,5,false
1,0.08,0,6,false
1,0.29,0,4,false
1,0.04,2,21,false
1,0.4,0,2,false
1,0.33,0,2,false
1,0.29,0,2,false
1,0.13,0,7,false
1,0.12,0,7,false
1,0.1,0,13,false
7,0.02,45,53,false
1,0.05,3,12,false
1,0.08,4,10,false
6,0.02,1,6,false
1,0.07,0,7,false
1,0.07,0,6,false
8,0.04,0,3,false
1,0.18,0,0,false
1,0.33,0,0,false
1,0.38,0,3,false
7,0.02,13,24,false
12,0.02,33,2,false
1,0.09,0,1,false
1,0.11,0,1,false
1,0.11,0,2,false
1,0.12,0,2,false
10,0.03,20,26,false
1,0.02,13,21,false
1,0.13,0,4,false
8,0.03,7,5,false
1,0.3,0,0,false
1,0.09,0,2,false
1,0.09,0,5,false
1,0.06,2,3,false
7,0.04,12,22,false
9,0.05,6,8,false
1,0.5,0,0,false
1,0.5,0,0,false
3,0.07,3,2,false
1,0.5,0,0,false
1,0.5,0,0,false
1,0.38,0,0,false
1,0.38,0,0,false
1,0.06,0,14,false
1,0.07,0,5,false
1,0.4,0,0,false
1,0.05,0,4,false
11,0.02,2,10,false
1,0.5,0,0,false
1,0.13,2,10,false
1,0.19,0,5,false
1,0.06,0,5,false
1,0.29,0,0,false
1,0.11,3,4,false
1,0.11,3,4,false
1,0.08,0,12,false
1,0.11,0,0,false
1,0.04,6,3,false
1,0.27,0,1,false
3,0.13,0,0,false
1,0.03,12,10,false
1,0.67,0,0,false
1,0.44,0,1,false
1,0.3,0,0,false
1,0.38,0,0,false
19,0.03,0,24,false
1,0.04,1,6,false
1,0.5,0,0,false
1,0.5,0,0,false
9,0.05,1,6,false
1,0.67,0,0,false
1,0.5,0,0,false
1,0.4,0,0,false
1,0.4,0,0,false
1,0.47,0,0,false
1,0.09,1,0,false
1,0.26,0,1,false
1,0.07,4,0,false
1,0.08,1,1,false
3,0.09,1,4,false
1,0.07,0,1,false
1,0.5,0,0,false
1,0.09,6,1,false
1,0.12,0,0,false
1,0.14,0,0,false
1,0.33,0,0,false
1,0.05,1,1,false
1,0.21,0,0,false
1,0.09,0,0,false
1,0.67,0,0,false
1,0.29,0,0,false
1,0.33,0,0,false
1,0.09,0,1,false
5,0.04,0,5,false
1,0.05,0,3,false
4,0.04,0,4,false
15,0.02,27,67,false
4,0.07,7,9,false
1,0.05,9,15,false
1,0.33,1,0,false
1,0.07,4,6,false
1,0.4,0,0,false
1,0.08,0,1,false
1,0.23,0,0,false
1,0.21,0,0,false
1,0.07,0,1,false
1,0.07,0,1,false
1,0.33,0,0,false
1,0.4,0,0,false
