@relation CM1-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R13-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6

@attribute ev(g) numeric
@attribute l numeric
@attribute i numeric
@attribute t numeric
@attribute lOCode numeric
@attribute lOBlank numeric
@attribute locCodeAndComment numeric
@attribute defects {false,true}

@data
1.4,1.3,1.3,1.3,2,2,2,false
1,1,1,1,1,1,1,true
1,0.11,32.54,163.15,1,6,0,false
4,0.06,13.47,191.55,0,3,0,false
6,0.06,19.97,333.31,0,3,0,false
6,0.06,19.97,333.31,0,3,0,false
1,0.5,17.43,3.87,0,1,0,false
1,0.16,14.62,33.58,0,7,0,false
5,0.07,38.51,434.49,12,13,0,false
3,0.04,61.1,1687.66,8,22,0,false
5,0.05,41.24,987.39,11,16,0,false
1,0.11,15.9,71.53,2,4,0,false
5,0.04,27.4,1203.31,10,23,0,false
5,0.04,17.45,718.32,10,23,0,false
1,0.04,47.41,1991.81,2,40,0,false
1,0.07,43.1,553.22,3,23,0,false
1,0.11,29.61,137.83,6,8,0,false
1,0.25,13.88,12.33,1,2,0,false
1,0.09,64.01,482.5,2,19,0,false
1,0.25,13.88,12.33,1,0,0,false
1,0.08,8.79,70.32,0,1,0,false
1,0.23,11.07,11.77,0,0,0,false
1,0.21,22.65,29.9,0,0,0,false
1,0.07,12.09,134.33,0,1,0,false
1,0.07,14.67,175.37,0,1,0,false
1,0.33,13,6.5,0,0,0,false
1,0.4,7.86,2.73,0,0,0,false
1,0.05,18.87,403.39,11,7,0,false
1,0.02,79.18,7766.59,5,33,0,false
6,0.02,101.81,16996.03,63,134,0,false
1,0.07,12.36,154.56,4,9,0,false
27,0.01,157.03,83315.8,37,164,0,false
7,0.03,60.5,3487.09,3,27,0,false
1,0.04,116.21,3364.78,0,4,0,false
1,0.1,34.17,201.16,0,5,0,false
3,0.05,24.71,655.71,4,7,0,false
1,0.14,36.19,103.77,2,16,0,false
1,0.09,26.75,180.76,3,15,0,false
1,0.08,53.31,491.82,5,42,0,false
1,0.07,48.49,536.07,2,19,0,false
4,0.07,28.43,284.5,5,19,0,false
1,0.04,30.61,907.34,5,15,0,false
1,0.04,25.62,849,3,13,0,false
1,0.03,27.08,2373.13,2,14,0,false
4,0.05,94.51,2357.02,5,26,0,false
3,0.07,108.84,1394.86,0,17,0,false
1,0.14,25.9,70.51,0,3,0,false
1,0.13,54.3,187.94,2,12,0,false
1,0.38,11.58,4.57,1,0,0,false
1,0.07,114.37,1285.77,4,39,0,false
1,0.04,214.24,7379.91,4,77,0,false
1,0.13,51.3,166.19,0,55,0,false
1,0.05,68.36,1339.83,1,12,0,false
1,0.06,57.28,942.4,3,40,0,false
1,0.13,30.19,103.24,1,13,0,false
1,0.18,28.75,48.32,0,7,0,false
1,0.07,31.67,395.83,0,7,0,false
1,0.27,10.63,8.3,1,3,0,false
1,0.07,36.74,433.33,2,9,0,false
1,0.05,54.44,1120.71,2,12,0,false
5,0.07,54.55,667.2,10,23,0,false
1,0.1,30.24,176.95,0,3,0,false
1,0.1,30.24,176.95,0,3,0,false
1,0.09,8.88,59.69,0,3,0,false
1,0.29,16.39,11.15,0,0,0,false
1,0.05,27.4,657.21,0,6,0,false
1,0.08,35.6,328.84,1,8,0,false
5,0.04,48.89,1955.01,0,17,0,false
1,0.06,59.87,815.07,0,14,0,false
4,0.04,21.82,632.97,2,10,0,false
1,0.02,58.73,9234.21,3,22,0,false
1,0.04,37.54,1229.25,0,10,0,false
1,0.14,36.78,102.16,0,0,0,false
1,0.05,97.85,2659.81,9,39,0,false
1,0.16,20.41,42.54,0,5,0,false
1,0.11,39.8,179.1,10,9,0,false
1,0.16,23.34,48.42,0,4,0,false
1,0.1,18.1,93.13,0,3,0,false
1,0.11,21.16,97.35,0,5,0,false
3,0.06,28.78,525.35,3,22,0,false
4,0.06,35.02,578.93,3,19,0,false
1,0.5,14.04,3.12,0,5,0,false
1,0.06,30.93,439.95,2,12,0,false
1,0.4,10.8,3.75,0,2,0,false
1,0.16,21.8,46.37,0,6,0,false
1,0.14,26.21,71.35,1,5,0,false
1,0.12,17.05,64.45,0,3,0,false
1,0.4,8.98,3.12,0,2,0,false
3,0.08,38.77,375.34,0,5,0,false
1,0.17,16.28,32.56,0,5,0,false
1,0.08,27.99,264.86,0,5,0,false
1,0.21,9.97,12.06,0,4,0,false
1,0.14,11.78,32.07,0,5,0,false
1,0.08,59.16,522.12,0,6,0,false
1,0.29,9.96,6.78,0,4,0,false
1,0.04,26.31,807.18,2,21,0,false
1,0.4,10.8,3.75,0,2,0,false
1,0.33,10,5,0,2,0,false
1,0.29,9.49,6.46,0,2,0,false
1,0.13,37.54,120.46,0,7,0,false
1,0.12,34.64,134.41,0,7,0,false
1,0.1,30.16,158.63,0,13,0,false
7,0.02,91.32,15842.82,45,53,0,false
1,0.05,30.45,725.84,3,12,0,false
1,0.08,64.31,514.45,4,10,0,false
6,0.02,28.25,3321.07,1,6,0,false
1,0.07,17.53,201.26,0,7,0,false
1,0.07,17.53,201.26,0,6,0,false
8,0.04,48.87,1438.91,0,3,0,false
1,0.18,12.4,21.79,0,0,0,false
1,0.33,12.18,6.09,0,0,0,false
1,0.38,11.58,4.57,0,3,0,false
7,0.02,56.02,7187.47,13,24,0,false
12,0.02,104.25,17097.62,33,2,0,false
1,0.09,47.22,358.3,0,1,0,false
1,0.11,33.23,163.53,0,1,0,false
1,0.11,31.71,139.72,0,2,0,false
1,0.12,34.56,142.82,0,2,0,false
10,0.03,133.35,11022.02,20,26,0,false
1,0.02,77.8,7002.58,13,21,0,false
1,0.13,12.74,43.68,0,4,0,false
8,0.03,129.72,9448.14,7,5,0,false
1,0.3,33.12,20.45,0,0,0,false
1,0.09,32,240.54,0,2,0,false
1,0.09,39.18,290.68,0,5,0,false
1,0.06,48.31,834.15,2,3,0,false
7,0.04,151.5,4346.94,12,22,0,false
9,0.05,105.02,2075.52,6,8,0,false
1,0.5,7.75,1.72,0,0,0,false
1,0.5,7.75,1.72,0,0,0,false
