@relation KC1-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R5

@attribute ev(g) numeric
@attribute l numeric
@attribute i numeric
@attribute lOComment numeric
@attribute locCodeAndComment numeric
@attribute defects {false,true}

@data
1.4,1.3,1.3,2,2,false
1,1,1,1,1,true
1,0.04,40.27,10,0,true
6,0.07,51.81,2,0,true
1,0.11,27.25,0,0,true
1,0.09,50.53,2,0,true
1,0.06,48.72,2,0,true
1,0.04,44.45,3,0,true
1,0.06,45.99,2,0,true
1,0.06,44.97,2,0,true
1,0.05,49.62,2,0,true
1,0.05,40.62,4,0,true
4,0.04,63.91,14,0,true
1,0.09,30.6,0,0,true
12,0.03,42.59,7,0,true
1,0.29,13.32,0,0,true
1,0.18,35.32,0,0,true
3,0.03,50.21,4,0,true
1,0.21,64.87,0,0,true
1,0.3,25.75,0,0,true
1,0.03,2.77,0,0,true
1,0.08,40.76,0,0,true
1,0.07,17.26,0,0,true
7,0.1,25.13,0,0,true
1,0.03,52.25,26,0,true
1,0.07,25.32,0,0,true
1,0.07,23.08,0,0,true
1,0.16,14.45,0,0,true
1,0.06,37.74,2,0,true
9,0.04,53.35,0,0,true
1,0.07,54.62,3,0,true
1,0.05,48.4,2,0,true
1,0.06,67.19,4,0,true
3,0.03,46.62,5,0,true
1,0.3,22.83,1,0,true
1,0.3,22.83,1,0,true
1,0.04,42.36,7,0,true
3,0.09,36.86,1,0,true
1,0.1,60.05,0,0,true
1,0.1,55.44,0,0,true
1,0.08,26.4,2,0,true
1,0.14,55.59,0,0,true
1,0.08,43.58,0,0,true
1,0.08,45.58,0,0,true
1,0.33,16.73,0,0,true
5,0.05,45.08,4,0,true
1,0.18,21.07,2,0,true
1,0.11,32.82,0,0,true
1,0.4,19.37,0,0,true
1,0.19,26.79,0,0,true
1,0.06,36.49,0,0,true
11,0.03,69.24,7,0,true
1,0.08,35.53,0,0,true
1,0.08,74.95,1,0,true
1,0.16,58.93,0,0,true
5,0.05,26.93,0,0,true
1,0.1,20.27,0,0,true
1,0.17,16.5,0,0,true
1,0.14,44.72,0,0,true
1,0.03,57.05,2,0,true
1,0.04,43.95,2,0,true
1,0.08,6.82,0,0,true
1,0.18,23.08,0,0,true
1,0.05,22.01,1,0,true
1,0.4,37,0,0,true
1,0.07,9.94,0,2,true
1,0.27,7.49,0,0,true
1,0.22,23.93,1,0,true
1,0.33,6.55,0,0,true
1,0.29,25.9,2,0,true
1,0.19,14.1,0,0,true
1,0.5,5.8,0,0,true
1,0.15,17.59,1,0,true
1,0.13,71.67,5,0,true
