@relation 'KC2-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.241loc-0.241n-0.241lOCode-0.241total_Op-0.241total_Opnd... numeric
@attribute 0.586l-0.505uniq_Op-0.354d+0.259t+0.229e... numeric
@attribute -0.782lOCodeAndComment-0.414lOComment-0.323l+0.147i-0.145d... numeric
@attribute -0.599lOComment+0.439lOCodeAndComment-0.416l-0.318lOBlank+0.228ev(g)... numeric
@attribute '0.58 lOComment-0.443i-0.352l-0.278lOBlank-0.26lOCodeAndComment...' numeric
@attribute problems {no,yes}

@data
1.254378,3.194408,-2.556684,-0.624713,-1.222696,no
1.542752,2.571111,-1.424466,-0.47607,-0.666878,yes
-22.735326,-0.669024,-7.160928,4.125022,3.391269,yes
-9.569585,-1.85421,-3.025856,0.069155,-1.418024,yes
-7.254398,-1.240016,-1.807868,0.879935,-1.71768,yes
-5.583887,-1.229707,1.432961,-0.294232,-0.951081,yes
-5.314438,-1.755823,0.138762,-2.195794,0.62909,yes
1.856807,0.336058,0.447052,0.7561,0.839588,no
1.177841,-0.185044,0.275796,0.38426,0.286445,no
1.300648,-0.161946,0.243391,0.504917,0.471197,no
1.529028,0.960843,-0.825325,0.314352,-0.33783,no
1.840388,1.492442,-0.296132,-0.375954,-0.215184,no
1.223474,0.141661,-0.535721,-0.673297,1.23235,no
1.793814,1.458659,-0.263664,-0.366891,-0.303523,no
1.782527,0.167911,0.447836,0.762321,0.813546,no
1.989357,1.674398,-0.322269,-0.306033,-0.127148,no
-0.231519,-1.660891,0.365231,0.175265,0.088916,no
1.694223,0.724301,-0.090782,0.001376,0.285755,no
1.255214,0.06709,0.23727,0.241942,0.081676,no
1.255214,0.06709,0.23727,0.241942,0.081676,no
1.515406,0.556255,0.124294,0.088118,0.016874,no
1.515406,0.556255,0.124294,0.088118,0.016874,no
1.205271,0.133823,0.287081,0.102578,-0.105553,no
0.936614,-0.531272,0.249213,0.340229,0.369562,no
-1.269617,-1.052916,0.536447,0.169996,0.011774,no
1.856807,0.336058,0.447052,0.7561,0.839588,no
-2.187951,-1.854688,0.459082,-0.345482,-0.088941,no
1.558071,1.022627,0.003475,-0.196524,-0.275329,no
1.568107,1.349542,-0.141307,-0.515065,-0.639409,no
1.755471,0.759746,-0.029175,0.123283,0.216114,no
1.891483,1.508256,-0.316798,-0.305699,-0.154748,no
-0.451656,-0.77872,0.453236,0.496148,0.234123,no
0.952774,-0.344943,0.333573,0.382209,0.191719,no
-0.590568,-1.302402,-0.256866,0.554669,-0.372956,no
-0.397286,-1.022778,-1.005833,0.967698,-0.568508,no
1.515794,0.256841,0.156802,0.410155,0.440513,no
-1.868437,-0.748295,0.988361,-0.048971,-0.851322,no
1.276542,-0.058444,0.241874,0.392411,0.345202,no
1.048204,-0.204212,0.30253,0.363186,0.198011,no
-1.035776,-1.146959,-1.340059,-3.109086,2.216442,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.687205,1.019834,-0.080151,-0.14475,-0.062309,no
-1.378047,-1.305817,0.223495,-0.586387,0.335977,no
1.593087,0.714616,0.019419,0.073941,0.059968,no
1.243919,-0.312274,0.279051,0.360002,0.294907,no
0.530015,-0.628157,-0.038385,-0.415177,0.605758,no
0.621878,-0.429385,0.167205,0.01937,0.373755,no
1.256161,1.279992,-1.663808,0.302902,-1.09604,no
1.025775,-0.528108,0.352703,0.328588,0.194729,no
1.014975,-0.512568,0.104834,0.04888,0.567628,no
0.47033,-0.749412,0.426722,0.343217,0.060323,no
1.584959,0.317509,0.108123,0.266974,0.285191,no
0.923063,-0.606002,0.35005,0.387752,0.181872,no
1.584959,0.317509,0.108123,0.266974,0.285191,no
1.674509,0.507266,0.055751,0.218707,0.270737,no
1.456213,0.448661,0.124417,0.14967,0.06863,no
1.856807,0.336058,0.447052,0.7561,0.839588,no
0.469653,-0.944089,0.44166,0.376261,0.048736,no
0.806665,-0.375016,0.323272,0.08032,0.08511,no
0.737555,-0.516901,0.314392,-0.033022,0.16426,no
0.363972,-0.717565,0.545186,0.243732,-0.152692,no
-0.201495,-0.838716,0.705778,-0.103162,-0.564364,no
2.047408,2.939999,-1.063995,-1.31312,-1.019859,no
1.444106,0.18329,0.296073,0.456143,0.433736,no
1.628649,1.93467,-0.328968,-1.00486,-1.205921,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.799458,1.054769,-0.125736,-0.044229,0.059033,no
1.898433,1.516443,-0.322138,-0.322214,-0.14045,no
0.968887,-0.065098,0.462387,0.168499,-0.124503,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
-1.988019,-1.112257,0.978066,-0.792224,-1.077695,no
1.77064,1.040304,-0.111725,-0.060259,0.019151,no
1.637644,-0.031756,0.301425,0.524503,1.00677,no
-2.543551,-1.372088,0.626743,-0.319498,-0.042353,no
1.856807,0.336058,0.447052,0.7561,0.839588,no
1.13753,-0.273066,0.287455,0.410352,0.352981,no
-0.071434,-1.081863,0.354063,0.135339,0.235982,no
-0.124693,-0.942256,0.318564,0.297252,0.407547,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
-3.251008,-1.225871,0.74055,-0.057001,-0.574825,no
1.255612,-0.09377,0.255361,0.427394,0.346051,no
-0.308014,-0.814621,-0.197222,0.407904,-0.457102,no
-0.502875,-1.098908,-0.221648,0.481591,-0.346637,no
0.150653,-0.677198,0.435036,0.560168,0.262034,no
1.856807,0.336058,0.447052,0.7561,0.839588,no
-0.218636,-0.81265,0.564669,0.236008,-0.128406,no
-0.614809,-0.991503,0.725273,-0.100202,-0.484535,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.613359,0.642099,0.093432,0.16855,0.204641,no
1.701063,0.081414,0.45741,0.753266,0.786089,no
1.586892,0.827273,0.106865,0.082878,0.059565,no
1.524044,1.876816,-0.259716,-1.126818,-1.456584,no
-0.551361,-1.258469,0.579976,0.074687,-0.246044,no
1.755471,0.759746,-0.029175,0.123283,0.216114,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
0.580596,-0.194794,0.391207,0.371107,0.093779,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.860649,1.500939,-0.305221,-0.341808,-0.185338,no
0.73307,0.201133,0.351688,0.238876,-0.097705,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.755471,0.759746,-0.029175,0.123283,0.216114,no
-6.647619,-2.113761,1.925481,-3.023489,-3.048723,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.609438,0.493913,0.114636,0.206509,0.248263,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.609438,0.493913,0.114636,0.206509,0.248263,no
1.609438,0.493913,0.114636,0.206509,0.248263,no
1.00443,-0.219535,0.339736,0.317615,0.149176,no
1.636533,0.501773,0.104112,0.242224,0.278569,no
1.609438,0.493913,0.114636,0.206509,0.248263,no
1.609438,0.493913,0.114636,0.206509,0.248263,no
1.582344,0.486052,0.125161,0.170793,0.217957,no
1.609438,0.493913,0.114636,0.206509,0.248263,no
1.867483,1.500302,-0.306656,-0.340238,-0.184878,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.609438,0.493913,0.114636,0.206509,0.248263,no
1.609438,0.493913,0.114636,0.206509,0.248263,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
-2.025021,-1.472714,0.707845,-0.379219,-0.511342,no
0.245519,-0.391992,0.66919,-0.132741,-0.777753,no
-0.881914,-1.482238,0.725093,-0.080766,-0.560491,no
0.158936,-0.74578,0.491698,0.309581,-0.02102,no
1.625676,0.431999,0.12904,0.268475,0.328273,no
1.86364,0.335421,0.445617,0.75767,0.840049,no
2.157167,3.089221,-1.070164,-1.31511,-1.003569,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
0.483817,-0.664357,0.292566,0.349413,0.423196,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.755471,0.759746,-0.029175,0.123283,0.216114,no
0.608611,-0.471613,0.378867,0.367658,0.255859,no
1.856807,0.336058,0.447052,0.7561,0.839588,no
1.299086,-0.080014,0.235082,0.422253,0.392562,no
1.894577,1.508162,-0.31718,-0.304522,-0.154572,no
1.732115,0.022319,0.4387,0.775859,0.829414,no
-0.365526,-1.194549,0.344796,-0.037677,0.194974,no
-0.342637,-1.194975,0.327306,-0.025833,0.226987,no
0.86014,-0.621812,0.348268,0.368091,0.233215,no
0.947531,-0.402359,0.265091,0.252972,0.335103,no
0.146815,-1.26937,-0.128993,-0.381446,0.9108,no
-0.252413,-1.181089,0.2826,0.105136,0.40801,no
-0.265584,-1.170972,0.332495,-0.058536,0.235492,no
-0.463606,-1.640859,-0.064789,-0.447375,0.724204,no
-0.455713,-1.262372,0.573489,0.143056,-0.189213,no
1.881188,1.582071,-0.304001,-0.316765,-0.174224,no
1.943179,2.051153,-0.494008,-0.642137,-0.490146,no
1.833535,1.269624,-0.090025,-0.092852,-0.009763,no
-0.345431,-1.535499,-0.288185,-0.76278,1.084334,no
-0.212956,-1.094833,-0.002773,-0.444974,0.720116,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.702512,-0.054058,0.437058,0.78273,0.826961,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.925527,1.524303,-0.332662,-0.286499,-0.110144,no
1.665532,0.503665,0.056972,0.217183,0.266056,no
1.202985,-0.159247,0.283081,0.443398,0.347066,no
