@relation KC2-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R4

@attribute ev(g) numeric
@attribute l numeric
@attribute lOComment numeric
@attribute lOCodeAndComment numeric
@attribute problems {no,yes}

@data
1.4,1.3,2,2,no
1,1,1,1,yes
50,0.01,35,10,yes
10,0.03,15,5,yes
12,0.03,7,4,yes
13,0.03,2,0,yes
6,0.03,18,0,yes
1,0,0,0,no
1,0.17,0,0,no
1,0.14,0,0,no
1,0.5,0,1,no
1,0.67,0,0,no
1,0.27,9,0,no
1,0.67,0,0,no
1,0,0,0,no
1,0.67,0,0,no
1,0.05,1,0,no
1,0.4,1,0,no
1,0.25,0,0,no
1,0.25,0,0,no
1,0.35,0,0,no
1,0.35,0,0,no
1,0.27,0,0,no
1,0.13,1,0,no
4,0.05,2,0,no
1,0,0,0,no
4,0.05,5,0,no
1,0.5,0,0,no
1,0.67,0,0,no
1,0.4,0,0,no
1,0.67,0,0,no
5,0.07,1,0,no
1,0.15,0,0,no
1,0.07,1,1,no
1,0.07,1,2,no
1,0.22,0,0,no
1,0.07,0,0,no
1,0.18,0,0,no
1,0.17,0,0,no
1,0.14,28,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.67,0,0,no
1,0.5,0,0,no
1,0.05,7,0,no
1,0.4,0,0,no
1,0.16,0,0,no
1,0.15,6,0,no
1,0.15,3,0,no
1,0.67,0,2,no
