@relation 'PC1-weka.filters.unsupervised.attribute.Remove-R1-6,8-13,15-21'

@attribute L numeric
@attribute lOComment numeric
@attribute defects {false,true}

@data
1.3,2,false
1,1,true
0.04,44,true
0.04,41,true
0.01,71,true
0.02,32,true
0.03,71,true
0.01,40,true
0.1,3,true
0.04,2,true
0.04,14,true
0.04,32,true
0.04,15,true
0.05,38,true
0.08,25,true
0.03,62,true
0.07,0,true
0.04,15,true
0.05,1,true
0.03,27,true
0.02,62,true
0.03,6,true
0.05,6,true
0.06,5,true
0.11,0,true
0.07,6,true
0.16,0,true
0.07,0,true
0.12,0,true
0.16,0,true
0.08,9,true
0.08,0,true
0.14,4,true
0.08,4,true
0.08,14,true
0.04,73,true
0.02,23,true
0.05,17,true
0.04,49,true
0.04,0,true
0.08,3,true
0.26,7,true
0.02,42,true
0.07,0,true
0.03,18,true
0.05,0,true
0.33,0,true
0.02,50,true
0.15,1,true
0.03,27,true
0.15,1,true
0.07,1,true
0.02,55,true
0.03,6,true
0.03,39,true
0.05,8,true
0.05,9,true
0.02,20,true
0.07,9,true
0.5,0,true
0.07,5,true
0.05,7,true
0.5,0,true
0.13,0,true
0.5,0,true
0.5,0,true
0.08,0,true
0.5,0,true
0.5,0,true
0.07,1,true
0.09,7,true
0.08,4,true
0.22,0,true
0.06,6,true
0.08,6,true
0.5,0,true
0.05,4,true
0.5,0,true
0.27,2,false
0.08,2,false
0.22,3,false
0.03,35,false
0.07,0,false
0,0,false
0.08,0,false
0,0,false
0.02,1,false
0,0,false
0,0,false
0,0,false
0,0,false
0,0,false
0,0,false
0,0,false
0,0,false
0.24,9,false
0.24,2,false
0.17,15,false
0.24,9,false
0.24,2,false
0.13,19,false
0.11,2,false
0.09,5,false
0,0,false
0,0,false
0.13,8,false
0.4,2,false
0.4,3,false
0.14,6,false
0,0,false
0.15,0,false
0,0,false
0.56,0,false
0.11,0,false
0.05,0,false
0.06,9,false
0.05,11,false
0,0,false
0.04,2,false
0.5,0,false
0.04,17,false
0.08,3,false
0.16,15,false
0.09,0,false
0.14,19,false
0.16,15,false
0.09,0,false
0.16,15,false
0,0,false
0,0,false
0.04,19,false
0.08,6,false
0,0,false
0.17,0,false
0.3,4,false
0.21,4,false
0.29,0,false
0.07,0,false
0.5,0,false
0.15,0,false
0.1,0,false
0,0,false
0,0,false
0,0,false
0.05,10,false
0,0,false
0,0,false
0,0,false
0,0,false
0,0,false
0.24,9,false
0.05,5,false
0.16,16,false
0.24,9,false
0.29,0,false
0.14,19,false
0.06,5,false
0.1,5,false
0,0,false
0,0,false
0,0,false
0.03,10,false
0.12,9,false
0,0,false
0.08,0,false
0.02,0,false
0.03,0,false
0.03,4,false
0.04,0,false
0.06,15,false
0,0,false
0.5,0,false
0.24,9,false
0.18,9,false
0.12,12,false
0.24,9,false
0.18,9,false
0.16,16,false
0,0,false
0,0,false
0.16,0,false
0.67,0,false
0.08,2,false
0.07,0,false
0.67,0,false
0.5,0,false
0.04,0,false
0.05,3,false
0.06,26,false
0.01,159,false
0.15,14,false
0.17,9,false
0.1,18,false
0.15,14,false
0.17,9,false
0.12,12,false
0.09,0,false
0.07,0,false
0.4,2,false
0.33,3,false
0.04,6,false
0.5,0,false
0.5,0,false
0.09,1,false
0.06,8,false
0.21,0,false
0.1,0,false
0.02,19,false
0.09,18,false
0.25,15,false
0.11,15,false
0.09,18,false
0.24,15,false
0.1,18,false
0.05,5,false
0.06,1,false
0.07,0,false
0.04,6,false
0.27,2,false
0.15,0,false
0.05,0,false
0.03,2,false
0.04,1,false
0.33,0,false
0.1,5,false
0.04,7,false
0.11,5,false
0.07,0,false
0.06,16,false
0.21,12,false
0.27,1,false
0.14,18,false
0.21,12,false
0.27,1,false
0.11,15,false
0.06,13,false
0.08,1,false
0.14,2,false
0.16,3,false
0.09,0,false
0.22,0,false
0.04,1,false
0.08,0,false
0.06,0,false
0.08,10,false
0.05,4,false
0.11,9,false
0.09,1,false
0.04,1,false
0.24,9,false
0.19,0,false
0.16,13,false
0.24,9,false
0.19,0,false
0.16,12,false
0.1,4,false
0.06,8,false
0.02,35,false
0.33,0,false
0.19,0,false
0.17,1,false
0.15,0,false
0.04,0,false
0.03,0,false
0.22,5,false
0.07,6,false
0.32,1,false
0.32,1,false
0.14,18,false
0.06,0,false
0.13,4,false
0.33,0,false
0.03,38,false
0.09,0,false
0.04,0,false
0.33,0,false
0.04,8,false
0.06,16,false
0.06,15,false
0.05,5,false
0.06,8,false
0.23,0,false
0.23,0,false
0.16,13,false
0.08,5,false
0.02,6,false
0.06,1,false
0.02,0,false
0.08,0,false
0.09,0,false
0.25,0,false
0,0,false
0.13,0,false
0.08,3,false
0.09,3,false
0.06,21,false
0.06,21,false
0.15,50,false
0.24,0,false
0.25,0,false
0.22,3,false
0.05,13,false
0.25,0,false
0.05,0,false
0.16,0,false
0.25,0,false
0.02,7,false
0.03,3,false
0.03,16,false
0.21,1,false
0.17,1,false
0.09,4,false
0.06,10,false
0.06,10,false
0.11,7,false
0.5,0,false
0.04,25,false
0.25,0,false
0.08,1,false
0.04,7,false
0.07,5,false
0.06,0,false
0.25,0,false
0.04,5,false
0.04,5,false
0.12,1,false
0.06,0,false
0.27,3,false
0.23,15,false
0.07,7,false
0.05,12,false
0.31,0,false
0.32,0,false
0.05,0,false
0.25,0,false
0.04,0,false
0.04,7,false
0.04,7,false
0.28,0,false
0.29,0,false
0.16,0,false
0.03,3,false
0.18,1,false
0.25,3,false
0.21,0,false
0.02,37,false
0.18,0,false
0.1,2,false
0.33,0,false
0.17,0,false
0.02,9,false
0.5,0,false
0.09,3,false
0.21,0,false
0.12,4,false
0.03,5,false
0.25,2,false
0.09,1,false
0.05,29,false
0.4,0,false
0.06,0,false
0.2,1,false
0.1,0,false
0.04,0,false
0.02,7,false
0.14,2,false
0.5,0,false
0.06,27,false
0.29,0,false
0.04,8,false
0.07,0,false
0.14,7,false
0.11,2,false
0.01,24,false
0.04,3,false
0.05,1,false
0.14,0,false
0.02,0,false
0.04,0,false
0.1,1,false
0.67,0,false
0.03,7,false
0.07,8,false
0.06,27,false
0.03,3,false
0.21,0,false
0.04,7,false
0.13,0,false
0.04,34,false
0.05,12,false
0.04,2,false
0.01,24,false
0.04,0,false
0.1,1,false
0.1,0,false
0.26,0,false
0.04,12,false
0.12,10,false
0.05,2,false
0.06,7,false
0.06,27,false
0.11,0,false
0.18,0,false
0.07,12,false
0.02,34,false
0.67,0,false
0.05,0,false
0.07,1,false
0.33,0,false
0.11,0,false
0.11,2,false
0.03,19,false
0.03,20,false
0.03,19,false
0.1,0,false
0.04,13,false
0.06,27,false
0.03,0,false
0.13,1,false
0.5,0,false
0.05,27,false
0.2,2,false
0.1,0,false
0.1,1,false
0.15,0,false
0.03,1,false
0.03,19,false
0.06,16,false
0.07,0,false
0.07,7,false
0.06,7,false
0.04,13,false
0.17,9,false
0.11,4,false
0.07,3,false
0.01,0,false
0.07,1,false
0.1,0,false
0.22,0,false
0.01,6,false
0.03,21,false
0.18,4,false
0.05,0,false
0.07,7,false
0.04,13,false
0.09,2,false
0.08,3,false
0.07,3,false
0.24,0,false
0.05,0,false
0.14,1,false
0.05,0,false
0.08,1,false
0.04,8,false
0.24,9,false
0.07,7,false
0.09,1,false
0.35,0,false
0.14,2,false
0.07,3,false
0.04,7,false
0.5,0,false
0,0,false
0.05,0,false
0.06,7,false
0.03,30,false
0.07,7,false
0.14,0,false
0.07,3,false
0.07,22,false
0.19,5,false
0.06,0,false
0.33,0,false
0.03,1,false
0.03,4,false
0.02,20,false
0.03,9,false
0.07,10,false
0.13,9,false
0.04,6,false
0.22,0,false
0.06,5,false
0.04,35,false
0.04,3,false
0.31,0,false
0.03,0,false
0.22,0,false
0.35,7,false
0.2,1,false
0.02,0,false
0.06,11,false
0.5,3,false
0.04,3,false
0.22,2,false
0.14,0,false
0.02,60,false
0.03,16,false
0.04,2,false
0.05,3,false
0.4,0,false
0.09,0,false
0.1,0,false
0.04,38,false
0.33,5,false
0.06,11,false
0.24,9,false
0.04,8,false
0.04,33,false
0.22,2,false
0.16,0,false
0.05,7,false
0,0,false
0.21,3,false
0.06,5,false
0.02,26,false
0.05,11,false
0.06,7,false
0.03,30,false
0.15,1,false
0.05,0,false
0.13,0,false
0.09,0,false
0.12,0,false
0.21,0,false
0.07,2,false
0.03,35,false
0.04,20,false
0.07,10,false
0.22,0,false
0.02,9,false
0.13,0,false
0.06,22,false
0.18,0,false
0.17,0,false
0.4,0,false
0.02,1,false
0.08,0,false
0.02,22,false
0.1,3,false
0.18,0,false
0.07,14,false
0.06,11,false
0.07,0,false
0.1,1,false
0.12,0,false
0.1,13,false
0.07,0,false
0.07,0,false
0.03,1,false
0.19,0,false
0.08,0,false
0.12,0,false
0.09,8,false
0.06,11,false
0.03,12,false
0.14,0,false
0.08,5,false
0.14,6,false
0.29,1,false
0.06,0,false
0.06,2,false
0,0,false
0.02,1,false
0.08,0,false
0.14,1,false
0.09,1,false
0.09,8,false
0.06,7,false
0.02,10,false
0.08,0,false
0.09,2,false
0.02,0,false
0.33,0,false
0.15,9,false
0.05,4,false
0.08,1,false
0.02,2,false
0.13,0,false
0.14,0,false
0.06,0,false
0.5,1,false
0.06,3,false
0.03,23,false
0.04,20,false
0.08,0,false
0.24,0,false
0.07,3,false
0.11,3,false
0,0,false
0.02,0,false
0.14,0,false
0.09,8,false
0.5,0,false
0.27,0,false
0.02,22,false
0.07,14,false
0.1,0,false
0.17,0,false
0.07,8,false
0.27,3,false
0.04,0,false
0.1,0,false
0.07,0,false
0.06,7,false
0.5,4,false
0.08,4,false
0.3,0,false
0.09,8,false
0.07,2,false
0.06,5,false
0.02,58,false
0.03,3,false
0.05,0,false
0.35,0,false
0.07,0,false
0.13,7,false
0.5,1,false
0.11,1,false
