@relation 'ant-1.6_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-17,19-20'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute bug {1,0}

@data
0,0,0.666667,33,0
0,0,0.555556,16.333333,0
0,1,0.228571,32.6,0
0,1,0.185185,42.916667,1
0,1,0.261905,11.416667,0
0,0,0.378947,24.789474,0
0,0,1,10.5,0
0,0,0.666667,8.666667,0
2,4,0.142857,48.913043,0
0,0,0.197917,17.5,1
0,0,0.666667,153.285714,0
0,0,0.19,42.85,1
0,1,0.288889,14.888889,0
0,0,0.666667,8.333333,0
0,0,0.17734,20.033333,1
0,0,1,11.333333,0
0,4,0.211207,29.666667,0
0,0,0.375,22,0
0,5,0.275,46.444444,1
0,1,0.144928,22.043478,0
0,0,1,0,0
0,1,0.121839,40.2,0
0,0,0.375,20.125,0
0,0,0.666667,9.333333,0
0,1,0.666667,6,0
0,0,1,50.666667,1
0,0,0.292308,14.153846,0
0,0,0.35,23,0
0,0,0.333333,16.166667,0
0,0,1,46.666667,0
0,0,0.533333,16.4,0
0,0,0.666667,0,0
0,0,0.75,2.5,0
0,0,0.666667,65.666667,0
1,0,0.221591,26.590909,1
0,0,1,0,0
0,1,0.5,15.5,0
0,0,1,62.333333,0
2,0,0.152778,21.611111,1
0,0,0.325,37,0
0,2,0.28125,34.8,1
0,6,0.167857,12.657143,1
0,1,0.375,30.8,0
0,0,0.75,20.5,0
1,2,0.244505,31.396226,1
2,0,0.516667,9.933333,1
1,0,0.47619,5.142857,0
0,1,0.351852,15.2,0
0,1,0.205882,23.176471,0
0,0,0.46875,32.875,0
0,0,0.4,44.4,0
0,0,0.298246,22.578947,1
0,0,0.129412,35.823529,1
0,0,0.875,4.75,0
0,0,0.625,10.25,0
0,0,0.666667,28.5,0
2,1,0.064444,17.22,1
0,1,0.35,71,1
11,1,0.073413,6.785714,0
2,2,0.209677,35,1
0,0,1,3,0
1,0,1,3,0
0,1,0.5,22.75,0
0,0,0.388889,26.333333,0
0,0,0.583333,44.25,0
0,0,1,133,1
0,0,0.444444,48.5,0
1,0,0.533333,9.6,0
0,1,0.268519,16.388889,0
3,0,0.466667,8.4,0
0,0,0.75,9,0
0,0,0.5,29.5,0
0,0,0.285714,32.571429,0
3,2,0.226667,22.0625,0
0,0,0.714286,4.714286,0
0,0,0.28125,46.212121,1
0,0,0.5,48.333333,0
3,0,0.666667,6.666667,0
0,0,0.555556,9.333333,0
0,2,0.316129,18.451613,0
0,1,0.183007,26.176471,1
0,0,1,0,0
0,1,0.283333,23.5,0
3,0,0.285714,19.875,1
0,2,0.25,33.375,1
0,1,0.555556,29,0
0,0,1,0,0
0,0,0.533333,11.2,0
0,0,0.270833,25.375,0
0,3,0.230769,21.5,1
0,0,0.444444,18.333333,1
0,0,0.666667,8,0
0,0,1,32.5,0
0,0,0.4,0,0
0,1,0.416667,31.75,0
0,2,0.392857,26.857143,0
0,0,0.533333,12.6,0
0,1,0.595238,27,0
0,0,0.642857,0,0
1,2,0.207407,26.366667,0
0,0,0.875,4,0
0,0,1,3,0
2,0,0.9,25.2,0
0,0,1,5,0
0,0,0.444444,28.333333,1
0,0,0.7,6.2,0
