@relation 'ant-1.6_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11-12,14,16'

@attribute noc numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0.75,0,0.666667,0,33,1,0.6667,0
0,2,0,0.555556,1,16.333333,3,1.6667,0
0,0.888889,1,0.228571,0,32.6,3,1.1,0
0,0.851449,1,0.185185,4,42.916667,6,1.7083,1
0,0.805195,1,0.261905,0,11.416667,4,1.25,0
0,0.888889,0,0.378947,1,24.789474,13,1.9474,0
0,2,0,1,0,10.5,1,0.5,0
0,0,0,0.666667,0,8.666667,2,1,0
2,0.826705,4,0.142857,7,48.913043,19,2.3043,0
0,0.409091,0,0.197917,3,17.5,4,1.8333,1
0,0.5,0,0.666667,0,153.285714,2,0.8571,0
0,0.868421,0,0.19,4,42.85,1,0.95,1
0,0.5,1,0.288889,0,14.888889,4,1.3333,0
0,0.5,0,0.666667,0,8.333333,1,0.6667,0
0,0.689655,0,0.17734,0,20.033333,18,2.2333,1
0,2,0,1,3,11.333333,2,1.3333,0
0,0.869732,4,0.211207,1,29.666667,8,1.9667,0
0,0.571429,0,0.375,5,22,4,1.125,0
0,0.725,5,0.275,1,46.444444,1,0.7778,1
0,0.847107,1,0.144928,2,22.043478,13,2.1304,0
0,2,0,1,0,0,1,1,0
0,0.603448,1,0.121839,6,40.2,15,2.6333,0
0,0.571429,0,0.375,5,20.125,4,1.125,0
0,0,0,0.666667,0,9.333333,1,0.6667,0
0,0,1,0.666667,0,6,1,0.8333,0
0,2,0,1,1,50.666667,11,4,1
0,0.75,0,0.292308,8,14.153846,5,2.1538,0
0,0.761905,0,0.35,4,23,6,2.25,0
0,0.6,0,0.333333,5,16.166667,4,1.6667,0
0,1.5,0,1,3,46.666667,9,3.3333,0
0,0.75,0,0.533333,0,16.4,1,0.8,0
0,2,0,0.666667,0,0,1,1,0
0,2,0,0.75,1,2.5,1,0.5,0
0,0.25,0,0.666667,0,65.666667,2,1,0
1,0.848485,0,0.221591,0,26.590909,7,1.6364,1
0,2,0,1,0,0,1,1,0
0,0.666667,1,0.5,0,15.5,1,0.75,0
0,1.5,0,1,3,62.333333,13,4.6667,0
2,1.039216,0,0.152778,0,21.611111,4,1.5,1
0,0.714286,0,0.325,1,37,4,1.25,0
0,0.6,2,0.28125,0,34.8,7,2.4,1
0,0.751634,6,0.167857,0,12.657143,7,1.7143,1
0,0.688889,1,0.375,5,30.8,12,2.3,0
0,0,0,0.75,4,20.5,1,0.5,0
1,0.842657,2,0.244505,0,31.396226,23,2.8113,1
2,0.714286,0,0.516667,0,9.933333,2,1,1
1,0.75,0,0.47619,0,5.142857,1,0.8571,0
0,0.851852,1,0.351852,9,15.2,2,0.9,0
0,0.8125,1,0.205882,0,23.176471,16,2.8235,0
0,0.714286,0,0.46875,4,32.875,5,1.375,0
0,0.5,0,0.4,2,44.4,1,0.8,0
0,0.488889,0,0.298246,15,22.578947,4,1.8421,1
0,0.921875,0,0.129412,0,35.823529,4,2.1176,1
0,0.333333,0,0.875,0,4.75,1,0.75,0
0,2,0,0.625,0,10.25,2,1,0
0,2,0,0.666667,1,28.5,1,0.5,0
2,0.784257,1,0.064444,5,17.22,6,1.88,1
0,0.825397,1,0.35,0,71,10,3.875,1
11,0,1,0.073413,2,6.785714,6,1.1667,0
2,0.884127,2,0.209677,2,35,18,1.871,1
0,2,0,1,0,3,0,0,0
1,2,0,1,0,3,0,0,0
0,0,1,0.5,3,22.75,5,1.75,0
0,0.53125,0,0.388889,2,26.333333,1,0.7778,0
0,0.333333,0,0.583333,0,44.25,3,1.25,0
0,2,0,1,1,133,1,0.5,1
0,0.866667,0,0.444444,1,48.5,1,0.8333,0
1,0.25,0,0.533333,0,9.6,1,0.6,0
0,0.607843,1,0.268519,7,16.388889,4,1.2222,0
3,0.625,0,0.466667,0,8.4,1,0.8,0
0,2,0,0.75,1,9,1,0.5,0
0,0.333333,0,0.5,0,29.5,2,1,0
0,0.833333,0,0.285714,1,32.571429,1,0.8571,0
3,0.8,2,0.226667,0,22.0625,14,2,0
0,0.666667,0,0.714286,0,4.714286,1,0.8571,0
0,0.902778,0,0.28125,0,46.212121,17,2.1818,1
0,1,0,0.5,0,48.333333,1,0.6667,0
3,2,0,0.666667,4,6.666667,2,0.6667,0
0,0,0,0.555556,0,9.333333,1,0.6667,0
0,0.904762,2,0.316129,0,18.451613,11,1.4516,0
0,0.770833,1,0.183007,1,26.176471,16,2.7059,1
0,2,0,1,0,0,1,1,0
0,0.761905,1,0.283333,1,23.5,2,1,0
3,0.87619,0,0.285714,0,19.875,8,1.75,1
