@relation 'ant-1.7_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,3,1.1,106,0,0,0,0.444444,0,0,32.666667,1,0.6667,0
2,0,0,0.625,76,1,1,0.7,0.5,0,0,13.4,1,0.6,0
2,0,0,2,7,0,0,1,1,0,0,6,0,0,0
1,9,12,0.8,101,0.2,1,0,0.40625,0,0,11,1,0.875,0
3,0,16,0.75,185,1,0,0.8,0.388889,0,0,19,2,1,1
2,5,1,0.5,16,1,0,0.75,0.555556,0,0,4,1,0.6667,0
1,0,130,0.736842,345,1,1,0,0.284211,0,0,15.9,3,1.15,1
1,0,20,0.809524,183,1,2,0,0.3,0,0,12.538462,7,1.3846,0
1,0,8,0.53125,119,1,0,0,0.518519,0,0,11.777778,3,1.4444,0
5,0,0,0.666667,255,0,0,0.863636,0.342857,2,5,34.857143,9,3.1429,0
6,0,26,0.833333,71,0,0,0.949367,0.333333,1,4,6.555556,3,1.1111,0
2,0,3,2,38,0,0,0.923077,0.583333,0,0,11.666667,1,0.3333,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
1,0,20,0.8125,54,1,3,0,0.375,0,0,4.555556,1,0.7778,0
4,0,129,0.936508,252,0.5,0,0.727273,0.381579,2,3,11.526316,6,1.3158,0
4,2,0,0.111111,110,1,1,0.795455,0.26,1,1,9.9,3,1.6,0
2,0,0,0,34,1,1,0.818182,0.5,1,2,10,1,0.6667,0
1,0,136,0.897507,835,1,1,0,0.19375,0,0,39.8,10,1.95,0
1,0,15,2,6,0,0,0,0.444444,0,0,0,1,1,0
4,0,1,0.5,41,1,1,0.971429,0.75,1,2,12.333333,3,1,1
2,0,6,0.625,70,1,0,0.692308,0.8,0,0,12.6,4,1.4,0
1,0,0,2,1,0,0,0,1,0,0,0,1,1,0
2,0,0,0.58,181,1,0,0.529412,0.409091,0,0,15,1,0.7273,0
4,0,3,2,51,0,0,0.978495,0.666667,1,1,16,2,1,0
2,0,1,0.5,29,1,0,0.818182,0.666667,0,0,8.333333,1,0.6667,0
3,0,76,0.92,483,1,0,0.72549,0.311111,0,0,28.25,9,1.5625,1
4,8,0,0.333333,18,1,1,0.921053,0.4375,0,0,3.25,1,0.75,0
1,0,75,0.693878,443,1,0,0,0.295238,0,0,28.066667,5,1.6,0
3,0,17,0.671429,309,1,0,0.787234,0.545455,0,0,26.454545,11,1.9091,0
3,0,1,2,7,0,0,0.947368,0.75,1,1,2.5,1,0.5,0
3,0,0,0.678571,204,1,1,0.72549,0.225,1,2,12.333333,2,1.5333,0
4,3,85,0.576923,108,1,1,0.759259,0.321429,0,0,6.571429,4,1.2857,0
3,0,157,0.824786,1286,0.888889,1,0.294118,0.183761,1,7,45.62963,4,1.1111,1
4,0,4,0.75,249,1,0,0.927273,0.8,2,2,48.2,1,0.8,0
1,0,3,1.5,4,0,0,0,0.666667,0,0,0,1,1,0
5,0,6,2,57,0,0,0.978495,0.625,2,4,13.25,2,1,0
