@relation 'ant-1.7_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-17,19'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0,0.444444,32.666667,0.6667,0
0,1,0.5,13.4,0.6,0
0,0,1,6,0,0
9,1,0.40625,11,0.875,0
0,0,0.388889,19,1,1
5,0,0.555556,4,0.6667,0
0,1,0.284211,15.9,1.15,1
0,2,0.3,12.538462,1.3846,0
0,0,0.518519,11.777778,1.4444,0
0,0,0.342857,34.857143,3.1429,0
0,0,0.333333,6.555556,1.1111,0
0,0,0.583333,11.666667,0.3333,0
0,0,1,0,1,0
0,3,0.375,4.555556,0.7778,0
0,0,0.381579,11.526316,1.3158,0
2,1,0.26,9.9,1.6,0
0,1,0.5,10,0.6667,0
0,1,0.19375,39.8,1.95,0
0,0,0.444444,0,1,0
0,1,0.75,12.333333,1,1
0,0,0.8,12.6,1.4,0
0,0,1,0,1,0
0,0,0.409091,15,0.7273,0
0,0,0.666667,16,1,0
0,0,0.666667,8.333333,0.6667,0
0,0,0.311111,28.25,1.5625,1
8,1,0.4375,3.25,0.75,0
0,0,0.295238,28.066667,1.6,0
0,0,0.545455,26.454545,1.9091,0
0,0,0.75,2.5,0.5,0
0,1,0.225,12.333333,1.5333,0
3,1,0.321429,6.571429,1.2857,0
0,1,0.183761,45.62963,1.1111,1
0,0,0.8,48.2,0.8,0
0,0,0.666667,0,1,0
0,0,0.625,13.25,1,0
0,0,0.666667,7.5,0.8333,0
8,2,0.195455,19.127273,1.8545,0
0,0,0.666667,44.333333,1,0
0,0,0.625,19.875,1.625,0
0,0,0.348485,10.818182,0.5455,0
0,1,0.2,7.9,1.2,0
0,0,1,3,0,0
1,0,1,22.666667,0.6667,0
0,0,0.25,29.555556,3,0
0,0,0.714286,4.714286,0.8571,0
1,0,0.666667,13.333333,1.2222,0
2,2,0.21371,35.015873,3.2381,1
2,1,0.433333,8,0.6667,0
0,0,0.666667,0,1,0
0,1,0.361905,14.818182,1.3636,0
0,1,0.270588,6.470588,1.0588,1
0,1,0.277778,65.083333,4.8333,1
0,1,0.283333,22.8,1,0
0,0,0.625,63,4.5,1
1,5,0.146825,19.860465,1.5116,1
28,1,0.198864,11.227273,1.3182,0
2,1,0.173203,15.911765,1.7941,1
0,0,1,8,0.5,0
0,0,0.333333,4.333333,0.6667,0
0,0,0.5,17.5,1.25,0
0,1,0.287879,5.818182,0.9091,0
0,0,0.5,45,3.5,1
2,2,0.155844,31.607143,2.1964,1
0,1,0.583333,19.4,2.2,0
0,0,0.36,47.2,4.2,0
0,0,0.47619,29.571429,2.2857,0
0,0,0.352941,10.764706,1.1765,1
0,1,0.533333,37.5,0.75,0
0,0,0.466667,26.8,0.8,0
0,0,0.314815,36.555556,0.8889,1
0,1,0.666667,20.333333,0.6667,0
0,1,0.375,7.333333,1,0
0,0,0.4375,18,2,0
0,0,0.625,3.5,0.75,0
1,1,0.481481,14.888889,0.8889,0
0,1,0.25,39.25,4.625,0
0,1,0.244898,36.2,1.2,0
0,0,1,0,1,0
0,1,0.29375,50.176471,2.5294,0
2,1,0.162037,9.375,1.375,0
0,1,0.625,24.75,1.75,0
0,0,0.138047,13.740741,1.5185,1
0,1,0.3,15.3,1.4,0
0,0,1,0,1,0
0,2,0.266667,23.5,2.4,0
3,0,0.290909,20.272727,1.2727,0
0,1,0.261905,11.416667,1.25,0
0,1,0.22619,24,1.25,1
0,0,1,15.5,0.5,0
0,3,0.25,46.8,1.2667,1
0,1,0.444444,35.285714,0.7143,0
0,0,0.5,0,1,0
0,1,0.583333,9,1,0
2,1,0.19375,15.952381,1.619,0
0,0,0.625,12.25,1.5,0
2,3,0.230263,5.684211,0.9474,1
0,0,0.236111,36.083333,1.75,0
0,0,0.722222,0,1,0
0,0,0.555556,16.333333,1.6667,0
0,0,0.47619,15.142857,1.2857,0
2,1,0.297619,14.5,1.2143,1
3,1,0.25974,51,2.9091,0
0,0,0.27451,37.176471,2.0588,0
1,1,0.666667,50,0.5,0
0,3,0.216667,19.333333,1.8667,0
102,3,0.191571,11.724138,1.3448,0
0,2,0.148485,19.647059,1.9118,1
0,0,0.625,10.25,1,0
0,2,0.52381,19.714286,1.1429,0
0,1,0.269841,52.052632,0.8947,0
0,0,1,4,0,0
0,0,0.35,22.875,2.25,0
0,0,0.208333,17.4,1.5333,0
1,0,0.305556,25.833333,1.3333,0
0,0,0.75,26.25,1,0
0,0,1,0,1,1
0,0,0.5,23,0.5,0
0,0,0,0,0,0
0,0,0.375,11.166667,1.375,0
0,0,0.666667,3.333333,0.6667,0
0,0,0.75,38.5,0.5,0
0,0,1,37,0,0
0,0,0.5,29.5,1,0
0,0,0.25,33.214286,1.7857,1
0,0,0.666667,65.666667,1,0
12,1,0.5,4.25,0.5,0
2,3,0.428571,16.25,1.5,0
0,1,0.277778,16,1.1111,0
0,0,0.555556,8,1,0
0,1,0.477273,28.954545,1.8182,0
2,0,0.285714,17,1.7273,0
0,0,0.75,20.5,0.5,0
0,0,0.444444,18.166667,1.5833,0
0,0,0.7,6.2,0.6,0
0,0,0.277778,16.666667,1.4167,0
0,0,0.533333,0,1,0
0,4,0.183333,25.578947,1.8421,0
0,0,1,11,0.75,0
0,0,1,5,0,0
0,2,0.261905,25.928571,3,1
0,0,0.75,9,1.5,0
0,1,0.5,18.666667,1.6667,0
0,2,0.285714,35.571429,0.8571,1
3,0,0.428571,13,1.1429,0
0,0,1,0,1,0
0,1,0.416667,32.333333,0.8333,0
0,3,0.220779,7.272727,0.7273,0
0,0,0.75,23,2.5,0
0,1,0.21118,15.375,1.9583,1
1,1,0.173333,10.36,1.4,0
0,0,0.666667,12.333333,0.6667,0
0,0,0.303571,60.888889,0.8889,1
0,0,0.666667,8.666667,1,0
1,2,0.127315,58.408163,1.449,1
2,0,0.416667,12.833333,1.1667,1
0,0,0.285714,16.142857,0.8571,0
0,0,0.555556,8,1,0
0,0,0,2052,0,0
2,0,0.625,21.125,1.875,1
0,1,0.3,16.181818,1.2727,1
0,0,0.40625,10.75,1,0
0,0,0.3125,26.916667,0.8333,0
0,0,0.642857,11,0.8571,0
0,0,0.666667,28,0.5,0
0,0,1,0,1,0
0,2,0.192308,63.5,1.7143,1
2,0,0.325397,26.047619,2.619,0
3,0,0.466667,8.2,0.8,0
0,0,0.416667,24.076923,1.3077,0
0,0,0.833333,14.666667,1.1667,0
0,0,0,0,0,0
0,1,0.666667,37.833333,1.6667,1
0,0,0.6,17.4,1.2,0
0,0,0.326087,29.541667,1.625,1
0,0,0.833333,59.333333,4.3333,0
0,6,0.153846,13.076923,1.6923,0
0,0,0.75,38.75,0.5,0
0,0,0.3875,11.6,1.4,0
0,0,1,3,0,0
1,1,0.555556,10.222222,0.6667,0
0,0,0.3,19.7,1.2,0
0,0,1,3,0,1
0,5,0.251701,33.954545,2.6818,1
0,0,0.333333,16,1.6667,0
0,0,0.4,11.4,0.9,0
9,0,0.533333,11.4,2,0
0,0,0.75,9,1.5,0
0,0,0.47619,16.428571,1.2857,0
0,0,1,172,0.5,0
0,0,1,0,1,0
0,0,0.5,11.333333,1.8333,0
0,0,0.207885,27.83871,2.5806,1
0,1,0.175,41.875,1.4167,1
0,2,0.328125,35.121212,2.5152,0
0,0,0.533333,16.4,0.8,0
0,0,0.833333,35.666667,2.6667,0
0,0,0.75,35.5,3,0
0,0,1,6,0,0
4,1,0.261538,16.615385,2,1
0,0,1,39.5,2.5,0
1,0,0.555556,124,1.25,0
2,2,0.205128,19.384615,1.3846,0
0,0,0.4375,19.75,3.25,0
0,2,0.194444,20.285714,1,1
0,0,0.666667,0,1,0
0,0,0.666667,26.666667,2,0
1,6,0.205937,11.779221,1.7532,1
0,0,1,0,1,0
0,0,0.4375,7.75,0.75,0
0,0,0.555556,16.666667,1.3333,0
2,2,0.294118,18.764706,2.1176,1
0,0,0.625,5.5,0.75,0
0,2,0.327273,24.090909,2.5455,1
0,0,0.346154,33,1.3077,1
0,0,0.089286,0,1,0
0,0,0.416667,74.4,3.2,1
0,1,0.293333,9.466667,1.3333,0
0,0,0.533333,12.6,1.2,0
0,0,0.666667,38.333333,3,0
0,0,0.533333,36.6,1.6,1
0,0,0.642857,28.142857,3.4286,1
0,0,0.285714,28.785714,3.6429,0
0,0,0.384615,13.346154,1.5,0
0,9,0.127907,26.886364,1.2045,1
0,0,0.4,0,1,0
0,1,0.157051,32.115385,1.0769,1
0,0,0.382353,12.411765,1.4118,0
0,1,0.160234,28.965517,2.6379,1
0,2,0.26087,28.73913,2.1304,1
0,1,0.4,18.727273,1,0
0,0,0.325,15.25,2,0
0,0,0.4375,14,0.8,0
0,0,0.583333,6.75,1,1
0,0,0.666667,7.166667,0.8333,0
0,0,0.2,54,1.2857,1
0,1,0.375,30.8,2.3,0
0,0,0.625,27,0.75,0
0,2,0.15508,18.823529,2.2353,1
0,0,0.292308,14.153846,2.1538,0
0,0,0.5,77.333333,5.3333,0
0,0,0.666667,17.666667,1.6667,0
0,11,0.4,29.5,1,0
13,0,0.375,12,1,0
0,0,0.512821,12.846154,1.3846,0
0,2,0.270833,14.875,1.625,0
0,6,0.125,28.689655,3,1
0,1,0.583333,46.333333,4.3333,0
0,0,0.5,7.25,1,0
0,0,0.36,5,1.05,0
0,1,0.177778,26.9375,1.9375,0
0,0,1,3,0,0
2,1,0.307692,14.307692,1.5385,1
0,0,1,0,1,0
0,0,0.45,32.875,2.875,0
0,0,0,0,0,0
0,3,0.583333,12.8,1.2,0
0,0,0.238095,14.833333,1.6667,0
0,4,0.17803,26.92,1.48,1
0,0,0.666667,7.666667,0.3333,0
0,0,1,10,0.5,0
0,0,0.183333,86.272727,3.1818,1
0,0,0.666667,7.333333,0.6667,0
0,0,0.481481,15.888889,0.8889,0
0,0,0.269231,9.115385,1.3846,0
0,1,0.314286,25.714286,1,0
0,0,1,0,1,0
0,0,0.7,3.4,0.8,0
0,0,0.5,21.166667,1,0
0,2,1,15,1.2,0
0,1,0.5,44.75,1.875,0
0,0,0.642857,0,1,0
1,0,0.178571,11.666667,1.381,0
0,0,0.272321,41.785714,2.2857,0
0,0,0,0,0,0
0,0,1,13.666667,0.6667,0
0,0,0.666667,17,0.6667,0
0,0,0.222222,42.142857,1.2857,0
0,0,0.5,24.5,0.75,0
0,1,0.533333,15.666667,0.6667,0
0,0,1,0,1,0
0,2,0.6,88.5,4.5,0
7,0,0.357143,14.714286,0.8571,0
0,1,0.5,15.25,0.75,0
0,1,0.4375,13.625,1.125,0
0,0,0.45,34.3,1.1,0
0,0,0.625,0,1,0
0,1,0.666667,6,0.8333,0
0,0,0.32967,20.923077,1.8462,0
0,1,0.533333,10,0.6667,0
0,0,0.375,12.6,1.3,0
0,0,0.75,9,0.5,0
0,2,0.184874,54.666667,6.7778,1
0,3,0.209524,13.645161,1.2581,0
0,0,0.75,5,0.5,0
0,2,0.291667,17.75,1.6667,0
0,1,0.5,25.25,1.75,0
0,0,0.5,26.333333,2.3333,0
0,0,0.285714,14.928571,1.5714,0
1,1,0.4,7.272727,0.8182,0
2,0,0.833333,7,1.3333,0
0,0,0.703704,86.888889,4.8889,1
0,0,0.555556,10.666667,0.8333,0
2,6,0.5,34,1.2,0
0,1,0.375,12.75,0.75,0
0,0,0.290441,58.057143,2.5143,1
0,0,1,0,1,0
0,0,0.233333,31.733333,1.4667,1
0,0,0.428571,13.714286,1,0
0,0,0.818182,29.5,1.6667,1
0,0,1,0,1,0
0,2,0.27381,45.846154,0.8462,1
0,2,0.191667,109.02439,5.5854,1
0,0,0.708333,28.230769,4.5385,1
0,2,0.195313,8.8125,1.3125,0
0,1,0.472222,22.083333,2.0833,0
0,0,0.875,4.75,0.75,0
0,2,0.178571,25.857143,3.1905,1
0,1,0.40625,8.333333,0.7778,1
0,0,0.214286,24.928571,1.8571,0
0,0,0,0,0,0
0,0,0.555556,36.428571,1,0
0,0,0.555556,20,0.8333,0
0,0,0.47619,13.857143,1.2857,0
0,0,1,3,0,0
4,0,0.268908,18.388889,1.7778,1
0,0,0.259259,20.583333,1.9167,0
1,1,0.4375,17.5,1.5,1
0,0,0.46875,32.5,1.375,0
0,0,0.266234,27.227273,2.8182,0
1,0,0.625,11.5,0.75,0
0,3,0.222222,19.533333,0.9333,0
1,3,0.188889,37.75,1.1875,1
5,0,0.079193,6.25,1.2143,1
0,0,1,0,1,0
0,2,0.392857,26.714286,2.5714,0
0,0,0.555556,13.333333,1.6667,0
0,0,0.5,19.5,2,1
0,2,0.316129,18.16129,1.4516,0
0,0,0.666667,7.333333,0.6667,0
0,0,0.5,19.75,0.75,0
0,0,0.625,6,0.25,0
0,2,0.219388,17.571429,1.8571,1
0,0,0.375,8,1.1667,0
0,0,0.533333,11.2,0.8,0
0,0,0.47619,0,1,0
28,2,0.32,6.2,1.1,0
0,0,0.375,20.125,1.125,0
0,0,0.21118,9.521739,1.3913,0
0,0,1,0,1,0
0,0,0,0,0,0
1,4,0.47619,15.375,1.5,0
0,0,0.533333,13.2,1,0
0,0,0.293651,28,0.8571,1
0,0,0.625,10,1,0
0,0,0.666667,66.333333,5,0
0,5,0.261538,20.357143,1.2857,1
0,0,0.241935,10.677419,1.5161,0
0,0,0.666667,24.333333,1.6667,0
0,0,0.666667,13.333333,1,0
0,0,0.363636,22.727273,1.7273,0
0,0,0.47619,6.571429,0.8571,0
0,0,1,0,1,0
2,2,0.13986,39.044444,2.2444,1
1,0,0.666667,6,0.6667,0
0,0,0.555556,207.333333,1,0
2,5,0.625,18,0.4,0
