@relation 'ant-1.7_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11-12,14'

@attribute noc numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,1.1,0,0.444444,0,0,32.666667,1,0.6667,0
0,0.625,1,0.5,0,0,13.4,1,0.6,0
0,2,0,1,0,0,6,0,0,0
9,0.8,1,0.40625,0,0,11,1,0.875,0
0,0.75,0,0.388889,0,0,19,2,1,1
5,0.5,0,0.555556,0,0,4,1,0.6667,0
0,0.736842,1,0.284211,0,0,15.9,3,1.15,1
0,0.809524,2,0.3,0,0,12.538462,7,1.3846,0
0,0.53125,0,0.518519,0,0,11.777778,3,1.4444,0
0,0.666667,0,0.342857,2,5,34.857143,9,3.1429,0
0,0.833333,0,0.333333,1,4,6.555556,3,1.1111,0
0,2,0,0.583333,0,0,11.666667,1,0.3333,0
0,2,0,1,0,0,0,1,1,0
0,0.8125,3,0.375,0,0,4.555556,1,0.7778,0
0,0.936508,0,0.381579,2,3,11.526316,6,1.3158,0
2,0.111111,1,0.26,1,1,9.9,3,1.6,0
0,0,1,0.5,1,2,10,1,0.6667,0
0,0.897507,1,0.19375,0,0,39.8,10,1.95,0
0,2,0,0.444444,0,0,0,1,1,0
0,0.5,1,0.75,1,2,12.333333,3,1,1
0,0.625,0,0.8,0,0,12.6,4,1.4,0
0,2,0,1,0,0,0,1,1,0
0,0.58,0,0.409091,0,0,15,1,0.7273,0
0,2,0,0.666667,1,1,16,2,1,0
0,0.5,0,0.666667,0,0,8.333333,1,0.6667,0
0,0.92,0,0.311111,0,0,28.25,9,1.5625,1
8,0.333333,1,0.4375,0,0,3.25,1,0.75,0
0,0.693878,0,0.295238,0,0,28.066667,5,1.6,0
0,0.671429,0,0.545455,0,0,26.454545,11,1.9091,0
0,2,0,0.75,1,1,2.5,1,0.5,0
0,0.678571,1,0.225,1,2,12.333333,2,1.5333,0
3,0.576923,1,0.321429,0,0,6.571429,4,1.2857,0
0,0.824786,1,0.183761,1,7,45.62963,4,1.1111,1
0,0.75,0,0.8,2,2,48.2,1,0.8,0
0,1.5,0,0.666667,0,0,0,1,1,0
0,2,0,0.625,2,4,13.25,2,1,0
0,0.6,0,0.666667,0,0,7.5,1,0.8333,0
8,0.956553,2,0.195455,0,0,19.127273,10,1.8545,0
0,2,0,0.666667,0,0,44.333333,2,1,0
0,0.428571,0,0.625,0,0,19.875,7,1.625,0
0,0.483333,0,0.348485,1,1,10.818182,1,0.5455,0
0,0.833333,1,0.2,0,0,7.9,3,1.2,0
0,2,0,1,0,0,3,0,0,0
1,1.5,0,1,0,0,22.666667,1,0.6667,0
0,1.104167,0,0.25,0,0,29.555556,11,3,0
0,0.666667,0,0.714286,0,0,4.714286,1,0.8571,0
1,0.5,0,0.666667,0,0,13.333333,4,1.2222,0
2,0.874288,2,0.21371,0,0,35.015873,35,3.2381,1
2,0.4,1,0.433333,1,4,8,1,0.6667,0
0,2,0,0.666667,0,0,0,1,1,0
0,0.904762,1,0.361905,2,2,14.818182,9,1.3636,0
0,0.975,1,0.270588,3,5,6.470588,2,1.0588,1
0,0.826446,1,0.277778,2,2,65.083333,18,4.8333,1
0,0.761905,1,0.283333,1,1,22.8,2,1,0
0,2,0,0.625,1,3,63,9,4.5,1
1,0.893375,5,0.146825,0,0,19.860465,15,1.5116,1
28,0.52381,1,0.198864,1,2,11.227273,3,1.3182,0
2,0.842975,1,0.173203,3,15,15.911765,5,1.7941,1
0,2,0,1,2,2,8,1,0.5,0
0,2,0,0.333333,0,0,4.333333,1,0.6667,0
0,0.666667,0,0.5,1,1,17.5,3,1.25,0
0,0,1,0.287879,2,2,5.818182,1,0.9091,0
0,0.888889,0,0.5,0,0,45,9,3.5,1
2,0.848864,2,0.155844,1,5,31.607143,14,2.1964,1
0,0.583333,1,0.583333,1,1,19.4,9,2.2,0
0,2,0,0.36,0,0,47.2,7,4.2,0
0,0.5,0,0.47619,0,0,29.571429,5,2.2857,0
0,0.991071,0,0.352941,2,3,10.764706,3,1.1765,1
0,0.333333,1,0.533333,0,0,37.5,2,0.75,0
0,0.375,0,0.466667,0,0,26.8,1,0.8,0
0,0.803571,0,0.314815,1,1,36.555556,1,0.8889,1
0,0,1,0.666667,1,1,20.333333,1,0.6667,0
0,0.4,1,0.375,0,0,7.333333,2,1,0
0,0.333333,0,0.4375,1,1,18,5,2,0
0,0.333333,0,0.625,0,0,3.5,1,0.75,0
1,0.9375,1,0.481481,0,0,14.888889,1,0.8889,0
0,0.693878,1,0.25,1,4,39.25,19,4.625,0
0,0.821429,1,0.244898,2,2,36.2,4,1.2,0
0,2,0,1,0,0,0,1,1,0
0,0.703125,1,0.29375,0,0,50.176471,11,2.5294,0
2,0.434783,1,0.162037,2,15,9.375,5,1.375,0
0,0.777778,1,0.625,0,0,24.75,5,1.75,0
0,0.802198,0,0.138047,1,1,13.740741,6,1.5185,1
0,0.666667,1,0.3,1,1,15.3,3,1.4,0
0,2,0,1,0,0,0,1,1,0
0,0.583333,2,0.266667,1,3,23.5,7,2.4,0
3,0.816667,0,0.290909,0,0,20.272727,4,1.2727,0
0,0.805195,1,0.261905,0,0,11.416667,4,1.25,0
0,0.606061,1,0.22619,2,3,24,3,1.25,1
0,2,0,1,0,0,15.5,1,0.5,0
0,0.785714,3,0.25,1,1,46.8,2,1.2667,1
0,0.833333,1,0.444444,1,1,35.285714,1,0.7143,0
0,2,0,0.5,0,0,0,1,1,0
0,0.833333,1,0.583333,1,1,9,2,1,0
2,0.71,1,0.19375,2,9,15.952381,6,1.619,0
0,0.666667,0,0.625,1,1,12.25,4,1.5,0
2,0.954861,3,0.230263,0,0,5.684211,1,0.9474,1
0,0.936364,0,0.236111,0,0,36.083333,4,1.75,0
0,1.2,0,0.722222,0,0,0,1,1,0
0,2,0,0.555556,1,1,16.333333,3,1.6667,0
0,0.5,0,0.47619,0,0,15.142857,4,1.2857,0
2,0.74359,1,0.297619,1,1,14.5,4,1.2143,1
3,0.960606,1,0.25974,0,0,51,15,2.9091,0
0,0.7125,0,0.27451,0,0,37.176471,7,2.0588,0
1,0,1,0.666667,0,0,50,1,0.5,0
0,0.619048,3,0.216667,1,1,19.333333,6,1.8667,0
102,0.839286,3,0.191571,1,1,11.724138,5,1.3448,0
0,0.723485,2,0.148485,3,4,19.647059,5,1.9118,1
0,2,0,0.625,0,0,10.25,2,1,0
0,0.444444,2,0.52381,0,0,19.714286,3,1.1429,0
0,0.929487,1,0.269841,0,0,52.052632,1,0.8947,0
0,2,0,1,0,0,4,0,0,0
0,0.761905,0,0.35,1,4,22.875,6,2.25,0
0,0.9,0,0.208333,0,0,17.4,5,1.5333,0
1,0.8,0,0.305556,0,0,25.833333,4,1.3333,0
0,1,0,0.75,2,2,26.25,2,1,0
0,2,0,1,0,0,0,1,1,1
0,2,0,0.5,0,0,23,1,0.5,0
0,2,0,0,0,0,0,0,0,0
0,0.943734,0,0.375,2,2,11.166667,8,1.375,0
0,0.5,0,0.666667,0,0,3.333333,1,0.6667,0
0,0,0,0.75,2,4,38.5,1,0.5,0
0,2,0,1,0,0,37,0,0,0
0,0.333333,0,0.5,0,0,29.5,2,1,0
0,0.735043,0,0.25,2,5,33.214286,12,1.7857,1
0,0.25,0,0.666667,0,0,65.666667,2,1,0
12,0.666667,1,0.5,0,0,4.25,1,0.5,0
2,0.742857,3,0.428571,1,3,16.25,4,1.5,0
0,0.729167,1,0.277778,1,1,16,3,1.1111,0
0,2,0,0.555556,0,0,8,3,1,0
0,0.977444,1,0.477273,1,1,28.954545,8,1.8182,0
2,0.775,0,0.285714,0,0,17,6,1.7273,0
0,0,0,0.75,2,4,20.5,1,0.5,0
0,0.386364,0,0.444444,0,0,18.166667,4,1.5833,0
0,0.5,0,0.7,0,0,6.2,1,0.6,0
0,0.545455,0,0.277778,3,6,16.666667,4,1.4167,0
0,2,0,0.533333,0,0,0,1,1,0
0,0.856481,4,0.183333,0,0,25.578947,6,1.8421,0
0,1.333333,0,1,1,1,11,1,0.75,0
0,2,0,1,0,0,5,0,0,0
0,0.769231,2,0.261905,1,1,25.928571,26,3,1
0,2,0,0.75,1,1,9,3,1.5,0
0,1.441176,1,0.5,0,0,18.666667,4,1.6667,0
0,0.708333,2,0.285714,2,2,35.571429,1,0.8571,1
3,1.041667,0,0.428571,0,0,13,3,1.1429,0
0,2,0,1,0,0,0,1,1,0
0,0.68,1,0.416667,2,4,32.333333,1,0.8333,0
0,0.75,3,0.220779,0,0,7.272727,1,0.7273,0
0,2,0,0.75,0,0,23,5,2.5,0
0,0.804348,1,0.21118,2,14,15.375,6,1.9583,1
1,0.875,1,0.173333,0,0,10.36,6,1.4,0
0,2,0,0.666667,0,0,12.333333,1,0.6667,0
0,1.083333,0,0.303571,0,0,60.888889,2,0.8889,1
