@relation 'camel-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16-20'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute bug {1,0}

@data
0,1,0.37037,0
0,0,0.412037,1
0,0,0.355556,0
0,3,0.416667,0
0,3,0.371429,1
0,3,0.4,0
0,2,0.833333,0
0,0,0.5,1
0,0,0.666667,0
0,0,0.541667,0
0,0,0.392857,0
0,0,0.265306,1
0,1,0.276923,1
0,1,0.305556,0
1,3,0.173684,1
6,1,0.666667,1
0,0,0.416667,1
0,0,0.3,1
0,0,0.666667,0
0,1,0.357143,1
0,0,0.666667,1
0,2,0.157895,0
0,0,0.4875,0
0,0,0.625,1
3,0,1,0
0,0,0.36,0
0,0,0.666667,0
15,3,0.175439,1
0,0,0,0
1,1,0.157895,0
0,0,0.361111,1
0,1,0.666667,1
0,0,0,0
0,0,0.666667,0
0,5,0.297619,0
2,0,0.219298,0
0,3,0.205882,1
15,0,0.666667,1
0,1,0.5,0
0,0,0.666667,1
0,0,0.555556,0
0,1,0.229167,1
0,1,0.583333,0
0,0,0.666667,1
0,0,0.833333,0
0,2,0.393939,0
0,0,0.425,0
0,0,0.666667,0
0,1,0.4,0
0,2,0.266667,0
0,9,0.375,1
0,0,1,0
0,0,0.171717,1
2,0,0.75,1
0,0,1,0
0,6,0.155844,1
0,0,0.5,0
0,3,0.333333,1
0,1,0.47619,0
0,0,0.55,1
0,0,0.666667,0
0,2,0.143939,1
0,0,0.833333,0
17,1,0.357143,0
0,2,0.146104,1
0,0,0.416667,0
1,2,0.25641,1
0,2,0.964286,1
1,0,1,0
0,0,0.31746,0
0,0,1,0
0,2,0.326531,1
0,0,0.347222,0
1,2,0.222222,0
0,0,0,0
0,0,1,0
0,1,0.5,0
0,0,0.4,0
0,1,0.1875,0
0,1,0.326923,0
0,0,0.555556,1
0,0,0.390625,0
0,1,0.272727,1
0,0,0.3,0
0,0,0,0
4,1,0.205357,0
0,0,0.4,0
0,0,0.326531,0
0,0,1,1
0,0,1,1
0,1,0.1875,1
0,0,0.625,1
0,0,0.307692,1
0,2,0.833333,0
0,0,1,0
0,0,1,0
0,0,1,0
0,2,0.2,0
0,0,0.333333,1
0,0,0.4875,1
0,0,0.253456,0
0,0,0.75,0
0,0,0.416667,0
0,0,0.666667,0
0,0,1,1
0,0,0.666667,1
0,0,0.178571,0
0,0,1,0
0,4,0.345455,0
0,0,0.5,0
2,3,0.285714,0
0,0,0.625,1
0,0,0.533333,1
1,0,0.375,1
1,8,0.088751,1
0,4,0.3,0
0,4,0.134615,0
0,0,0.333333,0
2,2,0.246753,0
0,2,0.4,1
0,0,0.466667,1
0,0,0.75,0
0,0,1,1
0,1,0.466667,0
0,1,0.375,1
0,2,0.4,0
0,7,0.444444,0
0,0,1,0
0,0,0.45,0
0,0,1,0
0,0,0.666667,0
0,3,0.138889,1
0,0,1,1
0,0,0.666667,1
0,1,0.666667,1
0,0,0,0
0,0,0.4375,0
0,1,0.541667,0
0,1,0.5,0
1,2,0.321429,1
0,0,0.666667,1
0,0,0.833333,0
0,1,0.101496,0
0,3,0.233766,0
0,0,1,0
12,4,0.28,1
1,1,0.258242,0
0,0,0.375,0
0,2,0.333333,1
0,0,0.381818,0
0,0,0,0
0,0,1,0
0,0,1,1
0,1,0.259259,0
7,2,0.444444,0
