@relation camel-1.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R11

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0,0,1,4,0,1,0.37037,0,22.555556,0.8889,0
1,0,351,1,5,2,0,0.412037,0,0,1,1
1,0,30,1,2,0.375,0,0.355556,0,8,0.7778,0
1,0,7,3,27,0.805556,3,0.416667,0,26.428571,0.7143,0
2,0,0,1,9,0.357143,3,0.371429,1,26.5,1,1
1,0,2,3,7,0.666667,3,0.4,0,11.25,0.75,0
0,0,2,1,9,0.666667,2,0.833333,0,16,0.5,0
1,0,1,1,1,2,0,0.5,0,7,1.5,1
1,0,153,116,0,2,0,0.666667,0,0,1,0
1,0,12,2,1,0.625,0,0.541667,0,9.777778,1.2222,0
2,0,0,3,1,0.611111,0,0.392857,0,8,1,0
2,0,15,4,10,0.5,0,0.265306,0,5.142857,0.7143,1
2,0,42,4,9,0.611111,1,0.276923,4,12.230769,1.1538,1
4,0,5,1,9,0.5,1,0.305556,1,22.5,0.8333,0
2,1,68,2,15,0.864662,3,0.173684,1,25.15,1.55,1
4,6,0,6,2,1,1,0.666667,0,9.5,0.5,1
3,0,15,2,6,2,0,0.416667,3,6,0.5,1
2,0,31,1,4,0.634615,0,0.3,4,8.714286,0.8571,1
5,0,0,1,1,1,0,0.666667,0,9,0.5,0
2,0,0,1,6,0.166667,1,0.357143,1,20.571429,1.2857,1
2,0,3,1,3,2,0,0.666667,0,9.666667,0.6667,1
2,0,133,7,19,0.644444,2,0.157895,1,7.894737,1,0
1,0,190,1,1,2,0,0.4875,0,1.5,0.9,0
1,0,28,0,7,2,0,0.625,0,28.625,3,1
1,3,6,3,1,0.75,0,1,0,3.4,0.8,0
2,0,7,1,5,0.7,0,0.36,1,8.5,0.8333,0
2,0,3,0,1,2,0,0.666667,2,3,0.3333,0
1,15,139,21,11,0.822222,3,0.175439,1,10.105263,1.4737,1
1,0,0,1,0,2,0,0,0,0,0,0
1,1,137,1,6,0.857143,1,0.157895,0,8.263158,1,0
1,0,15,1,5,2,0,0.361111,0,1.333333,0.8333,1
1,0,0,2,2,0.5,1,0.666667,0,9,1,1
1,0,0,1,0,2,0,0,0,0,0,0
1,0,1,3,2,2,0,0.666667,0,7.5,1,0
1,0,61,2,5,0.830769,5,0.297619,0,4.428571,0.9286,0
1,2,168,98,5,0.954887,0,0.219298,0,16.25,1.15,0
1,0,85,1,8,0.739496,3,0.205882,0,12.055556,1.3889,1
4,15,6,49,0,1.333333,0,0.666667,0,4,0,1
1,0,1,2,2,0.6,1,0.5,0,7,1.1667,0
1,0,1,1,1,2,0,0.666667,0,59.5,6.5,1
2,0,0,3,1,0.5625,0,0.555556,0,12.111111,1.2222,0
2,0,26,3,11,0.833333,1,0.229167,0,5,0.7778,1
1,0,2,0,6,0.5,1,0.583333,0,7.4,0.8,0
2,0,3,2,3,2,0,0.666667,0,2.333333,0.6667,1
1,0,3,3,1,2,0,0.833333,0,0,1,0
3,0,41,0,6,0.833333,2,0.393939,1,7.727273,1.2727,0
4,0,7,1,3,0.666667,0,0.425,2,10.6,0.8,0
2,0,3,0,1,2,0,0.666667,2,3,0.3333,0
4,0,0,1,5,0.4,1,0.4,2,12.833333,0.8333,0
2,0,46,0,7,0.795455,2,0.266667,0,5.583333,1,0
2,0,32,39,2,0.975,9,0.375,1,24.555556,1.8889,1
0,0,0,3,2,2,0,1,0,8,0,0
1,0,189,1,1,0.84127,0,0.171717,0,7,1.2273,1
1,2,0,2,2,0,0,0.75,0,5.75,0.75,1
1,0,0,0,0,2,0,1,0,3,0,0
3,0,151,5,18,0.846561,6,0.155844,1,16.818182,1.5455,1
1,0,3,1,1,2,0,0.5,0,20,0.6667,0
2,0,9,1,5,0.75,3,0.333333,0,9.142857,0.8571,1
3,0,0,3,4,0.166667,1,0.47619,1,4.714286,0.7143,0
1,0,10,3,2,2,0,0.55,0,0,1,1
5,0,0,1,1,0,0,0.666667,0,11,0.5,0
3,0,598,8,19,0.93254,2,0.143939,1,7.675676,1.2162,1
1,0,3,0,4,2,0,0.833333,0,5,0.6667,0
2,17,1,17,5,0.333333,1,0.357143,1,3.571429,0.8571,0
2,0,302,7,9,0.802469,2,0.146104,4,9.607143,1.0714,1
3,0,13,0,6,0.4,0,0.416667,0,16.666667,1.6667,0
1,1,79,2,5,0.788462,2,0.25641,0,7.142857,1.1429,1
1,0,91,0,4,0.538462,2,0.964286,0,6.357143,1,1
1,1,0,1,0,0,0,1,0,5.5,0.75,0
2,0,28,1,4,0.666667,0,0.31746,2,10.111111,1,0
1,0,0,3,1,2,0,1,0,0,1,0
2,0,14,1,7,0.642857,2,0.326531,0,11.375,0.375,1
0,0,16,2,17,0.541667,0,0.347222,0,41.111111,1.7778,0
1,1,59,3,12,0.821429,2,0.222222,0,11.2,1,0
1,0,0,1,0,2,0,0,0,0,0,0
2,0,0,0,1,2,0,1,0,3,0,0
1,0,1,2,3,0,1,0.5,0,9,0.6667,0
3,0,10,1,4,2,0,0.4,2,4,0.6,0
1,0,81,2,20,0.867347,1,0.1875,0,13.066667,0.9333,0
1,0,0,1,3,0,1,0.326923,0,4.307692,0.9231,0
5,0,0,0,1,0.5,0,0.555556,0,9.333333,0.6667,1
2,0,26,0,7,0.571429,0,0.390625,1,51,3.625,0
3,0,37,1,8,0.525,1,0.272727,14,17.909091,1.6364,1
1,0,21,4,9,2,0,0.3,0,22.857143,1.4286,0
1,0,0,0,0,2,0,0,0,0,0,0
3,4,79,4,6,0.816327,1,0.205357,1,8.266667,0.8,0
2,0,6,1,12,0.583333,0,0.4,2,16,0.8,0
3,0,21,2,6,2,0,0.326531,0,8.428571,0.7143,0
1,0,0,2,1,2,0,1,0,0,1,1
1,0,1,4,2,2,0,1,0,0,1,1
1,0,74,3,7,0.844444,1,0.1875,0,8.25,1.1875,1
3,0,6,6,4,2,0,0.625,2,5.25,0.75,1
3,0,26,1,7,0.625,0,0.307692,2,11.076923,1.3077,1
0,0,2,1,9,0.666667,2,0.833333,0,17,0.5,0
2,0,0,2,3,2,0,1,0,5,0,0
1,0,0,0,0,2,0,1,0,0,1,0
1,0,0,4,1,2,0,1,0,0,1,0
2,0,101,5,17,0.75,2,0.2,1,6.733333,1.0667,0
1,0,15,8,1,2,0,0.333333,0,16,2.8333,1
1,0,112,4,2,0.6,0,0.4875,0,17.6875,0.875,1
1,0,484,1,3,0.854071,0,0.253456,0,18.6875,1.7813,0
1,0,1,2,2,2,0,0.75,0,3,0.5,0
2,0,9,1,1,0.2,0,0.416667,0,6.333333,0.8333,0
2,0,3,0,1,2,0,0.666667,2,3,0.3333,0
1,0,0,2,2,2,0,1,0,0,1,1
5,0,0,1,4,0,0,0.666667,0,12,0.5,1
1,0,59,0,3,0.753846,0,0.178571,0,7.571429,0.7857,0
1,0,0,0,0,2,0,1,0,0,1,0
1,0,16,3,14,0.795455,4,0.345455,0,7.333333,0.8333,0
2,0,9,1,1,0.2,0,0.5,0,5.666667,0.8333,0
1,2,9,4,7,0.666667,3,0.285714,0,7.3,1.2,0
3,0,1,2,7,2,0,0.625,0,14.5,1,1
1,0,3,1,3,2,0,0.533333,0,6,0.6667,1
2,1,8,2,6,0.285714,0,0.375,1,9.125,0.875,1
2,1,1166,4,33,0.913495,8,0.088751,1,17.769231,1.3846,1
3,0,0,2,10,0.733333,4,0.3,1,10.857143,0.7143,0
2,0,293,1,19,0.905325,4,0.134615,0,11.222222,1.1481,0
1,0,10,1,5,0.5,0,0.333333,0,19.222222,1.8889,0
3,2,51,9,9,0.6,2,0.246753,1,6.545455,1,0
2,0,0,1,8,0.25,2,0.4,1,15.4,0.8,1
1,0,0,0,0,0.5,0,0.466667,0,5,0.8,1
1,0,1,0,1,2,0,0.75,0,12,0.5,0
1,0,1,1,3,2,0,1,0,3.5,0.5,1
3,0,2,3,19,0.5,1,0.466667,1,30,0.8,0
1,0,59,8,3,0.641026,1,0.375,0,7.785714,1.2143,1
3,0,2,2,9,0.777778,2,0.4,0,6.5,0.5,0
2,0,4,10,1,0.952381,7,0.444444,1,19.5,0.5,0
6,0,0,1,2,2,0,1,0,12,0,0
4,0,0,1,0,0.666667,0,0.45,0,7.75,0.75,0
1,0,1,2,0,2,0,1,0,0,1,0
3,0,1,0,7,2,0,0.666667,2,20,0.5,0
1,0,864,8,14,0.907468,3,0.138889,0,10.311111,1.2667,1
1,0,0,4,1,2,0,1,0,0,1,1
2,0,3,0,1,2,0,0.666667,2,3,0.3333,1
3,0,0,1,3,0,1,0.666667,0,15,0.5,1
1,0,0,0,0,2,0,0,0,0,0,0
0,0,4,1,9,0.666667,0,0.4375,0,19,2.25,0
2,0,0,7,6,0,1,0.541667,0,7.25,0.5,0
3,0,4,1,3,0.666667,1,0.5,0,4.25,0.75,0
1,1,12,2,11,0.785714,2,0.321429,0,47,2.125,1
1,0,1,1,2,2,0,0.666667,0,26,3,1
1,0,1,11,0,2,0,0.833333,0,0,1,0
3,0,1318,1,17,0.607843,1,0.101496,2,7.288462,1.0192,0
3,0,44,1,10,0.727273,3,0.233766,1,8.75,0.8333,0
2,0,1,0,3,2,0,1,0,5,0.5,0
2,12,17,13,9,0.777778,4,0.28,1,7.6,1.1,1
1,1,0,5,5,0.08,1,0.258242,0,8.038462,1,0
3,0,6,1,4,2,0,0.375,1,14.5,0.5,0
3,0,43,0,13,0.833333,2,0.333333,2,10.4,0.9,1
1,0,237,0,2,0.075758,0,0.381818,0,8.869565,1.4348,0
1,0,0,0,0,2,0,0,0,0,0,0
1,0,1,1,1,2,0,1,0,0,1,0
1,0,10,4,0,2,0,1,0,0,1,1
2,0,147,4,7,0.705882,1,0.259259,3,4.5,0.8889,0
1,7,24,7,4,0.375,2,0.444444,0,12.666667,1,0
1,0,27,1,2,0.666667,1,0.425,0,5.6,0.7,1
3,0,7,3,8,0.7,1,0.36,0,12.833333,0.8333,0
2,0,916,8,16,0.686364,3,0.252525,1,9.133333,1.0889,1
2,0,3,2,3,2,0,0.416667,0,20.666667,1.6667,0
0,0,1,1,4,2,0,0.75,0,15,0.5,0
1,0,43,1,15,0.5,0,0.4,4,21.454545,1.9091,0
2,0,3,0,1,2,0,0.666667,2,3,0.3333,0
2,0,4,1,5,0.666667,1,0.466667,0,8.25,0.25,1
1,0,28,2,5,0.545455,1,0.329545,0,41,2.3333,1
1,0,9,0,4,0.2,0,0.416667,0,5.666667,1,1
1,0,0,30,1,2,0,0,0,0,0,0
1,0,516,5,1,0.875,0,0.297561,0,10.95122,0.9268,0
1,0,0,0,0,2,0,1,0,0,1,0
6,0,0,1,1,0,0,0.666667,0,11,0.5,0
2,2,0,5,5,0,0,0.5625,0,20.25,1.25,1
2,0,62,1,5,0.65,0,0.375,4,10.625,0.9375,1
1,0,45,0,0,2,0,0.25,0,7.1,1.1,1
4,0,0,1,1,0.583333,1,0.571429,0,14.142857,2,0
6,0,7,1,2,0.8,0,0.416667,0,11.666667,1.1667,0
3,0,52,6,16,0.681818,2,0.191667,1,10.5,1,0
4,3,8,4,1,0.75,0,0.4,3,7.6,1.4,0
5,1,3,3,1,1.5,0,0.777778,0,4.333333,0,0
3,0,35,3,7,0.153846,0,0.339286,7,6.428571,0.9286,0
3,0,0,1,3,0.333333,0,0.4375,3,20.25,1.25,0
1,4,9,5,0,0.6,0,0.5,0,2.666667,0.6667,0
1,0,0,4,1,2,0,1,0,0,1,0
5,0,0,1,1,2,0,1,0,12,0,0
1,0,3,5,2,2,0,0.666667,0,0,1,0
5,0,0,1,4,0,1,0.666667,0,9.5,0.5,0
1,27,49,29,2,0.807692,0,0.380952,0,12.857143,1.2143,1
1,0,9,1,10,0.4,0,0.333333,0,30.333333,1.3333,0
1,0,1,2,0,2,0,1,0,0,1,0
1,0,0,1,2,0,0,0.666667,0,5.666667,0.6667,0
1,4,17,8,4,0.75,1,0.428571,0,14.142857,1,1
2,0,0,1,0,0,0,0.5,0,7.5,0.6667,1
2,3,55,7,12,0.666667,1,0.131579,3,7.684211,0.9474,1
0,0,1,1,9,0.5,0,0.75,0,20.666667,0.3333,0
1,0,10,1,3,2,0,0.44,0,10.2,0.8,0
1,11,687,13,10,0.897368,7,0.133772,0,9.128205,1.3846,1
1,0,1,1,3,0,0,0.5,0,14.333333,1,0
2,0,3,0,1,2,0,0.666667,2,3,0.3333,0
1,0,6,34,5,2,0,0.5,0,0,1,0
1,0,9,0,11,0.791667,3,0.357143,0,9.142857,0.8571,0
2,0,4,5,1,0.916667,4,0.444444,1,12,0.5,0
5,0,0,1,3,0.5,2,0.555556,0,9,0.6667,0
2,1,142,1,14,0.808333,2,0.2,2,11.857143,1,0
1,0,0,4,1,2,0,1,0,0,1,0
1,0,1,1,3,2,0,1,0,3.5,0.5,1
1,0,48,1,22,0.738095,4,0.314815,0,45.692308,2.6154,1
3,0,15,3,6,2,0,0.416667,3,6,0.5,1
1,6,6,6,2,2,0,0.5625,0,8.25,1,0
3,0,0,1,10,0,0,0.5,1,43.333333,1,0
2,0,104,1,4,0.90625,0,0.338235,5,27.470588,1.8235,0
1,0,8,0,2,0.5,0,0.3,0,10.2,1,1
6,0,11,1,12,0.6,1,0.305556,0,13.166667,0.8333,0
5,0,0,1,3,0.5,2,0.625,0,6.5,0.5,1
2,0,218,3,15,0.753623,2,0.284722,4,10.208333,1.0417,1
3,0,0,1,13,0.642857,2,0.314286,0,12.875,0.875,0
1,0,0,0,0,2,0,0,0,0,0,0
3,2,3,2,7,2,0,0.533333,0,7,0.3333,0
1,0,21,4,3,2,0,0.607143,0,15,2,0
3,0,3,2,9,0.666667,2,0.28,0,5.666667,0.6667,0
0,0,1,1,4,2,0,0.75,0,19,0.5,0
1,0,9,1,2,0,1,0.5,0,7.285714,0.8571,0
2,0,264,5,10,0.804348,1,0.220238,2,6.666667,0.875,0
3,0,35,1,6,0.153846,0,0.339286,7,8.357143,1.1429,0
4,0,5,1,10,0.5,1,0.305556,1,20,0.8333,0
3,0,0,1,8,0.375,0,0.4,0,31.2,0.8,0
2,9,54,10,5,0.545455,0,0.333333,2,7.083333,1.1667,1
1,0,131,9,6,0.882353,2,0.235294,0,6.666667,1.1111,0
1,1,407,1,14,0.862069,2,0.130769,0,7.266667,1.0333,1
3,0,48,1,8,0.4,0,0.2625,7,10.6875,1.3125,0
2,3,3,3,3,2,0,0.666667,0,14.666667,0.6667,0
0,0,21,1,9,2,0,0.5,0,18.714286,2.2857,0
3,0,0,1,12,0.633333,2,0.333333,0,30.714286,1,0
1,3,41,10,2,0.666667,1,0.327273,0,7,0.8182,1
3,0,71,1,5,0.785714,0,0.35,6,6.333333,0.9333,0
2,0,0,1,0,0.25,0,0.714286,0,10.571429,0.5714,1
2,0,943,9,22,0.874582,1,0.104859,0,21.191489,1.3617,1
1,0,1,1,3,2,0,1,0,3.5,0.5,1
1,0,208,0,1,0,0,0.409524,0,9.142857,1.1905,0
3,0,59,3,10,0.692308,1,0.24359,4,23.785714,1.4286,0
5,0,0,1,3,0.5,1,0.555556,0,9.666667,0.6667,0
2,0,3,1,3,2,0,1,1,101.666667,0.6667,0
1,0,188,0,3,0.105263,0,0.4875,0,7.3,1.5,0
1,0,9,1,0,0.333333,0,0.47619,0,5.428571,0.7143,0
1,0,1,8,1,2,0,0.75,0,0,1,1
1,0,24,0,6,0.6875,1,0.407407,0,7.444444,0.8889,0
