@relation camel-1.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R6

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,28,1,7,2,394,0,0.588235,0.347222,1,1,48.25,7,3.125,1
0,0,10,2,8,2,97,0,0,0.45,0,0,18.4,2,1,0
1,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0
3,0,50,5,41,0.892857,344,0,0.645161,0.25,1,1,24.923077,5,1.6154,0
2,0,17,4,2,0.75,46,1,0.333333,0.428571,0,0,5.285714,1,0.8571,0
1,6,15,7,4,2,52,0,0,0.541667,0,0,7.666667,2,1,0
4,0,45,3,11,1,101,0,0.844444,0.314815,0,0,9,1,0.7,0
1,0,119,4,28,0.705882,350,1,0,0.235294,0,0,18.277778,6,1.6111,0
1,0,379,8,2,0.855556,328,0,0,0.3,0,0,9.290323,8,1.3548,1
1,0,2,2,10,0.583333,154,0,0.571429,0.5,1,1,29.2,1,0.6,0
2,0,5,2,13,0.6,88,2,0.722222,0.416667,1,1,13.333333,1,0.8333,1
2,0,0,0,1,2,7,0,1,1,0,0,3,0,0,0
3,0,0,1,8,0,37,1,0.952381,0.666667,0,0,17,1,0.5,0
4,0,22,3,12,0.708333,244,1,0.950311,0.259259,1,2,25.777778,11,2.2222,0
1,0,1,1,2,2,10,0,0,0.666667,0,0,4,1,0.5,0
2,0,4,3,1,0.916667,56,4,0.857143,0.444444,1,1,12,1,0.5,0
0,0,0,1,4,0,213,0,0,0.37037,0,0,22.555556,1,0.8889,0
0,0,69,4,13,0.857143,165,2,0,0.221154,0,0,10.285714,3,1.2143,0
4,0,1,2,1,2,12,0,1,0.833333,0,0,4.5,0,0,0
1,0,2,3,7,0.666667,52,3,0,0.4,0,0,11.25,1,0.75,0
1,0,87,1,4,0.694118,317,0,0,0.317647,0,0,16.333333,5,1.2778,0
1,0,4,0,2,0.5,25,0,0,0.6,0,0,3.8,1,0.8,0
1,0,0,1,5,0,31,0,0,0.625,0,0,14,1,0.5,0
1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0
2,0,0,1,3,0,27,0,0.928571,0.666667,1,1,7.666667,1,0.3333,0
4,0,21,3,6,2,45,0,0.975309,0.392857,3,4,5.428571,1,0.5714,1
3,0,0,1,7,0.416667,82,1,0.913043,0.5,0,0,14.8,1,0.4,0
4,0,3,0,8,2,52,0,0.948718,0.666667,2,2,16.333333,1,0.6667,0
2,0,0,1,6,0.166667,152,1,0.684211,0.357143,1,1,20.428571,4,1.2857,0
3,0,3,4,3,2,32,0,0.9,0.666667,0,0,9.666667,1,0.6667,0
4,0,51,1,8,0.6,96,0,0.957576,0.345455,2,3,7.545455,1,0.6364,1
1,0,0,1,5,0,46,1,0,0.666667,0,0,21.5,1,0.5,0
1,0,0,2,0,0.333333,21,0,0,0.75,0,0,4,1,0.5,0
1,0,9,6,10,0.6,297,0,0,0.35,0,0,48.166667,7,3.5,0
3,0,26,1,9,0.84375,81,0,0.85,0.325,1,1,7.555556,2,0.7778,0
1,0,1,2,5,0.5,28,1,0,0.555556,0,0,8,1,0.6667,1
5,0,0,1,2,0,21,0,0.95,0.666667,0,0,9,1,0.5,0
1,0,0,1,4,0,39,1,0,0.666667,0,0,18,1,0.5,0
1,0,1,1,2,0.5,88,0,0,0.5,0,0,28,5,1.6667,0
1,0,247,11,21,0.924242,118,3,0,0.178744,0,0,4,1,0.9565,0
3,0,0,1,5,0,29,0,0.909091,0.533333,0,0,8.333333,1,0.6667,0
1,0,41,0,9,0.666667,96,1,0,0.314286,0,0,8.4,2,1.1,0
3,0,0,1,14,0.5,129,1,0.88,0.4375,1,1,24.4,5,1.4,0
5,0,1,0,2,2,15,0,0.975,0.625,1,1,6.5,1,0.5,0
1,0,0,1,4,0.25,54,1,0,0.466667,0,0,16.333333,2,1,0
1,0,349,9,3,0.807692,292,0,0,0.08284,0,0,9.777778,1,0.9259,1
4,0,160,5,19,0.8625,287,4,0.641509,0.166667,1,2,12.285714,5,1.6667,0
1,0,0,2,2,0,43,1,0,0.6,0,0,7.4,1,0.8,0
2,0,3,0,1,2,12,0,0.956522,0.666667,1,2,3,1,0.3333,0
1,0,171,67,9,2,19,0,0,0.157895,0,0,0,1,1,1
3,0,3,1,8,0.666667,150,1,0.814815,0.305556,1,1,23.5,1,0.8333,0
1,0,25,1,7,0.722222,86,0,0,0.311111,0,0,7.2,3,1,0
3,1,112,10,27,0.770833,230,1,0.835294,0.229167,2,3,12.352941,5,1.1765,0
1,0,6,13,3,0.625,31,1,0,0.466667,0,0,4.8,1,0.8,0
4,0,7,1,3,0.666667,120,0,0.789474,0.425,1,2,10.6,1,0.8,1
2,0,3,0,13,1,70,2,0.75,0.666667,0,0,21.333333,3,2,0
2,0,26,1,18,0.738095,183,2,0.333333,0.230769,0,0,12.538462,5,1.3077,0
2,0,46,0,7,0.795455,83,2,0.153846,0.266667,0,0,5.583333,2,1,0
1,0,4,1,3,0.333333,39,0,0,0.5,0,0,8.5,1,0.5,0
1,0,1,5,0,2,2,0,0,1,0,0,0,1,1,0
3,0,13,1,3,0.583333,55,0,0.642857,0.314286,1,2,6.571429,3,1,1
4,0,0,1,20,0.333333,202,2,0.971429,0.666667,1,1,97,1,0.5,0
1,0,0,0,0,2,23,0,0,1,0,0,3,0,0,0
2,0,0,9,6,0,41,0,0.926829,0.44,1,1,7,1,0.6,0
1,0,22,1,8,0.8125,140,2,0,0.285714,0,0,13.888889,3,1.2222,0
1,3,0,3,0,0.333333,31,0,0,0.625,0,0,6.5,1,0.75,0
2,0,9,7,6,0.733333,48,1,0.904762,0.366667,0,0,6.5,1,0.6667,0
3,0,814,7,19,0.909091,555,1,0.402985,0.146694,1,2,11,7,1.1778,1
1,0,3,0,4,2,18,0,0,0.833333,0,0,5,1,0.6667,0
4,0,0,3,7,0.25,94,0,0.969325,0.277778,2,3,9.333333,1,0.5556,1
1,0,4,14,2,0.25,30,0,0,0.7,0,0,4.8,1,0.8,0
1,0,10,0,4,2,28,0,0,0.36,0,0,4.6,1,0.8,0
1,0,0,1,4,0,53,0,0,0.5,0,0,16.333333,1,0.6667,0
1,0,0,3,1,2,1,0,0,1,0,0,0,1,1,0
2,0,14,1,7,0.642857,105,1,0.666667,0.326531,0,0,11.875,1,0.375,1
3,0,2,2,18,0.5,172,1,0.846154,0.466667,1,1,33,1,0.8,0
1,0,0,1,6,0.5,72,0,0,0.6,0,0,22.333333,6,2,0
1,0,0,0,0,2,1,0,0,1,0,0,0,1,1,0
2,0,362,3,24,0.910053,323,1,0.479167,0.148148,1,2,10.285714,2,1,0
1,0,0,3,14,0.428571,378,0,0,0.342857,0,0,45.875,5,1.875,0
5,0,0,2,1,0,25,0,0.944444,0.666667,0,0,11,1,0.5,0
3,1,1,2,3,2,11,0,0.971429,0.666667,1,1,4.5,1,0.5,0
1,0,136,4,17,2,138,0,0,0.196078,0,0,7.117647,1,0.9412,0
1,0,3,1,4,2,20,0,0,0.833333,0,0,5.666667,1,0.6667,0
2,0,89,6,18,0.944444,123,0,0.621622,0.138095,1,1,6.6,1,0.9333,0
1,1,137,1,6,0.857143,183,1,0,0.157895,0,0,8.263158,2,1,1
3,0,0,1,4,0,24,1,0.916667,0.5,1,1,6.666667,1,0.6667,0
6,0,0,1,2,0.666667,45,1,0.85,0.4375,0,0,9.5,1,0.75,0
1,0,0,4,1,2,1,0,0,1,0,0,0,1,1,0
4,0,151,3,14,0.852814,603,1,0.62963,0.164502,1,1,25.909091,15,2.6818,1
1,0,0,6,0,2,1,0,0,1,0,0,0,1,1,0
3,0,1,1,1,0.5,15,0,0.818182,0.666667,0,0,3.666667,1,0.6667,0
1,0,6,1,0,0.75,24,0,0,0.7,0,0,3.4,1,0.8,0
1,0,81,2,20,0.867347,218,0,0,0.1875,0,0,13.066667,2,0.9333,0
5,0,0,1,1,0.5,52,0,0.85,0.5,0,0,11.5,2,1,0
1,2,11,2,2,0.777778,37,1,0,0.357143,0,0,3.857143,1,0.8571,0
1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2,0,0,1,4,0,42,0,0.875,0.6,0,0,19.5,3,1.5,0
1,0,1,2,1,2,6,0,0,0.75,0,0,2,1,0.5,0
2,1,27,5,1,0.798077,176,0,0.1875,0.535714,0,0,11,5,1.2857,0
1,0,0,5,1,2,1,0,0,1,0,0,0,1,1,0
2,0,1,1,10,0.638889,126,3,0.619048,0.277778,1,1,11.2,2,0.9,0
3,0,13,5,11,0.722222,95,2,0.814815,0.388889,1,1,12.142857,1,0.7143,0
