@relation 'camel-1.6_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
3,0,0,0.25,1,1,0.921053,0.36,1,2,7.4,1,0.6,0
1,0,4,0.666667,1,1,0,0.5,0,0,3,1,0.5,0
4,0,144,0.842105,1,0,0.727273,0.197368,4,5,20.3,3,1,0
2,0,3,2,0,0,0.75,0.666667,1,3,54,15,5.3333,1
1,0,22,0.571429,1,0,0,0.25,0,0,20.875,1,0.75,1
1,0,3,2,0,0,0,1,0,0,0,1,1,0
1,0,0,2,0,0,0,1,0,0,3,0,0,0
1,0,15,2,0,0,0,0.333333,0,0,6.666667,4,1.3333,1
1,0,0,2,0,0,0,0,0,0,0,0,0,0
1,0,6,2,0,0,0,0.375,0,0,4.5,1,0.75,0
1,0,45,2,0,0,0,0.15,0,0,4.2,1,0.9,1
3,0,25,0.222222,1,1,0.833333,0.3,2,3,15.4,3,0.9,0
2,0,201,0.918182,1,0,0.545455,0.176768,1,1,10.130435,1,0.8696,0
4,0,22,0.142857,1,0,0.87234,0.3125,0,0,16.5,1,0.75,0
3,0,6,0.4375,1,2,0.666667,0.416667,1,2,7.888889,3,0.8889,1
1,2,3,2,0,0,0,0.533333,0,0,31,3,1.6667,0
4,0,5,0.527778,1,2,0.758621,0.25,2,2,15.4,3,1.1,1
2,0,26,0.571429,1,0,0.588235,0.390625,1,1,50.75,8,3.625,0
1,0,6,2,0,0,0,0.45,0,0,12.25,5,2,0
1,0,1,2,0,0,0,0.666667,0,0,7.5,2,1,0
1,0,61,0.830769,1,5,0,0.297619,0,0,4.428571,1,0.9286,0
1,0,62,0.72,1,3,0,0.229167,0,0,10.1875,4,1.3125,0
4,17,6,1.333333,1,0,1,0.666667,0,0,4,0,0,0
1,0,1,0.6,1,1,0,0.5,0,0,7,2,1.1667,0
1,0,3,2,0,0,0,0.666667,0,0,41.333333,13,4.6667,0
2,0,25,0.766667,1,0,0.75,0.25,0,0,5.363636,1,0.7273,1
1,0,1,2,0,0,0,1,0,0,0,1,1,0
3,0,1,0.5,1,0,0.818182,0.666667,0,0,3.666667,1,0.6667,1
2,0,3,2,0,0,0.666667,0.555556,0,0,2.333333,1,0.6667,1
1,0,10,2,0,0,0,0.45,0,0,11,2,1.6,0
1,0,528,2,0,0,0,0.387205,0,0,0,1,1,1
1,0,3,2,0,0,0,0.777778,0,0,0,1,1,0
1,0,0,0.633333,1,2,0,0.416667,0,0,27.428571,1,0.7143,0
2,0,0,0.464286,1,2,0.7,0.371429,1,1,35.25,2,0.875,1
1,0,3,2,0,0,0,0.533333,0,0,5.333333,1,0.6667,0
3,0,7,0.35,1,1,0.7,0.25,0,0,36.636364,11,1.8182,0
4,0,1,2,0,0,0.956522,0.666667,1,1,11,1,0.5,1
1,0,0,2,0,0,0,1,0,0,0,1,1,0
1,0,0,0,1,0,0,0.583333,0,0,8.5,1,0.75,1
3,13,30,0.5,1,1,0.956522,0.22619,1,3,8.333333,2,0.8333,0
3,0,59,0.641026,1,1,0.93617,0.261538,1,3,13.642857,3,1.1429,0
4,8,0,0.833333,1,1,0.894737,0.625,0,0,8.25,1,0.5,1
4,0,3,2,0,0,0.95,0.666667,2,2,15.333333,1,0.6667,0
1,0,0,2,0,0,0,1,0,0,0,1,1,0
1,1,0,0,1,0,0.857143,0.75,1,1,20,2,1,0
0,0,9,0.4,1,0,0,0.457143,0,0,50.333333,4,1.6667,0
1,0,0,2,0,0,1,1,0,0,6,0,0,0
2,0,15,0.722222,1,3,0.846154,0.357143,1,20,5,1,0.8571,0
1,0,0,0.5,1,0,0,0.666667,0,0,18.666667,1,0.3333,0
1,1,45,0.714286,1,5,0,0.35,0,0,9.933333,3,1.2,0
1,0,0,2,0,0,0,1,0,0,0,1,1,0
3,0,4,0.75,1,1,0.875,0.3,0,0,5.6,1,0.6,0
