@relation 'camel-1.6_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,18-20'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute bug {1,0}

@data
0,1,0.36,1,2,0
0,1,0.5,0,0,0
0,0,0.197368,4,5,0
0,0,0.666667,1,3,1
0,0,0.25,0,0,1
0,0,1,0,0,0
0,0,1,0,0,0
0,0,0.333333,0,0,1
0,0,0,0,0,0
0,0,0.375,0,0,0
0,0,0.15,0,0,1
0,1,0.3,2,3,0
0,0,0.176768,1,1,0
0,0,0.3125,0,0,0
0,2,0.416667,1,2,1
2,0,0.533333,0,0,0
0,2,0.25,2,2,1
0,0,0.390625,1,1,0
0,0,0.45,0,0,0
0,0,0.666667,0,0,0
0,5,0.297619,0,0,0
0,3,0.229167,0,0,0
17,0,0.666667,0,0,0
0,1,0.5,0,0,0
0,0,0.666667,0,0,0
0,0,0.25,0,0,1
0,0,1,0,0,0
0,0,0.666667,0,0,1
0,0,0.555556,0,0,1
0,0,0.45,0,0,0
0,0,0.387205,0,0,1
0,0,0.777778,0,0,0
0,2,0.416667,0,0,0
0,2,0.371429,1,1,1
0,0,0.533333,0,0,0
0,1,0.25,0,0,0
0,0,0.666667,1,1,1
0,0,1,0,0,0
0,0,0.583333,0,0,1
13,1,0.22619,1,3,0
0,1,0.261538,1,3,0
8,1,0.625,0,0,1
0,0,0.666667,2,2,0
0,0,1,0,0,0
1,0,0.75,1,1,0
0,0,0.457143,0,0,0
0,0,1,0,0,0
0,3,0.357143,1,20,0
0,0,0.666667,0,0,0
1,5,0.35,0,0,0
0,0,1,0,0,0
0,1,0.3,0,0,0
0,0,0.625,0,0,0
0,1,0.4,1,3,0
0,0,0.333333,0,0,0
0,1,0.257143,1,16,0
6,1,0.113757,1,3,1
2,0,0.285714,0,0,0
0,3,0.4,0,0,0
0,0,0.625,2,2,0
0,0,0.1825,0,0,0
0,0,1,0,0,1
0,0,0.5,0,0,0
0,0,0.444444,0,0,0
0,0,0.666667,1,2,0
0,0,1,0,0,0
0,0,0.276316,0,0,0
0,0,0.5,0,0,0
0,1,0.666667,0,0,1
0,0,0.875,0,0,0
0,0,0.5,0,0,0
0,0,0.5625,0,0,0
0,0,0.75,0,0,0
1,0,0.666667,1,1,0
1,1,0.2,1,2,0
0,0,0.666667,1,1,0
0,0,1,0,0,0
0,1,0.354167,0,0,0
0,0,0.5,1,1,0
0,0,0.45,1,1,0
0,0,0.375,1,1,0
2,0,0.666667,0,0,0
0,0,1,0,0,0
0,1,0.666667,0,0,0
0,0,0.533333,1,1,1
1,0,0.4875,0,0,1
0,0,1,0,0,0
0,0,1,0,0,0
0,2,0.188034,1,3,0
0,0,0.666667,1,2,0
0,1,0.4,1,1,0
0,1,0.375,1,1,0
0,0,0,0,0,0
3,0,0.296296,0,0,0
4,0,0.44,0,0,1
0,0,0.172222,0,0,0
0,0,0.416667,0,0,0
0,0,0.5,0,0,0
0,0,0.75,0,0,0
2,3,0.285714,0,0,0
0,0,0.666667,1,3,0
0,0,0.333333,0,0,0
0,0,0.666667,0,0,0
0,0,0.311111,0,0,0
0,2,0.081822,0,0,0
0,0,0.590909,2,5,0
0,0,0.20625,0,0,0
0,3,0.253333,1,20,0
0,0,0.4,1,1,0
0,0,0.5,0,0,0
0,9,0.444444,1,1,0
0,9,0.37037,1,1,0
0,2,0.144828,0,0,0
1,0,0.5,0,0,0
1,3,0.240566,1,1,1
2,0,0.666667,1,1,0
0,0,0.36,1,2,0
7,2,0.444444,0,0,0
0,1,0.555556,0,0,1
0,0,0.833333,0,0,0
2,0,0.25974,0,0,0
0,0,0.75,1,1,1
0,1,0.4375,0,0,1
0,0,0.5,0,0,0
0,0,0.75,0,0,0
0,1,0.47619,1,1,1
0,0,1,0,0,0
0,0,0.225,0,0,0
0,0,1,0,0,0
0,2,0.4,0,0,0
27,1,0.34375,1,1,0
0,0,0.333333,0,0,1
0,0,0.75,0,0,0
1,2,0.266667,0,0,1
0,1,0.4375,0,0,0
0,1,0.169231,1,6,0
0,4,0.211111,0,0,0
0,1,0.155263,1,1,0
2,0,0.6,0,0,0
1,2,0.315789,0,0,1
0,1,0.195313,0,0,0
0,0,1,0,0,0
0,3,0.444444,1,1,0
0,0,0,0,0,0
2,0,0.5,0,0,0
0,1,0.357143,1,1,0
0,0,0.311111,1,2,0
0,0,0,0,0,0
0,1,0.217687,1,3,0
0,0,0.375,0,0,0
0,0,0.666667,1,1,0
0,4,0.314286,1,1,1
0,0,0.777778,1,2,0
1,1,0.258242,0,0,1
0,1,0.666667,0,0,1
0,0,0,0,0,0
0,0,0.5,0,0,1
4,1,0.230769,0,0,1
0,0,1,0,0,1
0,1,0.375,1,1,0
0,3,0.444444,1,20,0
0,1,0.18125,1,1,1
0,0,0.533333,0,0,1
0,0,0.25974,0,0,1
0,0,0.25,1,2,0
0,1,0.75,0,0,0
0,0,1,0,0,0
0,3,0.241071,0,0,0
0,1,0.222222,1,1,0
0,1,0.272727,2,3,0
0,1,0.458333,0,0,0
0,0,0.21875,1,1,0
1,0,0.666667,0,0,1
0,0,0.416667,1,4,0
1,1,1,0,0,0
0,2,0.583333,0,0,0
1,3,0.205357,1,2,0
0,0,0.375,0,0,0
0,3,0.571429,0,0,1
0,0,0.261538,0,0,0
0,0,0.366667,0,0,0
0,0,0.666667,0,0,0
0,0,0.666667,1,2,0
0,0,0.75,0,0,0
0,1,0.291667,2,4,0
1,0,0.75,0,0,0
0,1,0.257143,0,0,0
0,0,0.5,1,1,0
0,0,0.666667,1,2,0
2,1,0.366667,0,0,1
0,1,0.221429,1,3,0
0,0,1,0,0,0
