@relation camel-1.6_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R7

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
3,0,0,1,7,0.25,1,0.36,1,2,7.4,1,0.6,0
1,0,4,1,2,0.666667,1,0.5,0,0,3,1,0.5,0
4,0,144,2,26,0.842105,0,0.197368,4,5,20.3,3,1,0
2,0,3,2,6,2,0,0.666667,1,3,54,15,5.3333,1
1,0,22,22,3,0.571429,0,0.25,0,0,20.875,1,0.75,1
1,0,3,5,2,2,0,1,0,0,0,1,1,0
1,0,0,0,0,2,0,1,0,0,3,0,0,0
1,0,15,2,7,2,0,0.333333,0,0,6.666667,4,1.3333,1
1,0,0,0,0,2,0,0,0,0,0,0,0,0
1,0,6,0,7,2,0,0.375,0,0,4.5,1,0.75,0
1,0,45,1,10,2,0,0.15,0,0,4.2,1,0.9,1
3,0,25,3,10,0.222222,1,0.3,2,3,15.4,3,0.9,0
2,0,201,2,13,0.918182,0,0.176768,1,1,10.130435,1,0.8696,0
4,0,22,4,18,0.142857,0,0.3125,0,0,16.5,1,0.75,0
3,0,6,0,3,0.4375,2,0.416667,1,2,7.888889,3,0.8889,1
1,2,3,2,6,2,0,0.533333,0,0,31,3,1.6667,0
4,0,5,1,5,0.527778,2,0.25,2,2,15.4,3,1.1,1
2,0,26,0,7,0.571429,0,0.390625,1,1,50.75,8,3.625,0
1,0,6,11,6,2,0,0.45,0,0,12.25,5,2,0
1,0,1,3,2,2,0,0.666667,0,0,7.5,2,1,0
1,0,61,2,5,0.830769,5,0.297619,0,0,4.428571,1,0.9286,0
1,0,62,2,6,0.72,3,0.229167,0,0,10.1875,4,1.3125,0
4,17,6,66,0,1.333333,0,0.666667,0,0,4,0,0,0
1,0,1,2,2,0.6,1,0.5,0,0,7,2,1.1667,0
1,0,3,1,2,2,0,0.666667,0,0,41.333333,13,4.6667,0
2,0,25,3,11,0.766667,0,0.25,0,0,5.363636,1,0.7273,1
1,0,1,1,1,2,0,1,0,0,0,1,1,0
3,0,1,1,1,0.5,0,0.666667,0,0,3.666667,1,0.6667,1
2,0,3,2,4,2,0,0.555556,0,0,2.333333,1,0.6667,1
1,0,10,3,4,2,0,0.45,0,0,11,2,1.6,0
1,0,528,11,6,2,0,0.387205,0,0,0,1,1,1
1,0,3,2,4,2,0,0.777778,0,0,0,1,1,0
1,0,0,3,32,0.633333,2,0.416667,0,0,27.428571,1,0.7143,0
2,0,0,1,12,0.464286,2,0.371429,1,1,35.25,2,0.875,1
1,0,3,0,5,2,0,0.533333,0,0,5.333333,1,0.6667,0
3,0,7,1,14,0.35,1,0.25,0,0,36.636364,11,1.8182,0
4,0,1,2,3,2,0,0.666667,1,1,11,1,0.5,1
1,0,0,4,5,2,0,1,0,0,0,1,1,0
1,0,0,1,3,0,0,0.583333,0,0,8.5,1,0.75,1
3,13,30,15,8,0.5,1,0.22619,1,3,8.333333,2,0.8333,0
3,0,59,9,13,0.641026,1,0.261538,1,3,13.642857,3,1.1429,0
4,8,0,11,2,0.833333,1,0.625,0,0,8.25,1,0.5,1
4,0,3,0,8,2,0,0.666667,2,2,15.333333,1,0.6667,0
1,0,0,7,0,2,0,1,0,0,0,1,1,0
1,1,0,1,2,0,0,0.75,1,1,20,2,1,0
0,0,9,2,19,0.4,0,0.457143,0,0,50.333333,4,1.6667,0
1,0,0,1,1,2,0,1,0,0,6,0,0,0
2,0,15,2,8,0.722222,3,0.357143,1,20,5,1,0.8571,0
1,0,0,2,7,0.5,0,0.666667,0,0,18.666667,1,0.3333,0
1,1,45,4,11,0.714286,5,0.35,0,0,9.933333,3,1.2,0
1,0,0,0,0,2,0,1,0,0,0,1,1,0
3,0,4,2,9,0.75,1,0.3,0,0,5.6,1,0.6,0
1,0,6,1,6,2,0,0.625,0,0,8.75,1,0.75,0
3,0,8,0,10,0.25,1,0.4,1,3,11.2,1,0.8,0
1,0,3,2,4,2,0,0.333333,0,0,9.333333,1,0.6667,0
4,0,73,3,9,0.634615,1,0.257143,1,16,15.571429,6,1.5,0
2,6,105,12,14,0.666667,1,0.113757,1,3,8.703704,4,1.0741,1
2,2,15,2,5,0.333333,0,0.285714,0,0,5.142857,3,1,0
3,0,0,2,8,0.5,3,0.4,0,0,12.666667,2,1,0
3,0,0,0,1,0,0,0.625,2,2,4,1,0.75,0
1,0,1011,5,4,0.947649,0,0.1825,0,0,13.06,9,1.5,0
1,0,0,13,2,2,0,1,0,0,0,1,1,1
1,0,1,1,3,0,0,0.5,0,0,14.333333,2,1,0
4,0,15,1,5,1,0,0.444444,0,0,6,1,0.5,0
2,0,3,0,1,2,0,0.666667,1,2,3,1,0.3333,0
1,0,0,5,2,2,0,1,0,0,0,1,1,0
1,0,178,15,5,0.631579,0,0.276316,0,0,42.95,15,2.85,0
1,0,1,2,4,2,0,0.5,0,0,9.5,1,0.5,0
5,0,0,2,2,0,1,0.666667,0,0,11,1,0.5,1
1,0,1,37,1,2,0,0.875,0,0,0,1,1,0
1,0,0,1,3,0.166667,0,0.5,0,0,15.25,2,1,0
1,0,6,5,2,1.333333,0,0.5625,0,0,0,1,1,0
1,0,1,2,2,2,0,0.75,0,0,3,1,0.5,0
5,1,1,2,8,2,0,0.666667,1,1,12,1,0.5,0
2,1,142,1,14,0.828571,1,0.2,1,2,12.571429,3,1,0
3,0,1,0,7,2,0,0.666667,1,1,8.5,1,0.5,0
1,0,1,1,3,2,0,1,0,0,3.5,1,0.5,0
1,0,22,3,4,0.619048,1,0.354167,0,0,11.125,2,0.875,0
3,0,0,1,10,0,0,0.5,1,1,44,2,1,0
2,0,0,2,5,0,0,0.45,1,1,6.25,1,0.5,0
2,0,7,0,4,0.3,0,0.375,1,1,10.5,2,1,0
1,2,21,2,5,2,0,0.666667,0,0,18,5,1.8571,0
1,0,0,0,0,2,0,1,0,0,0,1,1,0
1,0,1,1,9,0.5,1,0.666667,0,0,45.333333,6,2,0
3,0,0,1,4,0,0,0.533333,1,1,5.6,1,0.6,1
1,1,112,7,4,0.6,0,0.4875,0,0,16.0625,1,0.875,1
1,0,0,0,0,2,0,1,0,0,3,0,0,0
1,0,0,15,1,2,0,1,0,0,0,1,1,0
3,0,235,4,11,0.712,2,0.188034,1,3,10.461538,4,1.1923,0
2,0,3,0,1,2,0,0.666667,1,2,3,1,0.3333,0
3,0,7,2,16,0.733333,1,0.4,1,1,16.5,3,1,0
4,0,13,1,6,0.555556,1,0.375,1,1,7,2,0.8,0
1,0,0,0,0,2,0,0,0,0,0,0,0,0
5,3,0,3,9,0.6875,0,0.296296,0,0,20.777778,4,1.1111,0
3,4,10,4,7,2,0,0.44,0,0,5.6,1,0.2,1
1,0,97,0,3,0.77451,0,0.172222,0,0,7.833333,1,0.8333,0
3,0,15,1,7,2,0,0.416667,0,0,22,2,1,0
2,0,9,1,1,0.2,0,0.5,0,0,5.666667,2,0.8333,0
0,0,1,1,4,2,0,0.75,0,0,28,1,0.5,0
1,2,9,4,7,0.666667,3,0.285714,0,0,7.3,3,1.2,0
3,0,3,0,12,2,0,0.666667,1,3,21.333333,1,0.6667,0
1,0,0,1,3,0.6,0,0.333333,0,0,6.166667,1,0.8333,0
3,0,1,1,1,0.5,0,0.666667,0,0,3.666667,1,0.6667,0
1,0,36,4,3,2,0,0.311111,0,0,0,1,1,0
1,0,6646,14,28,0.973346,2,0.081822,0,0,9.883333,33,1.5417,0
3,0,35,1,4,0.2,0,0.590909,2,5,4.545455,1,0.8182,0
2,0,144,2,8,0.879699,0,0.20625,0,0,6.05,2,0.95,0
2,0,99,3,7,0.761905,3,0.253333,1,20,4.733333,1,0.9333,0
3,0,8,1,6,0.75,0,0.4,1,1,6,1,0.8,0
1,0,4,1,5,0.333333,0,0.5,0,0,4.25,1,0.75,0
2,0,4,2,1,0.962963,9,0.444444,1,1,24.5,1,0.5,0
2,0,41,72,2,0.977778,9,0.37037,1,1,23.9,4,1.8,0
1,0,314,3,17,0.920635,2,0.144828,0,0,5.62069,2,0.9655,0
0,1,4,5,2,0.666667,0,0.5,0,0,4.75,1,0.5,0
2,1,1296,9,19,0.684615,3,0.240566,1,1,10.490566,9,1.2642,1
2,2,0,2,4,0,0,0.666667,1,1,5.166667,1,0.8333,0
3,0,8,1,4,0.5,0,0.36,1,2,6,1,0.6,0
1,7,24,7,4,0.375,2,0.444444,0,0,12.666667,2,1,0
5,0,0,1,3,0.5,1,0.555556,0,0,9.666667,1,0.6667,1
1,0,3,4,2,2,0,0.833333,0,0,6.666667,2,1,0
1,2,49,4,8,0.6,0,0.25974,0,0,9.636364,2,1,0
3,0,1,0,4,2,0,0.75,1,1,3.5,1,0.5,1
3,0,0,1,8,0.875,1,0.4375,0,0,19.4,1,0.6,1
1,0,3,1,1,2,0,0.5,0,0,20,1,0.6667,0
1,0,1,8,1,2,0,0.75,0,0,0,1,1,0
