@relation 'ivy-1.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-7,9,11'

@attribute dit numeric
@attribute noc numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,3,2,0,0,0,1,0,0,3,0,0,0
4,0,0,2,0,0,0.910448,0.571429,2,2,8.571429,2,1,0
1,0,0,0.666667,0,0,0,0.444444,0,0,24.428571,1,0.7143,1
6,0,0,0.730769,0.666667,0,0.826667,0.145062,4,6,16.666667,8,1.8519,0
3,0,4,2,0,0,1,1,0,0,7,0,0,0
1,0,4,0.75,1,1,0,0.5,0,0,4.6,2,0.8,0
2,0,0,0.781513,1,1,0.272727,0.313725,1,3,30.166667,11,2.0556,0
1,0,4,0.75,1,1,0,0.5,0,0,4.6,2,0.8,0
3,0,4,1,0.5,1,0.933333,0.625,0,0,9,1,0.5,0
1,0,3,0.30303,1,1,0,0.316667,0,0,17,2,1,0
1,0,3,0.65,1,0,0,0.346154,0,0,21.461538,4,1.8462,0
1,0,0,2,0,0,0,1,0,0,0,1,1,0
2,0,0,0.719298,1,0,0.672414,0.166667,1,3,33.1,5,1.75,0
1,3,1,0,1,0,0,0.666667,0,0,4,1,0.6667,0
2,0,0,2,0,0,0.777778,0.833333,1,1,8,1,0.6667,0
1,0,12,0.828283,1,2,0,0.147826,0,0,25.130435,4,1.8261,0
1,5,7,0.614035,1,1,0,0.177273,0,0,11.6,3,1.2,1
4,0,3,0.833333,1,0,0.835616,0.487179,0,0,13.307692,3,1.0769,0
2,0,0,0.714286,1,1,0.142857,0.238095,1,1,11.25,1,0.75,1
3,0,2,0,1,0,1,1,0,0,6,0,0,0
1,0,1,2,0,0,0,1,0,0,0,1,1,0
1,0,0,0,1,0,0,0.416667,0,0,69.333333,4,1.6667,0
1,0,14,2,0,0,0,0.181818,0,0,14.888889,3,1.6667,0
2,0,0,2,0,0,0.636364,0.666667,2,2,7.6,2,1.2,0
2,0,0,0,1,0,0.538462,0.464286,1,1,16.714286,3,1.8571,1
4,5,0,0.588235,1,1,0.861789,0.205882,3,7,36.055556,10,2.1111,1
4,0,10,0.909926,1,0,0.642105,0.371429,3,4,14.657143,3,1.0286,1
4,0,2,0,1,1,0.944444,0.75,0,0,5.5,1,0.5,0
1,0,1,2,0,0,0,0.666667,0,0,0,1,1,0
2,3,4,0.5,1,1,0.857143,0.583333,0,0,8,1,0.6667,0
1,0,23,2,0,0,0,0.3,0,0,94.7,25,3.7,0
1,0,1,2,0,0,0,1,0,0,0,1,1,0
2,0,6,0.518519,1,1,0.703704,0.55,1,2,17.6,2,0.9,0
2,0,4,0.967419,0.428571,2,0.413793,0.233333,0,0,8.6,4,1.05,0
