@relation ivy-1.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R11

@attribute noc numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
0,1,3,2,0,0,1,0,3,0,0
0,1,0,2,0,0.910448,0.571429,2,8.571429,2,0
0,3,0,0.666667,0,0,0.444444,0,24.428571,1,1
0,1,0,0.730769,0,0.826667,0.145062,6,16.666667,8,0
0,1,4,2,0,1,1,0,7,0,0
0,4,4,0.75,1,0,0.5,0,4.6,2,0
0,2,0,0.781513,1,0.272727,0.313725,3,30.166667,11,0
0,1,4,0.75,1,0,0.5,0,4.6,2,0
0,1,4,1,1,0.933333,0.625,0,9,1,0
0,1,3,0.30303,1,0,0.316667,0,17,2,0
0,7,3,0.65,0,0,0.346154,0,21.461538,4,0
0,2,0,2,0,0,1,0,0,1,0
0,1,0,0.719298,0,0.672414,0.166667,3,33.1,5,0
3,3,1,0,0,0,0.666667,0,4,1,0
0,1,0,2,0,0.777778,0.833333,1,8,1,0
0,7,12,0.828283,2,0,0.147826,0,25.130435,4,0
5,7,7,0.614035,1,0,0.177273,0,11.6,3,1
0,0,3,0.833333,0,0.835616,0.487179,0,13.307692,3,0
0,3,0,0.714286,1,0.142857,0.238095,1,11.25,1,1
0,1,2,0,0,1,1,0,6,0,0
0,5,1,2,0,0,1,0,0,1,0
0,1,0,0,0,0,0.416667,0,69.333333,4,0
0,4,14,2,0,0,0.181818,0,14.888889,3,0
0,1,0,2,0,0.636364,0.666667,2,7.6,2,0
0,1,0,0,0,0.538462,0.464286,1,16.714286,3,1
5,5,0,0.588235,1,0.861789,0.205882,7,36.055556,10,1
0,2,10,0.909926,0,0.642105,0.371429,4,14.657143,3,1
0,2,2,0,1,0.944444,0.75,0,5.5,1,0
0,4,1,2,0,0,0.666667,0,0,1,0
3,3,4,0.5,1,0.857143,0.583333,0,8,1,0
0,5,23,2,0,0,0.3,0,94.7,25,0
0,6,1,2,0,0,1,0,0,1,0
0,2,6,0.518519,1,0.703704,0.55,2,17.6,2,0
0,4,4,0.967419,2,0.413793,0.233333,0,8.6,4,0
0,2,5,0.466667,0,0,0.55,0,13.333333,4,0
0,1,0,0.4,0,0,0.666667,0,5.5,2,0
0,10,0,0.75,3,0,0.75,0,8.333333,1,0
0,0,0,2,0,0.91791,0.472222,1,4.583333,1,0
0,15,0,1.012346,0,0,0.226337,0,31.642857,22,0
0,1,0,0.5,0,0,0.666667,0,3.333333,1,0
0,6,0,0.5,0,0,0.291667,0,171.285714,4,0
2,2,6,0.777778,1,0,0.65,0,5.3,2,0
0,10,1,0.5,1,0,0.555556,0,5,1,0
0,1,5,0.666667,1,0.5,0.5,0,5.5,1,0
0,1,3,2,0,1,1,0,7,0,0
1,14,9,0.877551,1,0,0.166667,0,20,8,0
0,1,2,0.5,1,0,0.433333,0,7.2,2,0
0,0,0,0.166667,0,0.636364,0.533333,1,27.2,5,0
0,3,16,2,0,0.74,0.276786,3,30.428571,1,0
0,0,7,0.8,0,0.847222,0.708333,0,8.666667,1,0
2,2,11,2,0,0.977011,1,0,49.666667,1,0
0,22,0,2,0,0,1,0,0,1,0
0,1,7,0.833333,2,0.875,0.444444,0,24,1,0
0,4,0,0.5,0,0,0.666667,0,5,1,0
6,6,0,0.75,1,0,0.333333,0,3.777778,1,0
2,2,0,2,0,0,0.761905,0,5.142857,1,0
0,5,0,2,0,0,0.71875,0,23.75,2,0
0,10,1,2,0,0,0.75,0,0,1,0
0,4,0,0.333333,1,0,0.5,0,7,1,0
