@relation 'ivy-2.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-12,14,16,19'

@attribute noc numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0,0.226337,0,31.642857,2.6786,1
2,0,0.444444,0,4.666667,0.6667,0
0,1,0.5,0,4,0.5,0
0,0,0.666667,0,0,1,0
0,0,1,0,0,1,0
0,1,0.280303,1,26.869565,1.8696,1
0,2,0.314286,0,23.6,1.6,0
0,0,0.38,0,25.32,1.92,1
0,0,0.571429,0,10.428571,0.8571,0
0,2,0.184524,0,5.238095,0.9524,0
0,0,0.666667,1,4.5,0.5,0
0,0,0.3125,0,15.25,2.625,0
0,0,0.3,3,14.34375,0.9688,0
2,0,0.5625,0,14.846154,0.8462,0
0,1,0.263158,0,16.052632,1.5789,1
0,0,0.5,0,71,5,0
0,0,1,0,0,1,0
0,1,0.32,0,9.08,1.16,0
0,1,0.416667,0,14.625,0.875,0
1,1,0.466667,0,6.8,0.8,0
2,0,0.777778,0,10.333333,0.6667,0
0,1,0.5,1,5.5,0.5,0
1,1,0.466667,0,5,0.8,0
0,1,1,0,2.5,0.5,0
0,0,1,0,0,1,0
0,1,0.233333,1,12.3,1.9,0
0,0,0.472222,1,4.583333,0.9167,0
0,0,0.4,0,13.8,1,0
0,1,0.205451,0,27.796296,1.2037,0
0,0,0.333333,0,10.2,0.8,0
0,0,0.12012,18,29.108108,2.5676,1
3,1,0.65,0,5.3,1,0
0,0,0.4,0,26.375,2,0
2,1,0.625,0,8,0.5,0
0,1,0.235714,0,8,0.9,0
2,0,0.666667,0,4,0.6667,0
0,2,0.444444,0,39.666667,0.6667,0
0,2,0.3125,0,118,1.5,1
0,1,0.46875,1,40.625,1,0
0,0,0.333333,0,14,1,0
2,0,1,0,52,0.6667,0
0,0,0.7,2,16.2,0.8,0
0,0,0.296296,0,51.888889,3.1111,0
0,0,0.204545,0,114.6875,5.9375,0
0,0,0.416667,0,24,2,0
1,0,0.233766,4,25.086957,1.5652,0
0,1,0.333333,0,39.857143,1.5714,0
0,0,0.65,1,19.3,1,0
0,0,0.5,0,17.666667,1,0
0,0,1,0,0,1,0
0,0,0.242424,0,18,1.0909,0
0,1,0.666667,0,4.5,0.75,0
0,0,0.727273,0,7.272727,0.9091,0
0,0,0.194118,0,34.333333,1.5556,0
2,0,0.345455,2,6.636364,1,0
0,1,0.583333,2,9,0.75,0
0,1,0.25,1,12.75,1.1667,0
0,0,0.5,0,8.6,0,0
0,1,0.314286,4,22.114286,1,1
0,1,0.318182,0,4.909091,0.9091,0
0,8,0.067568,0,18.175676,1.4189,1
0,1,0.328125,1,18.555556,0.7778,1
7,1,0.201923,1,12,1.2308,0
1,0,0.4,0,8.4,1.2,0
0,1,0.333333,0,18,1.75,0
0,0,1,0,0,1,0
0,0,0.857143,1,8.714286,1.1429,0
0,1,0.5,1,17.866667,0.9333,0
0,5,0.150997,0,13.37037,1.2593,0
0,0,0.132258,0,0,1,0
0,1,0.25,1,12.888889,1,0
0,0,0.32973,3,16.405405,1.027,0
0,0,0.5,0,48,3.5,0
0,0,0.306667,2,26,1.2,1
0,3,0.571429,0,203.5,0.5,0
5,0,0.541667,0,16.375,1.125,0
2,2,0.333333,0,10.2,0.8,0
0,0,0.285714,0,146.714286,4.8571,0
1,0,0.285714,0,5.5,1,0
2,0,0.5,0,7.95,1.05,0
0,1,0.5,0,28.6,1.8,0
0,2,0.282051,1,14.538462,1.2308,0
0,0,0.345238,0,76.333333,0.9167,0
0,0,0.666667,1,47.5,1.5,0
0,0,0.525,0,30.2,1.8,0
0,0,0.541667,0,0,1,0
0,1,0.666667,0,3,0.5,0
0,1,0.290909,0,5.272727,0.9091,0
0,0,0.316667,0,0,1,0
0,0,1,0,0,1,0
0,0,0.37037,0,0,1,0
0,2,0.6,0,161,6.5,0
0,2,0.6,1,59.4,0.8,1
2,0,0.666667,0,4,0,0
0,0,0.25,0,21.4,1.6,0
0,0,0.357143,0,36.5,1.25,1
0,0,0.625,0,7.375,1.25,0
0,0,0.4,0,18.2,0.6,0
0,2,0.466667,0,3.4,0.8,0
0,0,0.5,0,5.666667,0.6667,0
0,1,0.5,0,4.5,0.75,0
0,0,0.666667,1,11,1,0
0,0,1,1,4.666667,0.6667,0
0,0,0.458333,0,0,1,0
0,0,0.555556,0,4.333333,0.6667,0
0,0,0.444444,0,50,2,0
0,2,0.5,0,11.333333,0.6667,0
0,0,1,0,7,0,0
0,0,0.221884,4,17.638298,1.0426,0
0,2,0.162879,3,14.863636,1.4091,0
0,1,0.233333,0,47.1,1.1,1
0,1,0.75,0,5,0.5,0
4,0,0.8,0,5.6,1.2,0
3,0,1,1,5,0.5,0
0,0,0.340909,0,5,0.8182,0
0,1,0.190862,0,14.152542,1.0339,0
0,0,0.37,3,10.72,0.96,0
0,0,0.5,2,26.166667,1.8333,0
0,0,0.2,0,19.2,1,0
0,3,0.583333,0,64,3.3333,0
1,3,0.113946,5,43.491228,2.0351,1
0,0,0.6,0,5.4,0.8,1
0,0,0.346154,0,21.538462,1.8462,0
0,0,1,0,6,0,0
0,0,0.143236,4,24.137931,1.7586,1
0,0,1,0,0,1,0
0,0,0.625,2,13.8,1,0
6,1,0.3,0,3.9,0.8,0
2,0,0.32,0,16.333333,1.381,0
0,0,0.666667,0,5,0.6667,0
0,1,0.239583,0,44.84,2.96,0
0,0,0.625,0,8,0.5,0
0,2,0.23913,0,10.347826,1.4348,0
5,1,0.17316,0,12.190476,1.381,0
5,1,0.184659,12,31.045455,1.7727,0
0,0,0.227513,3,36.571429,1.0952,0
0,0,0.333333,1,24.222222,2.1111,0
0,1,0.393939,1,26.583333,2.0833,0
0,0,1,0,0,1,0
4,1,0.225564,1,20.710526,1.8158,1
0,0,1,0,0,1,0
0,1,0.666667,0,8.5,0.5,0
0,3,0.26,0,5.454545,0.8182,0
0,1,0.75,1,4.666667,0.3333,0
0,0,0.75,0,0,1,0
0,1,0.246667,0,3.96,0.96,0
0,0,0.555556,0,0,1,0
0,0,0.371429,0,16.5,1.375,0
0,0,0.409091,0,0,1,1
0,0,1,0,4,0,0
0,0,0.666667,0,3.333333,0.6667,0
0,0,0.7,0,3.9,0.9,0
0,4,0.277778,1,6.833333,0.9167,0
0,2,0.481481,0,5.222222,1.1111,0
0,0,0.75,0,0,1,0
0,0,0.393939,0,8.272727,1.1818,1
0,1,0.196581,1,17.230769,1.6154,0
0,1,0.123077,0,16.8,1.4667,0
0,0,0.75,1,3,0.5,0
0,2,0.22449,0,14.714286,1.7143,0
0,1,0.227273,0,52.076923,1.6154,0
0,0,0.5,0,12.833333,1.4167,0
0,0,1,0,0,1,0
0,0,0.127717,0,0,1,0
0,1,0.293333,0,5.466667,0.9333,0
2,0,0.444444,1,15.222222,1.8889,0
0,1,0.253968,9,9.47619,0.7619,0
0,0,0.444444,1,21.333333,3,0
0,12,0.062279,0,15.898089,1.5159,0
0,0,0.307692,1,18.285714,1.7143,0
0,1,0.25,0,13.2,0.6,0
0,0,1,0,0,1,0
0,1,0.555556,0,6,1,0
0,0,0.296,0,0,1,0
0,1,0.416667,0,5.5,0.875,0
0,3,0.466667,0,7,0.6667,0
0,1,0.363636,0,5.636364,1,0
17,0,0.25,0,19.78125,1.7188,0
0,0,0.382353,0,8.470588,0.8824,0
2,0,0.5,0,16.666667,1,0
0,0,0.571429,0,0,1,0
1,1,0.377778,0,20.666667,1.6667,0
0,0,0.129121,9,16.214286,1.8214,0
0,0,1,0,0,1,0
0,0,0.666667,8,5.5,1,0
0,0,0.666667,0,0,1,0
0,1,0.5,0,107.5,0.75,0
0,3,0.666667,0,15,1.25,0
0,0,0.267857,0,0,1,1
0,0,0.342857,0,65,3,0
0,0,0.207792,6,43.357143,1.5714,0
0,1,0.4,0,9.166667,1,0
0,0,0.4,0,18.3,1.6,0
0,0,1,0,6,0,0
0,2,0.5,0,7.25,1.25,0
0,1,0.144737,0,4.85,0.95,0
0,0,0.421053,0,0,1,0
0,0,0.625,0,0,1,0
0,0,0.375,3,66.875,1.625,1
0,0,0.174825,7,31.307692,1.2308,0
0,1,0.75,1,4.666667,0.3333,0
0,0,0.666667,1,4,0.5,0
0,1,0.833333,0,13,0.75,0
0,0,0.361111,0,5.111111,0.8889,0
0,0,1,0,0,1,0
0,0,0.7,0,0,1,0
1,0,0.555556,1,5,0.3333,0
0,0,0.666667,0,0,1,0
0,0,0.220238,0,23.571429,2.7143,1
0,0,0.404762,0,13.214286,1.1429,0
0,1,0.533333,0,16.4,1.2,0
0,0,1,0,0,1,1
0,0,1,0,8,0,0
1,0,0.416667,0,16.222222,1.4444,0
0,0,1,0,0,1,0
0,1,0.243056,0,35.75,2.6667,1
0,0,0.375,0,59.25,4.5,0
0,0,0.75,0,0,1,0
0,1,0.344538,0,8.588235,1.0588,0
0,0,1,0,0,1,0
0,0,0.71875,0,9.5,0.9375,1
0,1,0.385965,0,32.157895,2.3684,0
0,1,0.458333,0,7.833333,1,0
0,0,0.666667,1,22.5,0.8333,0
0,1,0.5,1,5.5,0.5,0
0,0,0.6,0,11.5,0.5,0
