@relation ivy-2.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R7

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,374,26,7,1.012346,0,0,0.226337,0,0,31.642857,23,2.6786,1
1,2,3,2,1,0.6,0,0,0.444444,0,0,4.666667,1,0.6667,0
2,0,4,1,4,0.666667,1,0.5,0.5,0,0,4,1,0.5,0
1,0,6,9,0,2,0,0,0.666667,0,0,0,1,1,0
1,0,0,6,2,2,0,0,1,0,0,0,1,1,0
2,0,235,147,5,0.852273,1,0.28,0.280303,1,1,26.869565,9,1.8696,1
1,0,0,1,7,0.625,2,0,0.314286,0,0,23.6,4,1.6,0
4,0,200,1,0,0.854167,0,0.736264,0.38,0,0,25.32,13,1.92,1
1,0,0,1,1,0.694444,0,0,0.571429,0,0,10.428571,1,0.8571,0
1,0,154,5,2,0.905,2,0,0.184524,0,0,5.238095,1,0.9524,0
2,0,1,1,1,2,0,0.666667,0.666667,1,1,4.5,1,0.5,0
1,0,28,5,5,2,0,0,0.3125,0,0,15.25,5,2.625,0
4,0,406,2,0,0.925558,0,0.683673,0.3,1,3,14.34375,1,0.9688,0
1,2,70,2,2,0.833333,0,0,0.5625,0,0,14.846154,1,0.8462,0
1,0,99,2,7,0.788889,1,0,0.263158,0,0,16.052632,5,1.5789,1
1,0,1,3,3,2,0,0,0.5,0,0,71,10,5,0
1,0,0,2,2,2,0,0,1,0,0,0,1,1,0
1,0,234,6,4,0.591667,1,0,0.32,0,0,9.08,2,1.16,0
1,0,0,7,5,0,1,0,0.416667,0,0,14.625,1,0.875,0
1,1,0,24,2,0.375,1,0,0.466667,0,0,6.8,1,0.8,0
1,2,3,7,0,2,0,0,0.777778,0,0,10.333333,1,0.6667,0
3,0,4,1,5,0.666667,1,0.714286,0.5,1,1,5.5,1,0.5,0
1,1,0,5,1,0.5,1,0,0.466667,0,0,5,1,0.8,0
1,0,1,4,1,1,1,0,1,0,0,2.5,1,0.5,0
1,0,0,3,1,2,0,0,1,0,0,0,1,1,0
