@relation 'jedit-3.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,61,0.769231,1,1,0,0.294872,0,0,29.142857,8,2.4286,0
2,0,0,0.541667,1,1,0.538462,0.333333,1,3,41.285714,16,4.7143,0
1,0,9,0.6,1,3,0,0.333333,0,0,16.333333,5,1.5,0
2,0,3,0.666667,1,0,0.782609,0.444444,0,0,13.833333,1,0.8333,0
2,0,0,0.125,1,0,0.7,0.35,1,3,39.8,11,4,0
2,0,2,0.555556,0.333333,0,0.857143,0.5,1,1,41.75,1,0.75,0
2,0,0,0.285714,1,0,0.695652,0.40625,1,2,18.5,2,1.375,0
1,0,0,0.222222,1,0,0,0.666667,0,0,13.75,3,1.75,0
1,0,10,2,0,0,0,1,0,0,0,1,1,0
2,0,6,2,0,0,0.785714,0.571429,1,2,22.25,5,1.75,0
1,2,39,0.777778,1,1,0,0.25,0,0,2.2,1,0.9,1
2,0,10,1.071429,0,0,0.818182,0.72,0,0,34,1,0.8,0
5,0,1183,0.930334,0.846154,5,0.926241,0.122896,3,12,24.907407,11,2.1296,1
6,0,6,0.75,1,1,0.993994,1,2,4,50,3,1.4,1
2,0,25,0.833333,1,0,0.615385,0.386364,1,2,16.727273,4,1.8182,0
1,0,925,0.776471,0.117647,5,0,0.144,0,0,27.254902,33,1.6667,0
6,0,117,0.771242,1,0,0.975794,0.1875,3,6,40.833333,7,1.5556,1
2,0,9,0.722222,1,1,0.454545,0.357143,1,1,7.714286,1,0.8571,0
6,0,1,0.5,1,0,0.996988,1,2,4,105.333333,3,1.3333,1
4,0,11469,0.883278,0.906977,10,0.755556,0.084392,3,9,34.872038,25,3.0521,1
1,0,725,0.955263,0.4,1,0,0.135965,0,0,37,16,2.6923,1
1,0,0,2,0,0,0,1,0,0,0,1,1,0
1,0,2,1.083333,0.875,0,0,0.333333,0,0,41.75,20,8.75,1
7,0,52,0.709091,1,2,0.983434,0.277778,0,0,21.833333,3,1.3333,1
5,0,57,0.595238,1,6,0.973174,0.210526,1,1,42.210526,21,3.2105,1
1,3,7,0.6,1,1,0,0.583333,0,0,6.833333,1,0.8333,0
6,0,5,0.733333,1,1,0.991018,0.5,4,12,41.142857,5,1.7143,1
7,0,65,0.846154,1,1,0.98048,0.285714,0,0,20.857143,3,1.0714,1
7,0,315,0.83014,0.888889,5,0.958884,0.233333,2,2,51.533333,11,2.0333,1
2,0,0,0,0,1,0.875,0.571429,1,1,32.5,7,3.5,0
1,0,0,1.015957,0.106383,16,0,0.40625,0,0,33.888889,2,1,0
2,0,4,0.625,1,0,0.636364,0.6,0,0,17.2,4,1.4,0
1,0,0,2,0,0,0,1,0,0,9,0,0,0
6,0,0,0.8,1,1,0.993893,0.32,0,0,40,2,1,0
7,0,2,0.5,1,1,0.993912,0.466667,0,0,70.8,3,1.6,0
