@relation 'jedit-3.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-9,11,16-17'

@attribute dit numeric
@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,0.769231,1,1,0,0.294872,29.142857,8,2.4286,0
2,0,0.541667,1,1,0.538462,0.333333,41.285714,16,4.7143,0
1,0,0.6,1,3,0,0.333333,16.333333,5,1.5,0
2,0,0.666667,1,0,0.782609,0.444444,13.833333,1,0.8333,0
2,0,0.125,1,0,0.7,0.35,39.8,11,4,0
2,0,0.555556,0.333333,0,0.857143,0.5,41.75,1,0.75,0
2,0,0.285714,1,0,0.695652,0.40625,18.5,2,1.375,0
1,0,0.222222,1,0,0,0.666667,13.75,3,1.75,0
1,0,2,0,0,0,1,0,1,1,0
2,0,2,0,0,0.785714,0.571429,22.25,5,1.75,0
1,2,0.777778,1,1,0,0.25,2.2,1,0.9,1
2,0,1.071429,0,0,0.818182,0.72,34,1,0.8,0
5,0,0.930334,0.846154,5,0.926241,0.122896,24.907407,11,2.1296,1
6,0,0.75,1,1,0.993994,1,50,3,1.4,1
2,0,0.833333,1,0,0.615385,0.386364,16.727273,4,1.8182,0
1,0,0.776471,0.117647,5,0,0.144,27.254902,33,1.6667,0
6,0,0.771242,1,0,0.975794,0.1875,40.833333,7,1.5556,1
2,0,0.722222,1,1,0.454545,0.357143,7.714286,1,0.8571,0
6,0,0.5,1,0,0.996988,1,105.333333,3,1.3333,1
4,0,0.883278,0.906977,10,0.755556,0.084392,34.872038,25,3.0521,1
1,0,0.955263,0.4,1,0,0.135965,37,16,2.6923,1
1,0,2,0,0,0,1,0,1,1,0
1,0,1.083333,0.875,0,0,0.333333,41.75,20,8.75,1
7,0,0.709091,1,2,0.983434,0.277778,21.833333,3,1.3333,1
5,0,0.595238,1,6,0.973174,0.210526,42.210526,21,3.2105,1
1,3,0.6,1,1,0,0.583333,6.833333,1,0.8333,0
6,0,0.733333,1,1,0.991018,0.5,41.142857,5,1.7143,1
7,0,0.846154,1,1,0.98048,0.285714,20.857143,3,1.0714,1
7,0,0.83014,0.888889,5,0.958884,0.233333,51.533333,11,2.0333,1
2,0,0,0,1,0.875,0.571429,32.5,7,3.5,0
