@relation 'jedit-4.0_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.366rfc+0.332npm+0.324wmc+0.317ce+0.301cbo... numeric
@attribute '0.504ic+0.477dit+0.46 mfa+0.45 cbm+0.17 dam...' numeric
@attribute -0.474lcom3+0.449dam+0.413avg_cc-0.31cam+0.269max_cc... numeric
@attribute 0.368noc-0.362amc-0.349avg_cc-0.34lcom3+0.333dam... numeric
@attribute 0.399ca+0.362cbo-0.332wmc+0.312amc-0.305loc... numeric
@attribute 0.566noc+0.405amc+0.316loc-0.3cbm+0.272dit... numeric
@attribute -0.666noc-0.335avg_cc-0.308cbm+0.305amc+0.212ce... numeric
@attribute 0.571amc-0.356cam+0.311cbm-0.278mfa-0.265dit... numeric
@attribute '-0.637lcom-0.314cam-0.297npm+0.29 ce+0.234loc...' numeric
@attribute -0.738moa+0.296ca+0.264cam+0.239cbo+0.227loc... numeric
@attribute '-0.664cam-0.551moa+0.22 mfa-0.217amc+0.156lcom3...' numeric
@attribute -0.563lcom3-0.444dam+0.443mfa-0.412dit+0.167ce... numeric
@attribute bug {1,0}

@data
-0.573462,2.309619,-1.460547,-0.94467,1.043606,-0.086148,-0.393807,-0.117713,0.431041,-0.678318,1.306365,-1.025982,0
-0.152625,1.996102,0.539726,0.579747,-0.37877,0.836624,0.720122,-0.398342,-0.430083,-0.254221,-0.494122,-0.047611,1
2.106859,1.395128,0.49606,0.191972,0.916831,1.383142,1.816038,-1.166711,0.346371,-0.941142,1.095572,-0.282986,1
-1.64703,-0.698352,-0.958828,-1.494645,0.631685,0.129125,-0.155419,-0.095179,-0.283035,-0.402595,0.411124,0.11023,0
-0.659015,2.621893,0.580971,0.035126,0.025769,0.523059,0.253722,0.162461,-0.505612,0.560839,-0.135336,-0.27708,1
-2.009676,-0.228806,-1.729013,-0.857356,-0.045963,-0.416756,-0.522596,-0.159231,0.081427,-0.172745,-0.013908,0.022383,0
-0.030499,2.405633,0.128344,-3.456581,2.984069,0.104387,-1.090365,-0.615134,-0.91148,-0.113719,-0.132332,-0.70138,0
-1.30191,0.735544,-1.668024,-0.89634,0.297482,0.200324,-0.13548,-0.254416,-0.056245,-0.508255,0.963481,-0.386659,1
-0.520463,-2.378197,-1.748182,0.590814,1.095014,-1.118461,0.038451,0.135252,0.429886,0.787898,0.145208,-0.904307,0
-0.480282,4.536961,-0.600488,0.590821,-0.489952,-1.152421,-1.151981,0.818815,0.779958,0.433517,-0.712315,-0.182162,0
-0.180671,-1.182053,1.843256,-0.031957,-0.410482,-0.090287,0.14548,0.338639,-0.111026,-0.087447,-0.217473,-0.294135,1
-0.316449,1.356165,1.555517,-0.719449,0.576034,1.759881,1.092343,-0.222931,-1.453602,0.141466,0.486332,-0.436457,0
-0.406731,1.517152,1.020453,0.136858,-0.437976,-0.530351,-0.459479,0.282815,-0.076534,0.504282,-0.128055,0.395431,1
16.230489,-2.797849,-3.863706,1.520628,0.391077,-1.310732,1.124219,0.510115,-3.367992,-1.860395,-0.844876,0.659703,1
0.923599,1.287936,0.669372,-0.31952,-0.033258,0.034173,0.020941,0.230965,-0.020993,0.766626,-0.825817,0.256173,1
0.855985,0.971283,2.211563,-0.907785,0.419067,-0.531757,-0.801529,-0.321073,-0.288951,0.177417,0.476711,0.051473,1
-1.054889,2.737649,0.396447,-0.649408,0.300094,1.161301,0.55676,0.297953,-1.417478,1.430252,-1.850936,0.069648,1
-1.904426,-1.928275,-1.427463,-0.680337,-0.497801,-0.598775,-0.547532,0.117983,0.107144,-0.09881,-0.179757,-0.640428,0
20.065307,2.163178,-6.227807,-1.295525,-5.217362,-1.313603,-2.524987,3.126781,-6.59507,-0.666996,0.984698,0.896039,1
-1.42979,0.368279,-1.124466,-0.151907,0.003332,-0.177153,0.143612,0.00221,0.224188,0.285344,-0.121179,1.205514,0
-0.935022,-1.279435,0.912264,1.085284,-1.101081,-0.115336,-0.050156,0.075307,-0.086639,-0.063474,-0.405484,-0.30474,0
0.108093,0.966829,0.742618,0.123063,0.347095,1.112681,1.041815,-0.939563,-0.623678,0.12734,0.816456,-0.355091,0
-1.573229,0.072504,-1.83454,-0.745906,0.346108,-0.088182,0.075608,0.086118,0.429087,-0.166704,0.323297,0.332247,0
-0.581017,-1.19317,0.947403,0.631215,-0.689849,-0.267417,0.392705,0.206937,0.394464,0.050706,0.409476,-0.513418,1
-0.070418,-1.732561,0.276566,2.320084,0.177571,-0.081214,-0.175991,-0.170808,-0.199189,0.951137,-0.849673,-0.381852,1
0.560622,4.712297,-0.216588,0.373302,-0.201548,-0.823732,-0.858596,0.696733,0.827841,0.760321,-0.817502,-0.50658,0
-1.207944,1.181834,-0.164211,0.32193,-0.168648,1.223239,0.979185,-1.149389,-1.166472,0.009747,0.210998,-0.728077,0
3.835129,4.368607,-0.161076,-0.065543,0.430512,-0.034434,0.047512,0.061726,1.605347,-0.88734,-0.759451,-0.19095,1
-0.717844,0.371935,0.832376,-0.181521,-0.036257,-0.463769,-0.228483,-0.048848,0.133939,-0.19437,-0.104667,1.904776,0
1.448546,-1.64325,-0.25328,0.779265,-0.536836,0.221847,0.975574,1.291115,1.018187,-6.340981,-4.641662,0.157888,0
-0.864812,-0.300588,0.678267,0.532903,-0.68624,0.139077,0.42756,-0.702866,-0.442116,0.27424,-0.047607,0.250955,0
2.613913,-1.407674,3.812474,-1.934073,0.977995,-0.401013,-0.939184,-0.34878,-0.571474,-0.66943,-0.519398,-0.057477,1
-2.070209,-1.996772,-2.024146,-0.403268,-0.104215,-0.509712,-0.190972,-0.080629,-0.032591,0.520905,-1.042585,-0.590156,0
-0.780041,0.757218,0.557993,1.024501,-0.472024,0.642817,0.880967,-1.01665,-0.590964,-0.474486,0.453758,0.068851,0
1.331335,-1.35642,1.686448,-0.386334,-0.650036,-0.026814,-0.107123,0.278162,0.059623,-0.859446,-0.277747,-0.476349,1
-0.845811,2.514373,0.056252,0.65599,-0.570337,0.110665,-0.004755,-0.34209,-0.302775,0.347804,0.142904,-0.388149,0
9.570908,-0.042615,-2.624552,3.249424,5.111293,-0.840457,2.669964,-1.805368,0.96982,-0.089974,-0.987519,-0.241191,1
1.691245,-1.861822,-0.332057,1.256172,0.321931,0.266843,-0.522987,0.341783,0.493757,0.663092,0.908537,0.042546,0
-1.64339,0.080781,-0.269509,0.478468,-1.103313,0.317588,0.168311,-1.46064,-1.320106,0.475131,-0.820115,0.1836,0
-1.907981,-1.895713,-1.536454,-0.692627,-0.466553,-0.548556,-0.455184,0.049664,0.155789,-0.052448,-0.318402,-0.573424,0
-1.66905,-0.015826,-1.56093,-0.523092,0.028108,-0.466984,-0.312516,0.29596,0.650763,-0.379018,0.694771,-0.004754,0
-0.831908,0.580544,1.226541,0.670191,-0.690124,-0.312896,0.001745,-0.058957,-0.020962,0.214328,0.294792,0.418848,0
-0.134672,1.242749,0.414158,0.352753,-0.041965,1.213873,1.089323,-1.076446,-0.636103,-0.154533,1.051892,-0.58636,0
4.652062,-1.647998,-0.669225,-1.290911,-3.677176,0.942087,-0.537619,1.335668,-2.024961,0.648618,1.295,-0.062211,0
2.596004,-1.583478,0.454403,1.722419,0.465191,-0.624672,1.016173,0.019864,0.850827,-0.19264,0.143202,-0.551907,1
1.228212,1.925869,0.652484,-0.078194,0.561392,1.191507,1.101725,-0.640236,-0.033583,-1.017031,0.085783,-0.441419,1
-1.093208,-2.20422,-1.56009,0.47452,0.6432,-1.004743,-0.074865,-0.337455,0.011537,1.032257,-0.795173,-0.324767,0
-2.006408,-0.40894,-2.701565,-0.190483,0.676859,0.103809,0.246907,-1.207197,-0.654826,0.336232,-0.422113,-0.250041,0
0.297808,-1.185983,1.860805,0.665496,-0.879959,-0.337777,0.139738,0.057869,-0.061583,-0.000626,0.045342,0.054326,1
-1.657162,0.049008,-1.852289,-0.684803,0.254393,-0.169686,-0.018792,0.004042,0.416468,-0.211501,0.356762,0.308156,0
-1.048987,-0.353131,0.85398,1.060519,-1.127752,0.085056,0.469664,-0.373403,-0.377579,0.191214,0.300171,0.272977,0
2.478688,4.480811,-0.598824,1.160587,0.686972,-1.669149,-0.798398,1.403915,1.711241,0.342832,-0.766199,-0.607958,1
-1.180227,-0.547277,-0.09711,-0.322415,-0.069583,0.078966,0.268449,-0.028874,0.091603,-0.249097,0.755015,1.065878,0
0.756572,-1.415902,1.020102,1.03891,-0.370891,-0.422898,0.409771,0.117078,0.135372,-0.547849,-0.553019,-0.458617,1
-0.583787,-0.470736,0.824949,-0.760279,0.411641,-0.152162,-0.065937,-0.470207,-0.051187,-0.286473,0.821378,1.491866,0
-0.205451,1.436432,0.453008,-0.405297,0.809893,0.19931,0.089231,-0.561775,-0.322576,-0.026475,0.833595,0.322317,0
-0.491205,0.125622,0.098417,0.237982,-0.453138,-0.471046,-0.05905,0.223306,0.485933,0.23354,0.533468,1.411945,0
1.148016,-1.664948,2.90798,-2.565131,1.476316,-0.684284,-1.233265,0.040179,-0.455847,-0.030987,0.618755,-0.127217,1
-1.040059,2.67248,0.22775,-0.324443,0.03847,0.914981,0.38821,0.041641,-1.348113,0.903586,-1.99362,0.028806,0
-0.673821,-1.214214,2.113526,-0.337502,-0.379679,-0.218621,-0.248764,-0.040857,-0.75293,0.566566,-0.647011,-0.107962,0
1.954112,-2.294357,0.10492,2.006374,2.364252,-1.191148,0.884042,0.07351,0.353566,2.128779,0.287315,-0.682778,0
0.833484,-0.58354,-1.29072,2.082486,1.845365,-0.479491,-0.353187,-0.366045,0.04454,1.473991,-0.622314,0.701891,1
-0.201543,-1.282468,1.362285,0.780289,-0.853583,-0.297686,0.203825,0.222797,-0.065473,0.039863,-0.080866,-0.335279,0
-0.283967,0.422205,0.644647,0.618777,-0.717981,-0.309853,0.049119,-0.042106,0.093876,0.277617,0.385312,0.059863,0
-0.197173,3.187691,0.359447,0.208863,-0.137956,-0.208046,-0.386067,-0.285288,-0.028375,0.596249,-0.07465,-0.245154,0
-1.524578,0.204225,-1.112988,-0.021615,-0.188044,-0.246052,0.079944,-0.220725,0.226888,0.084825,0.13613,1.210446,0
-1.433289,0.191277,-1.568893,-0.802137,0.058589,-0.440737,-0.447611,0.406779,0.461882,-0.262192,0.541023,0.01407,0
-1.134512,0.60386,0.304328,0.992538,-0.762117,-0.134453,0.15846,-0.378262,-0.362336,0.264008,0.274789,-0.025894,0
-0.661359,-0.489816,-1.01204,-0.433627,0.412378,0.461987,0.904516,-0.134854,0.357048,0.223237,0.182491,1.039857,0
1.278978,-1.156936,2.12068,-0.193056,-0.273223,-0.168348,0.147999,0.140098,0.411767,0.210164,0.941409,-0.252561,1
-1.947761,-0.509097,-1.156408,-0.049024,-0.350654,-0.007573,0.151307,-0.693762,-0.290834,0.021203,-0.011866,1.085105,0
2.484181,0.188126,2.785376,-1.684398,1.022336,-0.463645,-0.785575,-0.449133,0.128018,-1.770935,-0.922595,0.07859,1
-2.066195,-0.350154,-2.12816,-0.634164,-0.026659,0.301181,0.213954,-0.540057,-0.182377,-0.365855,0.334117,0.067102,0
-0.643484,1.523284,-0.254733,0.790157,-0.542175,0.481337,0.474266,-1.0636,-0.6853,-0.642699,-0.338243,-0.404847,1
