@relation jedit-4.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R14-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R7

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
8,0,15,1,2,128,0,0.333333,7,20.333333,2.1667,0
6,0,28,3,0.397727,573,2,0.5,3,45.416667,1.1667,1
7,0,69,3,0.869231,732,2,0.174603,0,50.571429,2.1429,1
2,0,1,1,2,85,0,0.625,0,41.5,2.5,0
6,0,0,2,0.708333,337,0,0.5,4,64,1.6,1
2,0,1,0,2,16,0,0.75,1,7,1,0
8,0,1,3,2,206,0,0.75,4,102,8,0
5,0,28,1,2,143,0,0.5,1,16.875,1.125,1
1,0,21,36,2,7,0,0.52381,0,0,1,0
6,0,20,2,0.761905,119,1,0.5,12,13.5,0.75,0
1,0,0,1,0.703704,347,1,0.371429,0,47.285714,3,1
7,0,2,1,0.611111,533,0,0.4,0,103.8,3,0
2,0,2,1,0.5625,197,0,0.466667,7,37.6,2.2,1
1,0,10339,93,0.936533,4593,13,0.080909,0,29.313333,3.44,1
2,0,21,8,0.692308,973,1,0.589744,6,68.071429,2.0714,1
3,0,0,2,0.625,541,0,0.30303,4,47.818182,5.0909,1
6,0,1,1,0.5,371,0,1,4,118.666667,1.3333,1
1,0,15,1,2,6,0,0.75,0,0,1,0
4,0,16336,53,0.879171,9106,10,0.076316,14,35.483871,3.2581,1
2,0,1,3,1,54,0,0.666667,2,24.5,0.5,0
1,1,6,2,0.666667,36,1,0.5,0,7.75,1,0
6,0,27,8,0.775,559,0,0.363636,0,49.090909,1.6364,0
2,0,1,1,2,50,0,0.625,1,24,0.5,0
1,0,3,0,1,54,0,0.333333,0,16.666667,1.3333,1
1,3,7,31,0.6,49,1,0.583333,0,6.833333,0.8333,1
6,0,51,5,0.817308,516,1,0.5,12,35.285714,1.4286,0
7,0,3,1,1,110,0,0.666667,0,35.333333,0.6667,0
7,0,517,7,0.828008,1788,5,0.210526,8,44.128205,2.1282,1
2,0,0,1,0,87,1,0.444444,2,27.333333,3,0
1,0,0,4,1.015625,368,17,0.40625,0,34.555556,1,0
2,0,0,1,0.625,99,0,0.6,0,18.4,1.4,0
1,0,0,9,0.492857,1726,3,0.251701,0,80.857143,8.5714,1
1,0,0,9,2,12,0,1,0,9,0,0
5,0,0,4,0.5,54,1,0.416667,0,12,1,0
1,0,46,3,0.902778,1223,3,0.254464,0,42.107143,3.0714,1
6,0,10,2,0.75,181,0,0.5,4,18.444444,0.8889,0
6,0,1298,118,0.948892,1532,9,0.083102,1,25.368421,2.5439,1
1,4,400,24,0.961877,504,0,0.26129,0,14.40625,1.5938,0
3,0,16,1,0.714286,49,0,1,0,4.875,0.875,0
1,0,10,0,2,12,0,0.8,0,1.4,0.8,0
2,0,3,1,2,20,0,0.466667,2,5.666667,0.6667,0
2,0,0,1,0.444444,80,0,0.357143,2,18.25,1.75,0
7,0,29,2,0.814286,392,0,0.363636,0,34,1.3636,0
