@relation jedit-4.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R12

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
8,0,15,1,10,2,128,0,0,0.994206,0.333333,7,20.333333,5,2.1667,0
6,0,28,3,6,0.397727,573,1,2,0.983655,0.5,3,45.416667,2,1.1667,1
7,0,69,3,28,0.869231,732,1,2,0.98048,0.174603,0,50.571429,9,2.1429,1
2,0,1,1,2,2,85,0,0,0.875,0.625,0,41.5,5,2.5,0
6,0,0,2,4,0.708333,337,1,0,0.993994,0.5,4,64,3,1.6,1
2,0,1,0,1,2,16,0,0,0.75,0.75,1,7,2,1,0
8,0,1,3,11,2,206,0,0,0.998836,0.75,4,102,16,8,0
5,0,28,1,2,2,143,0,0,0.992974,0.5,1,16.875,3,1.125,1
1,0,21,36,0,2,7,0,0,0,0.52381,0,0,1,1,0
6,0,20,2,4,0.761905,119,0.666667,1,0.991018,0.5,12,13.5,1,0.75,0
1,0,0,1,5,0.703704,347,1,1,0,0.371429,0,47.285714,8,3,1
7,0,2,1,3,0.611111,533,1,0,0.993912,0.4,0,103.8,7,3,0
2,0,2,1,4,0.5625,197,1,0,0.935484,0.466667,7,37.6,8,2.2,1
1,0,10339,93,46,0.936533,4593,0.76087,13,0,0.080909,0,29.313333,30,3.44,1
2,0,21,8,9,0.692308,973,1,1,0.853333,0.589744,6,68.071429,11,2.0714,1
3,0,0,2,7,0.625,541,1,0,0.666667,0.30303,4,47.818182,21,5.0909,1
6,0,1,1,4,0.5,371,1,0,0.996988,1,4,118.666667,3,1.3333,1
1,0,15,1,0,2,6,0,0,0,0.75,0,0,1,1,0
4,0,16336,53,37,0.879171,9106,0.775862,10,0.724215,0.076316,14,35.483871,29,3.2581,1
2,0,1,3,6,1,54,0,0,0.947368,0.666667,2,24.5,1,0.5,0
1,1,6,2,2,0.666667,36,1,1,0,0.5,0,7.75,2,1,0
6,0,27,8,8,0.775,559,1,0,0.984871,0.363636,0,49.090909,9,1.6364,0
2,0,1,1,7,2,50,0,0,0.947368,0.625,1,24,1,0.5,0
1,0,3,0,9,1,54,1,0,0,0.333333,0,16.666667,3,1.3333,1
1,3,7,31,1,0.6,49,1,1,0,0.583333,0,6.833333,1,0.8333,1
6,0,51,5,10,0.817308,516,1,1,0.980741,0.5,12,35.285714,3,1.4286,0
7,0,3,1,5,1,110,1,0,0.996947,0.666667,0,35.333333,1,0.6667,0
7,0,517,7,26,0.828008,1788,0.892857,5,0.94775,0.210526,8,44.128205,14,2.1282,1
2,0,0,1,4,0,87,0,1,0.777778,0.444444,2,27.333333,7,3,0
1,0,0,4,1,1.015625,368,0.104167,17,0,0.40625,0,34.555556,2,1,0
2,0,0,1,6,0.625,99,1,0,0.636364,0.6,0,18.4,4,1.4,0
1,0,0,9,7,0.492857,1726,1,3,0,0.251701,0,80.857143,31,8.5714,1
1,0,0,9,1,2,12,0,0,0,1,0,9,0,0,0
5,0,0,4,5,0.5,54,1,1,0.995856,0.416667,0,12,2,1,0
1,0,46,3,6,0.902778,1223,1,3,0,0.254464,0,42.107143,16,3.0714,1
6,0,10,2,3,0.75,181,1,0,0.98806,0.5,4,18.444444,1,0.8889,0
6,0,1298,118,37,0.948892,1532,0.482759,9,0.920114,0.083102,1,25.368421,19,2.5439,1
1,4,400,24,14,0.961877,504,0.454545,0,0,0.26129,0,14.40625,5,1.5938,0
3,0,16,1,1,0.714286,49,1,0,0.911392,1,0,4.875,1,0.875,0
1,0,10,0,2,2,12,0,0,0,0.8,0,1.4,1,0.8,0
2,0,3,1,3,2,20,0,0,0.777778,0.466667,2,5.666667,1,0.6667,0
2,0,0,1,3,0.444444,80,1,0,0.7,0.357143,2,18.25,5,1.75,0
7,0,29,2,9,0.814286,392,1,0,0.984917,0.363636,0,34,4,1.3636,0
1,0,6075,6,1,0.921126,5223,0.717391,1,0,0.138067,0,42.483051,9,1.4492,0
1,0,217,34,16,0.872727,370,1,3,0,0.108571,0,12.807692,8,1.5,1
7,0,49,3,14,0.884615,864,1,3,0.98048,0.285714,1,59.428571,12,1.7143,1
1,0,3,29,0,1.5,4,0,0,0,0.833333,0,0,1,1,0
4,0,0,17,0,2,5,0,0,1,1,0,4,0,0,0
1,0,48,4,5,0.25,300,1,1,0,0.305556,0,22,8,2.5385,1
