@relation 'jedit-4.1_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.37rfc-0.335npm-0.329wmc-0.318ce-0.3cbo... numeric
@attribute -0.483ic-0.465dit-0.441mfa-0.424cbm-0.26dam... numeric
@attribute 0.449lcom3-0.43avg_cc-0.394dam+0.299cam-0.286max_cc... numeric
@attribute '0.418noc+0.348ca-0.335lcom3-0.313max_cc+0.31 dam...' numeric
@attribute '0.406amc+0.356ca+0.35 cbo-0.329wmc-0.264loc...' numeric
@attribute -0.432cbm-0.327avg_cc+0.323amc-0.319ic+0.298loc... numeric
@attribute '0.811noc+0.274max_cc+0.243avg_cc-0.186amc+0.18 loc...' numeric
@attribute 0.621amc-0.31cam+0.281noc+0.274cbm-0.249dit... numeric
@attribute '0.704moa+0.543cam+0.244lcom+0.18 dam-0.148ce...' numeric
@attribute -0.608lcom+0.382moa-0.309npm-0.277dit+0.271ic... numeric
@attribute -0.549cam+0.406moa-0.332amc-0.307ca+0.287lcom3... numeric
@attribute -0.587lcom3-0.474dam+0.434mfa-0.304dit-0.174cbm... numeric
@attribute bug {1,0}

@data
0.109332,-1.326959,-1.354949,-0.064496,0.117738,-0.492747,0.069487,-0.070506,0.033286,-0.227742,0.125315,0.077745,0
-0.950554,-3.053745,-0.089944,0.164479,-0.188346,-0.182119,0.095978,0.050526,-0.119043,0.438641,0.835896,-0.176987,1
1.272419,0.277127,1.935947,-0.758645,0.679171,-0.100461,0.017396,0.102669,-0.410666,0.322597,0.25756,0.101093,0
-6.207288,2.888513,0.983628,1.847477,2.716643,-1.108679,-1.039457,-0.627207,-1.835469,0.224673,-1.434724,-0.434868,1
1.379068,2.576115,2.115993,0.18537,0.764473,-0.907326,0.049379,-0.655501,0.683699,0.521963,-1.324689,-0.932215,0
-1.612211,1.730821,-7.03233,-3.871316,2.73051,-4.329705,3.185778,-2.460028,0.988613,-1.912383,1.215683,-1.186649,1
1.598216,0.167604,1.897516,-0.927313,0.476244,-0.014511,0.08695,0.185767,-0.281528,0.235241,0.278997,0.169605,0
-3.391397,-1.329143,-0.882262,0.341777,1.578995,0.567064,-0.239171,-1.366061,0.302154,0.552717,0.881267,0.356026,1
0.375805,-4.441022,1.152877,0.190946,-0.616285,-1.702019,0.504431,0.68713,-0.022623,1.005116,-0.634469,-0.254429,0
0.197558,1.667429,-0.447467,3.693544,-0.035791,0.464075,2.406799,0.476842,0.502591,0.15975,-1.123892,-0.060042,0
