@relation 'jedit-4.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11-12,14,16-17,19'

@attribute noc numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,0.625,1,0.325,42.5,3.5,0
0,0.842975,3,0.166008,21.173913,1.9565,1
0,2,0,0.6,22.666667,0.6667,0
0,0.949275,1,0.118012,42.021277,3.7021,1
0,2,0,1,0,1,0
0,1.095238,0,0.333333,51.75,20.5,1
0,2,0,0.625,24,0.5,0
0,0.566667,5,0.206349,36.095238,3.2381,1
0,0.761905,1,0.5,13.75,0.75,0
11,0.4,1,0.583333,6.333333,0.8333,0
0,0.817308,1,0.5,33.928571,1.4286,1
0,1,0,0.666667,35.333333,0.6667,1
0,2,0,0.5625,19.75,1.25,0
0,0.785714,2,0.209524,54.136364,2.0455,1
0,0.875,0,0.5,8.6,0.6,0
0,0.633333,1,0.371429,53.857143,2,0
0,0,0,0.5,18.5,1.25,0
0,0.653846,3,0.223214,33.071429,3.5,1
0,2,0,1,9,0,0
0,0.5,1,0.416667,13.75,1,0
0,0.873932,3,0.230453,48.037037,3.9259,1
0,2,0,1,0,1,0
0,2,0,1,4,0,0
0,0.133333,0,0.5,18.166667,2,0
0,0.916667,1,0.197368,16.157895,1.0526,0
0,0.766234,1,0.375,42.125,0.375,0
0,0.75,0,0.444444,48,7.3333,0
0,0.8,2,0.35,38.4,0.8,0
0,1,0,0.666667,8,0.3333,0
0,1,0,0.625,38,0.5,0
0,2,0,0.75,6,0.5,0
0,1.5,0,0.833333,0,1,0
3,0.633333,0,0.185714,11.545455,1.4545,1
0,0.6875,0,0.333333,31,3,1
0,0.541667,1,0.333333,41.285714,4.7143,0
0,0.488889,3,0.333333,20,1.6667,0
0,0.666667,0,0.444444,13.833333,0.8333,0
0,0.125,0,0.35,39.8,4,0
0,0.555556,0,0.5,42.25,0.75,0
0,0.285714,0,0.40625,19.75,1.875,0
0,0.222222,0,0.666667,13.75,1.75,0
0,0.272727,0,0.35,13.583333,1.75,0
0,1.071429,0,0.237037,59.4,7.2667,0
2,0.857143,1,0.275,2.375,0.875,0
0,1.071429,0,0.72,30,0.8,0
0,0.942356,5,0.139063,28.359375,2.3594,1
0,0.858586,1,0.5,26.75,1.5,1
0,0.666667,1,0.35,21.5,1.8,1
0,0.75,0,0.386364,13.454545,2.2727,0
0,0.818182,1,0.373333,79.8125,2.6875,1
19,0.5,1,0.44,10,0.6,0
0,0.831909,4,0.145604,29.535714,2.3571,1
0,1,0,0.625,9.5,0.5,0
0,0.75,0,0.466667,5.4,0.8,0
0,2,0,1,4,0,0
17,0.711538,0,0.446429,26.928571,1.2143,0
13,0.761905,2,0.354167,6.75,1.25,0
0,0.444444,0,0.375,46.25,1.25,1
0,2,0,0.75,10,0,0
0,0.875,2,0.125874,26.666667,2.5185,1
2,0.428571,0,0.4375,17.5,2.875,1
2,0.583333,2,0.457143,10.285714,1.4286,0
5,2,0,0.75,1.75,0.75,0
0,2,0,0,152,0,0
0,0.683871,2,0.136719,47.625,4.25,1
0,0.738095,1,0.253333,32.533333,1.2667,0
0,2,0,0.533333,25.333333,0.6667,0
