@relation log4j-1.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R10

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
4,0,6,2,1,4,2,0,0,0.357143,1,3,23.75,1,0
1,0,1,0,0,2,2,0,0,0.5,0,0,2,0.5,0
1,0,0,3,3,8,0.142857,1,0,0.40625,0,0,20.875,3.125,0
2,1,12,1,6,8,0.936508,0.555556,0,0.333333,0,0,20.25,2.25,0
1,5,45,32,2,9,1,0,0,0.407407,0,0,1.6,0.8,0
2,0,24,0,10,11,0.994135,0.064516,2,0.366667,2,4,40.666667,5.0833,1
1,0,1,1,3,1,2,0,0,0.75,0,0,4,0.5,0
1,0,8,0,1,2,0.875,0,1,0.333333,0,0,7.6,0.6,0
2,0,0,1,3,1,0,0,2,0.666667,0,0,31.5,2.5,0
1,0,3,0,0,2,2,0,0,0.333333,0,0,43.333333,1.6667,0
1,0,9,1,2,6,0.866667,0,0,0.458333,0,0,5.833333,1.1667,1
3,0,0,2,5,8,0.795918,0.571429,0,0.40625,1,1,25.25,1.625,0
1,0,4,0,2,2,0.833333,0,1,0.333333,0,0,8,0.5,0
1,0,3,8,0,3,2,0,0,0.666667,0,0,0,1,0
1,2,91,9,11,9,1.051282,0,0,0.134615,0,0,16.428571,1.2857,1
1,0,0,3,4,2,0.733333,0,2,0.416667,0,0,24.25,0.75,0
1,0,13,0,3,2,0.7,0,0,0.277778,0,0,32.333333,1.3333,0
1,0,1,2,2,2,0.75,0,0,0.625,0,0,12.333333,0.3333,0
1,0,34,0,3,2,0.875,0,1,0.175,0,0,17.333333,1.4444,0
1,0,1,0,3,2,2,0,0,0.5,0,0,41.5,3,0
1,0,8,1,0,3,0.75,1,1,0.75,0,0,3.2,0.6,0
3,1,0,2,8,11,0.729167,0.5,0,0.247863,1,10,20.923077,1.2308,1
1,9,131,11,9,18,0.909722,0.875,5,0.210526,0,0,8.105263,1.4211,0
1,0,17,0,6,2,0.75,0,1,0.277778,0,0,19.285714,0.8571,0
1,0,0,10,2,9,0.666667,0,0,0.090909,0,0,21.666667,2.25,1
3,2,0,8,1,4,0,1,1,0.5,2,2,13,1,0
1,0,2,1,0,2,0.777778,0,0,0.5,1,1,13.5,2,0
1,0,6,0,3,2,0.666667,0,0,0.333333,0,0,15.75,1.25,0
1,2,15,40,0,8,0.811966,0,5,0.333333,0,0,14.6,2.1,1
3,1,0,3,2,5,0,1,1,0.4,1,1,7.4,0.8,0
1,0,0,5,2,5,0.9,0.2,0,0.466667,0,0,43,2.8333,1
1,0,9,28,1,6,1,0.75,0,0.333333,0,0,11.428571,1.2857,1
1,0,0,2,1,8,0.571429,0,1,0.416667,0,0,16.625,1.75,0
1,0,20,50,4,6,0.894231,0.076923,2,0.232143,0,0,14.333333,1.3333,1
1,0,6,0,0,4,2,0,0,0.333333,0,0,17.25,0.75,1
5,0,13,2,7,4,0.85,0,2,0.3,2,2,33,1,0
1,0,0,0,1,2,0,0,0,0.555556,0,0,6.333333,0.6667,0
2,0,9,0,5,6,0.92,0.8,0,0.444444,1,1,38.333333,1.8333,1
2,0,3,2,3,3,2,0,0,0.833333,1,6,7.333333,1,0
1,0,15,0,5,2,0.75,0,1,0.25,0,0,24,1,1
2,2,58,9,8,15,0.649123,0.666667,2,0.2375,1,3,19.2,1.65,1
4,0,4,1,2,2,0.666667,0,0,0.5,2,2,6.75,0.5,0
2,0,129,2,8,13,0.885965,0.105263,2,0.233083,1,3,33.526316,2.1579,0
2,0,23,0,2,7,0.833333,0,1,0.2,0,0,28.1,1.7,0
2,0,33,0,6,9,0.933333,0.6,0,0.325,1,1,30.6,1.7,1
1,0,4,0,0,2,0.25,0,0,0.25,0,0,14.8,1,0
1,0,1,1,2,2,2,0,0,0.75,0,0,63,2.5,0
2,0,8,1,1,5,0.75,0.5,0,0.45,1,2,15.8,0.8,0
1,3,688,53,12,42,0.828947,0.473684,5,0.150641,0,0,14.938776,2.1429,1
