@relation 'log4j-1.1_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-9,11'

@attribute dit numeric
@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,0.876923,0.4,1,0.79661,0.442308,1,3,12.071429,3,1.6429,1
2,0,0.911111,0.555556,0,0.444444,0.30303,0,0,16.272727,7,2,1
1,0,0.75,0,2,0,0.238095,0,0,37,4,1.5,0
3,0,0,1,0,0.919355,0.375,0,0,9.833333,2,1,0
1,0,0.697917,0,4,0,0.15,0,0,38.076923,7,2.7692,1
1,0,0.875,0,1,0,0.333333,0,0,7.6,1,0.6,0
3,0,0,0,0,0.975207,0.583333,0,0,39,3,1.25,0
1,0,1.25,0,1,0,0.466667,0,0,0.8,1,0.8,0
1,0,0,0,0,0,1,0,0,14.333333,1,0.6667,0
1,0,2,0,0,0,1,0,0,0,1,1,1
1,0,2,0,0,0,0.75,0,0,3,1,0.5,0
2,0,0.822917,0,1,0.897059,0.21875,0,0,32.555556,7,2,0
1,0,0.777778,0,0,0,0.5,1,1,13.5,6,2,0
2,0,0.864198,0.888889,0,0.6,0.355556,1,1,10.578947,4,0.9474,1
1,0,0.942857,0,7,0,0.285714,0,0,38.25,5,2,1
2,0,1,0,0,0.818182,0.5,1,1,4.333333,2,0.8333,0
1,0,0.666667,0,1,0,0.277778,0,0,11.571429,2,1,0
1,0,0.714286,0,1,0,0.214286,0,0,39.75,2,1.125,1
4,0,2,0,0,1,1,0,0,6,0,0,0
2,0,0.936275,0.25,1,0.413793,0.277778,1,1,38,10,2.5,1
1,0,0.666667,0,0,0,0.333333,0,0,16,2,1.25,0
1,0,0.792308,0,5,0,0.35,0,0,13.636364,7,2,1
1,0,2,0,0,0,0.75,0,0,0,1,1,0
1,0,0.88,0.2,0,0,0.466667,0,0,45,6,3,0
1,0,0.555556,0,1,0,0.466667,0,0,22.8,5,2.1,0
1,0,0.898496,0.421053,4,0,0.196429,0,0,18,4,1.4,1
1,0,0.666667,0,0,0,0.555556,0,0,33.5,3,1.25,1
1,0,0.644444,1,0,0,0.314286,0,0,31.3,9,2.8,0
1,0,0.333333,0,0,0,0.333333,0,0,27.25,4,1.5,0
1,0,0.375,0,1,0,0.4375,0,0,12.111111,4,1.6667,0
1,0,2,0,0,0,0.666667,0,0,6.5,1,0.5,1
1,0,0.333333,0,1,0,0.52381,0,0,33.428571,7,2.7143,0
1,0,2,0,0,0,0.75,0,0,4,1,0.5,0
2,0,0.833333,0,1,0.884058,0.2,0,0,28.1,4,1.7,0
2,0,0.883333,0,3,0.545455,0.25,2,3,18.5,5,1.4375,1
4,0,0.333333,0,0,0.953488,0.357143,1,3,18.75,2,0.75,0
1,0,0.666667,0,0,0,0.333333,0,0,32.25,3,1.5,0
1,0,2,0,0,0,0.75,0,0,49,3,1.5,0
1,0,0.666667,0,1,0,0.333333,0,0,20.714286,2,1,0
1,0,2,0,0,0,0,0,0,0,0,0,0
