@relation lucene-2.2_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R8

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute lcom3 numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute bug {1,0}

@data
3,0,7,1,0.638889,0,0.285714,4,26.6,6,1
1,1,0,1,0.619048,1,0.5,0,45.3,2,1
2,0,0,2,0.5625,0,0.352941,5,21.941176,2,1
2,5,10,12,2,0,0.466667,1,1.8,1,0
1,0,6,22,2,0,0.5,0,0,1,1
1,6,79,15,0.723077,0,0.785714,0,8.142857,3,1
1,0,66,3,2,0,0.583333,0,0,1,0
1,0,3,1,0.602564,0,0.404762,0,15.5,1,0
1,0,67,9,0.897436,12,0.403846,0,12.357143,1,1
1,0,1,0,2,0,0.75,0,2.5,1,0
1,0,0,8,0.678733,1,0.243056,0,52.777778,4,1
2,2,21,3,0.705357,0,0.328571,4,27.666667,7,1
1,0,0,2,0.45,5,0.479167,0,62.833333,1,1
2,0,0,1,0.571429,0,0.425,3,17.875,1,0
2,1,0,2,0.466667,1,0.23125,5,34.875,6,0
1,0,55,6,2,0,0.263636,0,0,1,1
2,0,12,3,0.625,0,0.158824,4,22.705882,7,1
1,2,105,19,2,0,0.311111,0,12.066667,1,1
1,0,6,2,2,0,0.333333,0,35.75,1,0
1,0,0,3,0.666667,2,0.34375,0,18.25,3,0
3,0,1,1,2,0,0.75,0,9.5,1,1
2,0,0,1,0.68254,1,0.157738,9,22.464286,6,1
2,1,0,2,0.520833,2,0.309524,3,26.571429,1,1
3,0,0,2,0.590909,0,0.208333,2,28.083333,7,0
1,0,0,22,0.5,0,0.426471,0,23.294118,5,1
1,0,66,3,2,0,0.583333,0,0,1,1
1,0,0,5,0.678571,2,0.533333,0,16.6,1,0
3,0,0,3,0.555556,1,0.34375,1,79.75,4,1
1,0,164,12,0.940789,0,0.261111,0,22.7,8,1
1,0,0,17,2,0,1,0,0,1,0
1,0,0,1,0.6,1,0.333333,0,54.666667,4,1
2,0,0,1,0,1,0.5,0,11.75,1,1
1,0,41,2,0.804762,5,0.237037,0,43,3,1
3,0,1,0,2,0,0.833333,0,25,5,0
1,0,69,2,0.806723,4,0.237374,0,40,5,1
1,9,0,12,0.454545,0,0.444444,0,21.666667,7,1
1,15,72,48,0.833333,0,0.230769,0,18.076923,9,0
1,0,58,1,0.791667,2,0.201923,0,13.384615,1,1
2,0,0,1,0.5,2,0.4,2,26.6,1,0
1,1,1520,1,0.893046,12,0.112169,0,50.359375,23,1
2,0,1,1,2,0,0.666667,0,4,1,0
2,0,0,3,0.375,1,0.5,3,53.4,18,1
2,4,8,4,0.5,1,0.3125,2,7.25,5,1
2,0,171,12,0.769231,0,0.102564,6,15.222222,12,1
1,0,0,8,0.125,0,0.55,0,18.2,1,0
1,0,0,71,0.136364,0,0.291667,1,10.333333,6,1
1,1,0,1,0,1,0.666667,0,31.5,1,0
2,0,0,10,0.142857,1,0.232143,2,11.375,4,1
3,2,4,2,0.857143,0,0.583333,0,27.75,1,1
4,0,0,28,2,0,1,0,4,0,0
2,0,23,0,0.55,0,0.313131,5,36.090909,1,1
2,0,3,2,2,0,0.555556,3,14.666667,4,0
1,3,141,32,0.823529,1,0.296296,0,8.777778,1,1
1,0,13,1,0.600962,0,0.253086,0,42.185185,26,1
1,3,247,29,0.909091,1,0.273913,0,4.652174,1,1
4,0,3,1,2,0,0.5,1,11.666667,4,1
1,6,3,12,2,0,0.666667,0,1.666667,1,1
2,0,3,1,0.2,0,0.611111,0,15.833333,2,1
2,1,0,2,0.454545,1,0.416667,3,28.083333,1,0
1,0,0,1,0.52,1,0.242857,0,20.454545,3,0
2,1,17,1,0.555556,0,0.36,3,17.1,1,0
1,0,2,7,0.666667,1,0.5,1,7.888889,5,0
3,0,9,2,0.777778,1,0.333333,3,16,6,1
1,1,0,1,0.466667,1,0.611111,0,28.166667,3,0
1,0,1,5,2,0,1,0,0,1,1
4,1,1,1,2,0,0.666667,1,3.5,1,0
2,0,15,3,2,0,0.333333,3,8.5,3,1
1,0,0,5,0.333333,2,0.375,1,9.2,4,0
1,0,1,2,2,0,1,0,0,1,1
1,0,1,17,2,0,0.5,0,9.5,2,0
3,0,4,1,0.666667,0,0.5,1,12.5,2,0
1,1,0,2,0.571429,0,0.35,0,15.25,4,1
1,3,15,6,2,0,0.444444,1,1,1,1
1,0,22,1,0.428571,0,0.178571,0,14.625,5,0
2,0,1,3,1,0,0.875,0,6.5,0,1
3,0,15,2,1.12,0,0.5,1,28.833333,14,1
1,0,0,3,0.691667,8,0.2,0,71.25,1,1
1,1,1,2,0.514286,4,0.246753,0,21.818182,1,0
1,0,0,7,0.875,7,0.555556,1,17.75,5,0
1,0,0,4,2,0,1,0,0,1,0
2,0,0,1,0.466667,2,0.5,3,17.333333,1,0
2,0,0,1,0.625,0,0.287879,3,39.272727,6,1
1,0,0,0,1.166667,0,0.333333,0,30,6,0
2,1,0,1,0,1,0.428571,2,5.571429,1,1
2,0,0,1,0,0,0.833333,0,13,1,1
1,0,0,8,0.852041,3,0.380952,0,17.866667,7,1
1,2,124,47,0.875,1,0.175,0,4.411765,1,1
3,0,53,1,0.692308,1,0.333333,4,34.928571,14,0
1,4,13,14,0.9,0,0.6,0,13.5,1,1
3,0,0,1,0.416667,1,0.192308,2,12.384615,6,0
1,1,0,13,0.666667,1,0.583333,0,6.333333,1,1
3,0,1,1,2,0,0.533333,3,22.333333,2,1
2,3,1,3,0.5,0,0.666667,0,4.333333,1,1
1,0,3,0,1,0,0.333333,0,7.666667,2,0
2,0,9,9,0.2,0,0.333333,1,9.666667,3,1
1,0,2,1,0.178571,2,0.34375,0,13,2,1
1,5,5,5,0.6,0,0.7,0,13.333333,1,0
1,0,71,3,0.75,5,0.210526,0,23.105263,3,1
1,0,153,9,2,0,0.37037,0,0,1,1
1,0,19,3,0.64,6,0.324675,0,28.818182,4,1
1,0,3,4,1.4375,2,0.5,0,4,2,1
3,1,0,1,0,1,0.259259,2,11.777778,4,0
1,0,1,2,2,0,0.5,0,17,4,0
2,0,0,1,0.5,1,0.3,4,23.5,2,1
2,1,0,1,0.5,1,0.4,1,19,2,1
1,0,1,2,2,0,1,0,0,1,0
1,0,6,3,0.809524,1,0.375,0,12.625,2,1
2,0,10,1,2,0,1,1,2,1,0
3,0,15,2,0.333333,0,0.514286,0,13.857143,3,1
1,0,0,2,0.383333,2,0.328125,0,21.3125,7,0
2,0,21,3,2,0,0.5,2,6.714286,1,0
2,0,0,1,0.444444,0,0.3,3,29.8,13,1
2,7,0,7,0,1,0.75,0,5,1,1
2,0,1,3,2,0,0.666667,3,24.5,6,0
