@relation lucene-2.4_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R10

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,0,8,15,4,0.785714,0,7,0.4,0,0,14.4,3,1.2,1
3,0,7,1,12,9,0.638889,0.5,0,0.285714,2,6,27.2,6,1.4,1
1,0,0,0,4,9,0.388889,1,0,0.34,0,0,27.5,5,1.6,0
4,0,6,2,2,1,2,0,0,0.5,2,3,5.5,3,1.25,0
2,2,160,5,18,8,0.881944,0.833333,5,0.197917,2,8,22.36,3,1.08,1
1,3,10,10,3,0,2,0,0,0.6,0,0,0.6,1,0.8,0
1,0,0,4,9,0,0.881944,0.333333,3,0.179487,0,0,40.615385,4,1,1
2,0,34,1,6,7,0.722222,0.777778,1,0.173611,1,2,17.470588,3,1,1
1,0,58,1,7,13,0.791667,1,2,0.201923,0,0,13.384615,1,0.9231,0
1,0,28,28,2,8,2,0,0,0.3,0,0,0,1,1,0
1,0,0,2,1,3,0.142857,0.142857,1,0.555556,0,0,38.333333,3,1.6667,0
2,0,0,1,1,8,0.428571,0,1,0.3,1,4,6.875,1,0.875,0
1,1,15,3,3,0,2,0,0,0.416667,0,0,0.5,1,0.8333,0
1,2,21,7,3,0,2,0,0,0.4,0,0,0.428571,1,0.8571,0
2,0,0,2,10,6,0.666667,0,3,0.333333,0,0,13.666667,1,0.8333,1
2,0,0,0,2,6,0.1,1,1,0.583333,1,1,13.666667,2,1.1667,1
1,0,0,4,5,1,0.833333,0,3,0.75,0,0,24.5,1,0.5,1
2,0,167,13,11,22,0.761538,1,0,0.102564,2,6,15.333333,12,1.5926,1
4,0,1,1,1,1,2,0,0,0.666667,1,1,5.5,2,1,1
1,0,0,8,0,0,0.125,0,0,0.55,0,0,18.2,1,0.4,0
1,0,0,79,0,10,0.125,0,0,0.294872,1,1,10,6,1.2308,1
1,2,0,2,5,1,0,1,1,0.666667,0,0,31.5,1,0.5,0
2,0,0,11,6,6,0.142857,1,1,0.232143,2,2,11.375,4,1.375,1
3,2,13,2,2,3,0.875,0.75,0,0.366667,1,2,24.285714,1,0.7143,1
4,0,0,36,0,1,2,0,0,1,0,0,4,0,0,0
2,0,34,0,9,5,0.590909,1,0,0.283333,1,5,36.583333,3,1,0
1,0,6,15,3,3,1,0,2,0.833333,0,0,2.25,1,0.75,0
1,0,5,1,4,5,0.666667,1,2,0.392857,0,0,14.142857,2,1.2857,1
1,2,10,8,4,2,2,0,0,0.466667,0,0,0.6,1,0.8,0
1,3,176,52,5,19,0.894737,0.5,1,0.291667,0,0,8.55,1,0.95,1
2,2,108,3,8,15,0.920833,0.333333,1,0.26875,0,0,37.333333,2,1,1
1,5,4,9,1,5,0.5,1,0,0.8,0,0,2.6,1,0.8,1
3,0,4,1,3,2,0.833333,0,0,0.416667,1,2,17,1,0.5,0
3,0,15,1,3,6,2,0,0,0.666667,1,3,4.166667,1,0.8333,1
2,0,5,2,8,3,0.796296,0,4,0.277778,0,0,25,8,1.7143,0
2,0,3,1,4,3,2,0,0,0.666667,0,0,5,1,0.6667,0
2,0,0,11,3,0,2,0,1,1,0,0,9,0,0,0
1,1,0,2,12,7,0.690476,1,2,0.309524,0,0,49,1,0.8571,1
1,0,0,28,3,17,0.813725,0.833333,2,0.426471,0,0,22.666667,5,2.4444,0
1,0,66,3,0,12,2,0,0,0.583333,0,0,0,1,1,1
1,0,0,4,1,0,0.678571,0,2,0.533333,0,0,16.6,1,0.8,0
4,0,0,2,6,0,0.625,1,2,0.325,1,1,76,5,2,1
1,0,203,25,6,18,0.934343,0.222222,0,0.221739,0,0,23.173913,3,1.4783,1
1,0,0,18,1,1,2,0,0,1,0,0,0,1,1,0
1,0,14,3,6,5,0.703125,0.75,2,0.303571,0,0,44.111111,4,1,0
2,0,1,1,11,6,0.64,1,6,0.35,0,0,26.166667,6,1.5,0
2,0,317,3,16,28,0.813725,0.888889,0,0.152381,1,10,23.457143,3,1.0571,1
3,0,26,0,2,6,0.928571,0,0,0.5,0,0,18.125,1,0.625,1
1,0,0,1,5,2,1.166667,0,4,0.666667,0,0,11.5,1,0.5,0
2,0,3,3,10,6,0.757143,0,3,0.2125,0,0,23.909091,5,1.5455,0
1,1,10,6,3,0,2,0,0,0.466667,0,0,0.6,1,0.8,0
2,0,0,3,8,8,0.3125,0,2,0.222222,2,4,14.666667,5,1.3333,1
3,0,9,2,6,6,0.777778,0.333333,1,0.333333,2,3,15.714286,6,1.7143,1
1,2,3,4,2,1,2,0,0,0.666667,0,0,1,1,0.6667,0
2,0,0,1,8,11,0.454545,1,2,0.229167,2,2,38.666667,13,2.6667,1
3,0,53,1,4,6,0.692308,1,1,0.333333,1,4,34.928571,14,2.2857,1
