@relation 'poi-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-14,16-20'

@attribute noc numeric
@attribute cam numeric
@attribute bug {1,0}

@data
0,0.352,1
0,0.225,1
0,0.289855,1
0,0.266234,1
0,0.666667,1
0,0.571429,1
0,0.375,0
0,0.522727,0
0,0.522727,1
0,0.5625,1
0,0.53125,1
0,0.517857,1
0,0.418182,0
0,0.6,1
0,0.522727,0
0,0.253968,1
0,0.214286,0
0,0.5,0
0,0.356522,1
0,1,0
0,0.458333,0
0,0.416667,1
0,0.333333,0
0,0.522727,1
0,0.376471,1
0,1,0
0,0.666667,1
0,1,0
0,0.361905,1
0,0.4375,0
0,0.416667,0
0,0.522727,1
0,0.418182,0
0,0.522727,0
0,0,0
0,0.4,1
0,0.277778,0
0,0.304762,1
0,0.527778,1
0,0.40625,1
0,0.6,1
3,0.6,1
0,0.307018,1
0,0.311111,0
0,0.36,0
3,0.2,1
0,0.333333,0
0,0.519231,1
0,0.313684,1
0,0.522727,1
0,0.666667,1
0,0.522727,1
0,0.418182,1
0,0.418182,1
0,0.4,0
0,0.166667,1
0,0.108571,1
0,1,0
0,0.666667,0
0,0.166667,1
0,0.583333,1
0,0.32766,1
0,0.333333,1
0,0.183761,1
0,0.335135,0
0,0.352,1
2,0.325,0
0,0.666667,1
0,0.454545,0
0,0.460526,1
0,0.583333,0
0,0.452381,1
0,0.418182,1
0,0.454545,0
0,0.418182,0
0,0.3,1
4,0.666667,0
0,0.418182,0
0,0.666667,0
0,1,0
0,0.555556,1
0,0.5,0
0,0.388889,1
0,0.280952,1
0,0.522727,0
0,0.418182,1
15,0.458333,1
0,0.333333,1
0,0.666667,0
0,0.522727,1
0,0.526316,1
0,0.516667,0
0,1,0
0,0.470588,1
0,0.21875,1
0,0.376471,1
0,0.418182,1
1,0.375,0
0,0.305556,1
0,0.40625,1
0,0.466667,0
0,0.522727,0
0,0.352,1
0,0.243421,1
0,0.187192,1
0,0.342857,0
0,0.333333,1
0,0.555556,0
0,0.3125,0
0,0.485294,1
0,0,0
0,0.333333,1
0,0.313333,0
0,0.5,1
0,0.555556,1
0,0.522727,0
0,0.418182,0
0,0.36,0
0,0.291667,0
0,0.2,0
0,0.310606,1
0,0.418182,1
0,0.301587,1
0,0.460526,1
0,0.5,1
0,0.454545,0
0,0,0
0,0.75,0
0,0.40625,1
0,1,0
0,0.356522,1
0,0.5,1
0,0.666667,0
0,0.5,0
4,0.666667,0
0,0.368421,1
0,0.25641,0
0,0.147929,1
0,0.206349,1
0,0.522727,0
0,0.517857,1
0,0.306122,1
0,0.258333,1
0,0.418182,1
0,0.555556,0
0,0.583333,0
0,0.4375,0
0,0.356522,1
0,0.333333,1
0,0.418182,1
0,0.369565,1
0,0.272727,0
0,0,0
0,0.522727,0
0,0.261905,1
0,0.353448,1
0,1,0
0,0.183333,0
0,0.198864,0
0,0.5,1
0,0.555556,0
0,1,0
0,0.297619,1
0,0.368421,1
0,0.485714,0
0,1,1
40,0.8,1
0,0.282407,1
0,0.666667,1
0,0.522727,1
0,0.322222,1
0,0.470588,1
1,0.3625,1
0,0.583333,0
0,0.75,0
0,0.294872,1
0,0.777778,0
1,0.6,1
0,0.203704,1
0,0.342857,1
0,0.4,0
0,0.514286,0
0,0.666667,1
0,0.522727,0
0,0.5,1
0,0.265306,0
0,0.5,0
0,0.571429,1
0,0.555556,0
0,0.35,1
0,0.297101,1
0,0.27305,1
0,0.225,1
2,0.458333,0
0,0.522727,1
0,0.522727,1
0,0.298611,1
0,0.666667,0
100,0.5,1
0,0.287356,1
0,0.452381,1
0,0.2,1
0,0.418182,1
0,0.5,0
0,0.522727,1
0,0.5,0
0,0.144796,1
0,0.172222,1
0,0.40625,1
0,0.6,1
0,0.522727,0
0,0.522727,0
0,0.4,1
0,0.418182,1
0,0.228571,1
0,0.303571,0
0,0.5,0
0,0.239382,1
0,0.433333,0
0,0,1
0,0.483333,1
0,0.368421,1
0,0.375,1
0,0,0
0,0.375,0
2,0.55,1
0,0.522727,1
0,0.425,0
0,0.165957,1
0,0.666667,1
0,0.368421,0
0,0.407407,0
0,0.357143,1
0,0.5,0
0,0.418182,1
0,0.470588,1
0,0.36,1
