@relation poi-1.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R11

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
2,0,128,1,5,23,0.948864,0.363636,3,0.352,6,15.28,0.92,1
2,0,138,1,4,20,0.84689,0.909091,7,0.225,2,15.25,0.9,1
2,0,235,2,6,21,0.924242,0.444444,0,0.289855,5,15.086957,1.4783,1
2,0,159,2,3,18,0.702381,0.75,0,0.266234,6,13.590909,1.4545,1
4,0,6,2,1,4,2,0,0,0.666667,0,4,0,1
1,0,9,2,4,7,0.833333,1,5,0.571429,0,22.857143,1,1
2,0,37,2,3,14,0.833333,0.833333,2,0.375,2,9.357143,0.8571,0
2,0,49,2,3,9,0.933333,0.333333,0,0.522727,6,8.454545,0.8182,0
2,0,43,1,4,9,0.85,0.5,0,0.522727,6,9.454545,0.8182,1
1,0,0,0,10,4,0,1,2,0.5625,0,121,2,1
3,0,120,1,3,16,2,0,0,0.53125,0,5.5625,0.9375,1
2,0,43,3,4,12,0.717949,0.666667,0,0.517857,6,23.5,1.1429,1
2,0,43,2,3,9,0.85,0.5,0,0.418182,6,9.454545,1,0
2,0,10,0,1,5,1,1,0,0.6,2,2.4,0.6,1
2,0,49,2,3,9,0.933333,0.333333,0,0.522727,6,8.363636,0.8182,0
1,0,32,0,93,5,0.75,0.5,0,0.253968,0,118.666667,11.1111,1
1,0,24,6,2,8,0.863636,1,0,0.214286,0,25.25,1.25,0
2,0,10,4,4,5,2,0,0,0.5,0,9,0.8,0
2,0,39,1,5,21,0.772727,0.875,4,0.356522,6,15.26087,0.913,1
1,0,0,5,1,1,2,0,0,1,0,0,1,0
1,0,0,2,5,7,0.571429,1,2,0.458333,0,15.375,1.375,0
2,0,24,1,2,9,0.9375,0.75,0,0.416667,2,3.888889,0.7778,1
1,0,3,0,2,2,2,0,0,0.333333,0,36.333333,2.3333,0
2,0,49,2,3,9,1,0.2,0,0.522727,6,8.454545,0.8182,1
2,0,4,1,5,15,0.7,0.8,3,0.376471,6,13.529412,0.8824,1
1,0,6,6,0,4,2,0,0,1,0,0,1,0
1,0,9,2,2,4,0.8,1,0,0.666667,0,34.833333,1.1667,1
1,0,0,6,1,1,2,0,0,1,0,0,1,0
2,0,198,2,5,19,0.921429,0.857143,0,0.361905,4,9.809524,1.5714,1
1,0,0,1,1,4,0.222222,1,1,0.4375,1,30.5,2.5,0
1,0,4,1,6,4,0.333333,0,0,0.416667,0,19.25,1.25,0
2,0,43,1,4,9,0.85,0.5,0,0.522727,6,9.454545,0.8182,1
2,0,43,2,3,9,0.85,0,0,0.418182,6,9.454545,1,0
2,0,49,2,3,9,0.933333,0.333333,0,0.522727,6,8.454545,0.8182,0
1,0,0,0,0,0,2,0,0,0,0,0,0,0
1,0,21,4,3,7,2,0,0,0.4,0,0,1,1
2,0,115,1,5,37,0.858553,0.9375,9,0.277778,6,16.461538,0.9487,0
1,0,0,3,3,41,1,0.066667,1,0.304762,0,5.761905,0.9762,1
2,0,2,4,3,6,0.6875,0.75,0,0.527778,6,14.666667,1.1111,1
2,0,28,3,2,8,1.142857,0,0,0.40625,2,5.75,0.75,1
2,0,10,1,1,5,1.25,0.5,0,0.6,2,2.2,0.6,1
3,3,4,3,0,5,0.5,1,0,0.6,0,4.6,0.2,1
2,0,141,3,4,17,0.814815,0.833333,0,0.307018,6,12,0.8947,1
1,0,0,10,0,9,0.25,1,0,0.311111,1,31.444444,1.8889,0
1,0,2,3,2,4,0.75,1,2,0.36,0,5.4,0.8,0
1,3,257,13,5,16,0.958418,1,14,0.2,0,20.233333,1.1333,1
1,0,4,4,3,2,0.333333,1,0,0.333333,0,10,0.75,0
2,0,72,1,3,10,0.916667,0.5,0,0.519231,5,15.846154,1.0769,1
2,0,3214,5,4,93,0.981195,0.483146,34,0.313684,6,13.46875,0.9896,1
2,0,49,2,3,9,0.85,0.5,0,0.522727,6,8.454545,0.8182,1
1,0,0,5,1,3,0.25,1,0,0.666667,0,24.333333,0.6667,1
2,0,43,0,4,9,0.85,0.5,0,0.522727,6,9.454545,0.8182,1
2,0,43,2,3,9,0.85,0.5,0,0.418182,6,9.363636,1,1
2,0,43,2,3,9,0.85,0.5,0,0.418182,6,9.363636,1,1
2,0,4,1,4,2,0.833333,1,1,0.4,1,25.5,1.25,0
1,0,9,4,10,5,0.722222,1,0,0.166667,0,93.285714,2,1
1,0,1888,4,44,45,0.880784,0.882353,8,0.108571,0,28.355263,1.8421,1
1,0,0,6,1,1,2,0,0,1,0,0,1,0
2,0,1,1,1,2,2,0,0,0.666667,1,3.5,0.5,0
1,0,0,1,0,5,0.2,1,0,0.166667,0,43.166667,2,1
1,0,3,2,7,3,2,0,0,0.583333,0,39.333333,0.6667,1
2,0,193,3,4,45,0.879348,0.95,12,0.32766,6,16.787234,1,1
2,0,66,2,4,11,0.777778,0.666667,0,0.333333,6,12.230769,1.1538,1
1,0,0,2,16,24,0.723077,0.8,2,0.183761,0,19.296296,1.4815,1
2,0,479,2,4,35,0.898649,0.9375,6,0.335135,6,12.684211,0.9211,0
2,0,217,2,4,23,0.864,0.9,3,0.352,6,11.730769,0.8846,1
1,2,19,3,4,6,0.611111,1,2,0.325,0,5.9,1.3,0
1,0,3,10,1,3,1.5,0,0,0.666667,0,0,1,1
1,0,9,2,3,11,0.25,1,0,0.454545,0,7.181818,0.6364,0
2,0,119,1,4,17,0.824074,0.833333,0,0.460526,6,13.473684,0.8947,1
1,0,6,4,1,4,2,0,0,0.583333,0,0,1,0
2,0,174,4,3,19,0.961765,0.352941,0,0.452381,6,11.761905,0.9048,1
2,0,49,2,3,9,0.85,0.5,0,0.418182,6,9,0.9091,1
1,0,21,1,3,11,0.533333,1,0,0.454545,0,6.909091,0.6364,0
2,0,49,2,3,9,0.85,0.5,0,0.418182,6,9,0.9091,0
3,0,15,1,0,6,1.177143,0.057143,2,0.3,2,39,1.1667,1
1,4,6,4,1,1,2,0,0,0.666667,0,2.75,0.75,0
2,0,43,2,3,9,0.8,0,0,0.418182,6,15.363636,1.0909,0
2,0,1,3,1,2,2,0,0,0.666667,1,3.5,0.5,0
1,0,0,9,0,1,2,0,0,1,0,0,1,0
2,0,36,3,3,7,1.125,0,0,0.555556,6,6.888889,0.7778,1
1,0,1,1,4,0,2,0,0,0.5,0,40,0.5,0
2,0,30,1,4,9,0.90625,0.375,4,0.388889,2,9.888889,0.7778,1
2,0,217,0,5,33,0.923274,0.565217,6,0.280952,6,16.685714,0.9429,1
1,0,9,4,3,11,0.25,1,0,0.522727,0,6.545455,0.6364,0
2,0,35,1,3,9,0.8,0.5,0,0.418182,6,9.636364,0.8182,1
1,15,28,21,13,8,2,0,0,0.458333,0,19.75,2.625,1
2,0,66,3,2,11,1.090909,0.333333,0,0.333333,2,6.833333,1.0833,1
1,0,0,1,3,2,0,0,1,0.666667,0,5.5,0.5,0
2,0,43,0,4,9,0.85,0.5,0,0.522727,6,9.454545,0.8182,1
3,0,171,1,3,19,2,0,0,0.526316,0,5.631579,0.9474,1
2,0,87,2,5,12,0.871429,0.8,0,0.516667,5,14,1,0
1,0,0,3,1,1,2,0,0,1,0,0,1,0
2,0,94,1,4,15,0.8125,0.8,0,0.470588,6,12.823529,0.8824,1
2,0,312,2,4,26,0.796296,0.833333,0,0.21875,6,14.285714,1.8571,1
2,0,40,1,5,15,0.830357,0.571429,2,0.376471,6,13.294118,0.8824,1
2,0,43,2,3,9,0.85,0,0,0.418182,6,9.454545,1,1
2,1,0,7,5,6,0.357143,1,0,0.375,1,33.5,1.625,0
2,0,252,4,4,22,0.782609,0.8,0,0.305556,6,14.041667,1.7917,1
2,0,28,2,2,8,1.142857,0,0,0.40625,2,5.75,0.75,1
1,0,4,1,1,2,0.333333,1,0,0.466667,0,35.25,1.25,0
2,0,49,2,3,9,0.975,0.25,0,0.522727,6,8.454545,0.8182,0
2,0,164,1,5,23,0.828704,0.888889,2,0.352,6,15.12,0.92,1
2,0,349,3,5,18,0.888288,0.933333,1,0.243421,7,41.368421,2.3158,1
1,0,1269,5,34,24,0.892573,1,2,0.187192,0,39.372881,1.4407,1
2,0,9,5,2,5,0.5,1,1,0.342857,0,5.714286,0.7143,0
1,0,15,2,0,6,1.2,0,0,0.333333,0,21.666667,2,1
2,0,3,5,1,3,1.5,0,0,0.555556,1,11.333333,1,0
2,0,54,4,2,8,0.924242,1,1,0.3125,2,17,1.3333,0
2,0,104,2,4,15,0.883929,0,1,0.485294,6,15.823529,1.1765,1
1,0,0,1,0,0,2,0,0,0,0,0,0,0
1,0,3,0,1,2,2,0,0,0.333333,0,104,0.6667,1
1,0,0,0,0,24,0.388889,1,0,0.313333,1,24.04,2.6,0
1,0,1,0,6,2,2,0,0,0.5,0,13,0.5,1
1,0,36,12,0,9,2,0,0,0.555556,0,0,1,1
2,0,49,2,3,9,0.85,0.5,0,0.522727,6,8.454545,0.8182,0
2,0,43,2,3,9,0.85,0.5,0,0.418182,6,9.363636,1,0
1,0,0,4,0,24,0.388889,1,0,0.36,1,24.04,2.6,0
1,0,78,2,1,16,0.533333,1,0,0.291667,0,9.5,1.625,0
1,0,190,1,7,13,2,0,0,0.2,0,20.65,1.7,0
2,0,213,4,4,20,0.75,0.75,0,0.310606,6,13.818182,1.8636,1
2,0,49,2,3,9,0.933333,0.333333,0,0.418182,6,8.363636,0.8182,1
2,0,122,1,5,19,0.94,0.4,1,0.301587,6,14.190476,0.9048,1
2,0,119,0,4,17,0.901235,0.555556,0,0.460526,6,13.473684,0.8947,1
