@relation 'poi-2.5_deleteColumns-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute -0.395rfc-0.375wmc-0.343npm-0.304lcom-0.276loc... numeric
@attribute -0.418ic-0.403cbm-0.373dit-0.37mfa+0.264cbo... numeric
@attribute -0.523ca-0.43cbo-0.396noc-0.276lcom3+0.231dam... numeric
@attribute -0.36moa+0.345max_cc+0.345mfa+0.344avg_cc+0.301ce... numeric
@attribute -0.508dam+0.502lcom3-0.279noc-0.258ca+0.257loc... numeric
@attribute '-0.657amc-0.533loc+0.28 max_cc+0.232ce-0.196noc...' numeric
@attribute -0.407dam+0.387cbm-0.356moa-0.348cam-0.313dit... numeric
@attribute 0.742cam+0.339cbm+0.262ic-0.253dit+0.252noc... numeric
@attribute '0.736noc-0.372ca+0.29 moa-0.274cbo-0.245cam...' numeric
@attribute 0.602moa+0.475avg_cc-0.306rfc-0.292ce-0.226lcom... numeric
@attribute -0.453ce+0.419avg_cc-0.339lcom3-0.29moa-0.268ic... numeric
@attribute -0.571lcom3-0.57dam-0.385lcom+0.258moa-0.211avg_cc... numeric
@attribute bug {1,0}

@data
-3.12993,-1.895072,0.072983,-1.718216,-0.495227,-0.328329,-0.297197,0.498513,0.579207,1.491344,-0.739546,0.48824,1
-0.808181,2.092549,-1.325357,-0.739926,-2.65146,-0.485235,0.169077,-0.587935,0.213209,-0.336669,0.19892,-0.709414,0
-1.392559,1.316751,1.236748,-1.127926,-1.134159,0.040991,-0.036393,-0.781078,0.2258,0.410398,0.119481,-0.097616,1
0.192179,-1.334068,-0.240292,0.380501,0.246649,0.041684,0.53873,0.404873,-0.149643,-0.277839,-0.093578,0.255991,1
0.774632,-1.020518,0.078444,0.593277,-0.334416,-0.199622,-0.398479,-0.41736,0.152025,-0.226803,-0.324985,-0.014154,1
0.66833,-1.469645,-0.235891,0.679539,-0.069805,0.149976,0.043408,0.584609,-0.201913,-0.269581,-0.163756,0.088263,1
2.321907,-0.122036,-1.37247,0.684717,2.224657,0.430337,-0.892416,-0.939231,0.503572,0.68592,0.686234,-0.781765,0
-0.509752,-0.012784,-0.040309,0.709967,-0.194216,0.188238,-2.102155,1.00758,0.151736,-0.25128,-1.490866,0.412815,0
0.471513,1.590729,0.511171,-0.988126,-0.020243,0.403288,0.476874,-0.578768,0.168345,-0.296436,-0.068966,1.146098,1
-0.152551,-0.715951,0.419693,1.828658,-0.974144,-0.302887,-1.223974,-0.326019,0.052761,0.077133,0.350596,-0.26892,1
