@relation 'poi-2.5_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-5,7-9,11,14,18-19'

@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
0,90,0.838141,0.9375,9,0.275,1,6,0.95,1
14,164,0.842105,1,0,0.2375,0,0,1.05,0
0,86,0.673913,0.833333,3,0.183333,0,0,1.7083,1
0,72,0.933333,0.333333,0,0.46875,1,6,0.875,1
0,4,0.8,0.6,0,0.375,1,2,0.625,1
0,49,0.85,0.5,0,0.522727,1,6,0.8182,1
0,1,2,0,0,0.555556,0,0,1.3333,0
0,20,0.821429,1,4,0.666667,1,1,0.875,0
0,6,0.787879,0,1,0.375,0,0,1,1
1,0,0.357143,1,0,0.375,1,1,1.625,1
0,88,0.683333,0,1,0.21875,0,0,1.125,1
0,89,0.721088,0.857143,2,0.233766,1,2,1.0455,1
0,258,0.758333,0.8,0,0.3,1,6,1.76,1
0,611,0.953972,0.5,14,0.266129,1,6,0.9677,1
0,79,0.785714,0.666667,0,0.483333,1,6,1.2,1
0,0,0.684211,0.833333,4,0.36,1,6,0.9,1
0,0,2,0,0,0,0,0,0,0
2,0,0,1,1,0.55,1,2,0.9,1
0,54,0.818182,0.5,0,0.5,1,6,0.8333,1
0,0,0.925951,0.4375,3,0.144928,0,0,1.6559,1
0,0,2,0,0,1,0,0,1,0
0,130,1.047118,0.019048,2,0.161538,2,7,2.4,1
0,89,0.878216,0.727273,4,0.140162,0,0,2.2963,1
0,479,0.898649,0.9375,6,0.335135,1,6,0.9211,1
0,209,0.846154,0.9,3,0.346154,1,6,0.8889,1
0,0,0.821429,1,6,0.583333,1,2,1.375,0
0,6,2,0,0,0.583333,0,0,1,0
0,46,0.818182,0.5,0,0.4,1,6,1,1
3,6,2,0,0,0.6875,0,0,1.25,1
0,312,0.860465,0.944444,8,0.327273,1,6,0.9545,1
2,0,0.5,1,2,0.458333,0,0,1.1667,0
0,54,0.818182,0.5,0,0.5,1,6,0.8333,1
0,21,0.685185,0.833333,2,0.225564,1,2,0.9474,1
0,43,0.8,0,0,0.418182,1,6,1.0909,1
132,105,2,0,0,0.483333,0,0,0.8,1
0,46,0.777778,0.333333,0,0.333333,1,6,1.0769,1
0,53,1.033333,1,0,0.157143,0,0,1.6364,0
0,46,0.818182,0.5,0,0.4,1,6,1,1
2,42,0.818182,0,0,0.708333,0,0,0.8333,0
0,0,0.976667,0.133333,1,0.253968,0,0,0.9524,1
0,6,2,0,0,1,0,0,1,0
0,7,0.75,1,0,0.55,0,0,2,1
0,0,2,0,0,1,0,0,0,0
0,0,0.222222,1,1,0.4375,1,1,2.5,0
0,46,0.818182,0.5,0,0.5,1,6,0.8333,1
0,36,1.125,0,0,0.333333,0,0,0.7778,1
0,6,0.672727,0,0,0.316667,1,1,1,1
0,0,0.5,1,0,0.5,1,1,4.8,0
0,43,0.833333,0.666667,0,0.333333,1,5,1,0
0,15,2,0,0,0.291667,0,0,0.8333,0
0,0,0.333333,0,1,0.47619,0,0,2.1429,0
0,10,1.25,0,0,0.5,1,2,0.4,1
0,88,0.683333,0,1,0.21875,0,0,1.125,0
0,0,0.5,0.5,0,0.075456,2,20,0.9882,1
2,3,0.333333,1,0,0.34,0,0,1,0
0,111,0.776471,0.8,0,0.458333,1,6,0.8889,1
0,78,0.533333,1,0,0.291667,0,0,1.625,0
0,57,0.769231,0.666667,0,0.482143,1,6,0.8571,1
0,258,0.758333,0.8,0,0.257143,1,6,1.76,1
1,4,0.833333,1,0,0.416667,0,0,2,1
0,4,0.875,0.5,0,0.35,1,5,1.3333,1
0,0,0,0,1,0.666667,0,0,0.5,0
0,55,1.1,0.333333,0,0.272727,0,0,0.8182,1
4,15,2,0,0,0.333333,0,0,2.3333,1
0,87,0.871429,0.8,0,0.516667,1,5,1,1
0,66,0.85,0.4,0,0.313725,1,6,1.2353,1
0,21,1.166667,0.5,0,0.428571,1,2,0.7143,1
2,106,0.760417,0.5,0,0.485294,1,6,1.5294,1
0,5,0.740741,1,0,0.228571,1,2,1.2,0
0,1,2,0,0,0.625,0,0,6,0
0,46,0.818182,0,0,0.4,1,6,1,1
0,0,2,0,0,0,0,0,0,0
0,0,0.888889,0.333333,0,0.52381,1,5,0.7143,1
0,28,0.6875,1,0,0.333333,0,0,3.2222,1
0,0,0.166667,1,2,0.428571,0,0,1,1
0,9,0.5,1,1,0.342857,0,0,0.7143,0
0,0,0.923684,0,1,0.302564,0,0,1.0256,0
0,1,2,0,0,0.5,0,0,1,0
0,54,0.924242,1,1,0.3125,1,2,1.3333,0
0,281,0.940909,0.545455,0,0.230415,1,5,1.0645,0
0,0,2,0,0,0,0,0,0,0
0,66,0.805556,0.666667,0,0.4,1,6,0.8462,1
0,69,0.74359,0.666667,0,0.321429,1,6,1.1429,1
0,74,0.75,0.75,0,0.294118,1,6,1.1176,1
0,0,0.333333,1,0,0.5,0,0,2.3333,0
0,9,0.25,1,0,0.454545,0,0,0.6364,0
0,114,0.789474,0.833333,0,0.45,1,6,0.9,1
0,0,0.818182,0.636364,5,0.291667,1,6,0.9167,1
0,169,0.946779,0.352941,0,0.443182,1,6,0.9091,1
0,0,0.583333,1,2,0.4,0,0,0.8,0
0,0,0.5,1,1,0.511111,0,0,1.1111,1
0,10,1.25,0,0,0.55,1,3,0.2,1
4,6,2,0,0,0.666667,0,0,0.75,0
0,155,0.975369,0.238095,4,0.34,1,6,0.9333,1
0,0,2,0,0,1,0,0,1,0
0,45,1.111111,0,0,0.525,1,6,0.8,1
0,196,0.909317,0.565217,6,0.277778,1,6,0.9444,1
0,77,0.861538,0.8,0,0.517857,1,5,1,1
0,66,1.090909,1,0,0.27381,0,0,2.5833,1
0,54,0.981818,0.2,0,0.5,1,6,0.8333,1
0,36,1.125,0,0,0.555556,1,6,0.7778,1
0,6,0.875,0.333333,0,0.355556,1,5,1.1111,0
0,219,0.850649,0.857143,0,0.347826,1,5,1.5652,1
0,69,0.74359,0.666667,0,0.321429,1,6,1.1429,1
0,100,0.75,0.888889,3,0.221675,1,2,1.0345,1
0,6,2,0,0,0.5,0,0,1,1
0,0,2,0,0,0,0,0,0,0
0,38,0.822917,0.666667,1,0.27451,1,5,1.1765,0
0,36,1.125,0,0,0.333333,0,0,0.7778,1
0,0,0.25,1,0,0.311111,1,1,1.8889,0
0,3,0.75,1,2,0.333333,0,0,0.8333,0
0,175,0.630952,0,0,0.30303,1,5,2.0909,1
0,106,0.753788,0.909091,7,0.18,0,0,1.32,1
3,325,1.04,0,0,0.544872,0,0,1.9615,0
0,8,0.821429,0.083333,0,0.642857,0,0,0.625,1
0,0,2,0,0,0.466667,0,0,0.8,0
0,6,0.916667,0.666667,2,0.55,1,1,1.4,1
48,15,1.2,1,0,0.666667,0,0,0.8333,1
0,228,0.770833,0.833333,0,0.251429,2,6,1.64,1
0,3,2,0,0,0.5,0,0,0.6667,0
0,39,0.851852,0.333333,0,0.283333,1,2,0.7,1
0,0,0.25,1,0,0.666667,0,0,0.6667,1
0,9,0.25,1,0,0.454545,0,0,0.6364,0
