@relation 'poi-3.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1,4-5,7-9,11,19'

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,9,0.833333,1,5,0,0.571429,0,0,27.714286,1,1
3,0,10,1.25,0,0,0.92,0.4,1,1,6.8,0.4,0
2,0,6,2,0,0,0.769231,0.7,1,1,8.2,1,1
2,0,35,0.8,0.5,0,0.55,0.257576,1,4,8.545455,0.9091,1
2,0,36,1.125,0,0,0.3,0.259259,0,0,5.333333,0.7778,0
1,0,0,0.5,1,3,0,0.198864,0,0,27.0625,1.0625,1
2,0,27,0.833333,0.75,0,0.466667,0.28,1,2,9,0.8,1
1,0,9,1.164242,0.003636,0,0,0.190476,0,0,168.285714,1.2857,1
1,0,0,2,0,0,0,1,0,0,3,0,0
2,1,0,0.125,0,0,0.533333,0.351852,1,1,18,1.1111,1
3,0,15,1.2,0,0,0.851852,0.333333,0,0,4,0.6667,0
1,3,325,1.04,0,0,0,0.544872,0,0,25.461538,1.9615,1
3,0,0,2,0,0,0.777778,0.466667,0,0,6,0.8,1
1,49,15,1.2,1,0,0,0.666667,0,0,152.5,0.8333,0
1,0,3,2,0,0,0,0.5,0,0,13.333333,0.6667,1
1,0,0,0.25,1,0,0,0.666667,0,0,26,0.6667,1
2,0,32,1.034091,0.125,0,0.633333,0.35,1,5,24.583333,2,1
3,0,82,0.266667,1,0,0.782609,0.1875,2,7,24.8125,1.1875,0
2,0,35,0.8,0.5,0,0.55,0.257576,1,4,9,1.0909,1
2,0,4,0.833333,1,1,0.5,0.4,1,1,25.5,1.25,1
2,1,111,0.552,0.8,0,0.264706,0.288462,1,1,21.5,1.6923,1
3,0,15,1.2,0,0,0.875,0.333333,1,1,4,0.6667,0
4,4,22,0.428571,1,0,0.809524,0.35,1,1,7.125,0.75,0
3,0,6,1.333333,0,0,0.96,0.5,1,3,3.25,0.25,1
3,0,26,0.857143,0.25,1,0.9,0.342857,1,1,35.375,1.125,1
2,0,0,0.738636,0.875,6,0.34375,0.253623,1,4,13.086957,0.9565,1
3,0,4,0.5,1,0,0.944444,0.6,0,0,4.6,0.2,0
1,0,0,0,1,0,0,0.5,0,0,27.75,1.25,0
1,0,24,0.714286,0.5,0,0,0.234375,0,0,123.75,17.125,1
2,0,36,1.125,0.333333,0,0.3,0.259259,0,0,5.333333,0.7778,0
2,0,77,0.759259,0.833333,1,0.392857,0.254386,1,4,14.684211,0.9474,1
2,0,10,2,0,0,0.555556,0.5,0,0,9,0.8,0
1,0,104,0.846429,0.4375,5,0,0.124074,0,0,34.5,2.7778,1
1,0,2,0.666667,0,1,0,0.36,0,0,21.8,2.2,1
1,0,0,0.571429,1,2,0,0.458333,0,0,15.375,1.375,1
1,0,331,0.873563,0,0,0,0.391667,0,0,24.566667,2.6667,1
1,0,3,2,0,0,0,0.333333,0,0,36.333333,2.3333,0
1,0,91,1.076923,1,0,0,0.255102,0,0,31.642857,2.5714,1
2,0,108,0.939394,0.363636,3,0.323529,0.253333,1,4,15.56,0.96,1
2,0,199,0.714286,0.75,0,0.354839,0.227273,1,4,13.863636,1.9091,1
3,0,6,1.333333,0,0,0.923077,0.625,1,2,2.75,0.5,0
2,0,34,0.854167,0.5,0,0.612903,0.323077,1,5,12.461538,0.9231,1
2,0,36,1.125,0,0,0.3,0.259259,0,0,5.666667,0.7778,1
1,0,0,2,0,0,0,1,0,0,0,1,0
2,0,44,0.757576,0.666667,0,0.52381,0.316667,1,4,9,0.9167,1
2,0,35,0.8,0.5,0,0.55,0.257576,1,4,8.545455,0.9091,1
2,0,3,0.851852,0.333333,0,0.5,0.228571,1,2,7,0.9,0
1,5,15,2,0,0,0,0.333333,0,0,33.5,2.5,0
2,0,39,0.833333,0.5,0,0.578947,0.32,1,4,7.9,0.9,1
2,0,62,0.853333,0.4,0,0.44,0.223214,1,4,16.5,1.3125,1
2,0,21,1.166667,0.5,0,0.583333,0.314286,1,2,3.285714,0.7143,0
1,0,1,0.5,1,0,0,0.5,0,0,11,0.6667,1
5,0,6,2,0,0,1,0.666667,0,0,4,0,0
2,0,298,0.767857,0.833333,0,0.289474,0.172414,1,4,15.206897,2.1379,1
2,0,32,0.8125,0.571429,2,0.423077,0.254902,1,4,12.882353,0.9412,1
1,0,3,0.083333,1,1,0,0.303571,0,0,39,1.8571,1
2,0,35,0.8,0,0,0.55,0.257576,1,4,9.090909,1.0909,1
1,0,0,2,0,0,0,0,0,0,0,0,1
3,0,0,0.888889,0.333333,0,0.772727,0.357143,1,5,15.142857,0.7143,0
1,0,28,0.6875,1,0,0,0.333333,0,0,45,3.2222,0
1,0,0,0.083333,1,2,0,0.428571,0,0,15.571429,1.4286,1
1,0,1,0.833333,0.333333,2,0,0.5,0,0,22.166667,1.6667,0
3,0,10,1.25,0,0,0.933333,0.4,1,1,9.2,0.4,0
1,0,1,2,0,0,0,0.5,0,0,68.5,1,1
1,0,3,2,0,0,0,0.416667,0,0,80.333333,5.6667,0
2,0,6,0.75,1,2,0.555556,0.55,1,1,34.8,1.2,1
2,0,103,0.848739,0,1,0.407407,0.311111,1,4,15.333333,1.2222,1
6,0,0,2,0,0,1,1,0,0,5,0,0
2,0,167,0.871739,0.95,12,0.196429,0.251773,1,4,14.340426,1.0213,1
1,0,1,0,1,1,0,0.514286,0,0,35.571429,0.7143,1
4,0,6,2,0,0,1,0.666667,0,0,4,0,0
2,0,1362,0.927083,1,1,0.25,0.265306,1,7,30.473684,2.5263,1
1,0,0,0.333333,1,0,0,0.5,0,0,25.666667,2.3333,0
1,0,9,0.25,1,0,0,0.454545,0,0,7.181818,0.6364,0
2,0,95,0.777778,0.833333,0,0.392857,0.305263,1,4,15.421053,0.9474,1
2,0,0,0.830579,0.636364,5,0.34375,0.217391,1,4,13.695652,0.9565,1
3,0,10,1.25,0,0,0.92,0.4,1,1,6.8,0.4,0
3,0,15,1.2,0,0,0.875,0.333333,1,1,4,0.6667,0
1,0,0,0.583333,1,2,0,0.4,0,0,7,0.8,0
3,0,15,1.2,0,0,0.851852,0.333333,0,0,4,0.6667,0
1,0,0,2,0,0,0,1,0,0,3,0,0
5,2,0,2,0,0,1,1,0,0,31,0,0
