@relation 'poi-3.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R1-2,4-9,11,14,16-20'

@attribute noc numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute bug {1,0}

@data
0,0.833333,1,5,0.571429,1
0,1.25,0,0,0.4,0
0,2,0,0,0.7,1
0,0.8,0.5,0,0.257576,1
0,1.125,0,0,0.259259,0
0,0.5,1,3,0.198864,1
0,0.833333,0.75,0,0.28,1
0,1.164242,0.003636,0,0.190476,1
0,2,0,0,1,0
1,0.125,0,0,0.351852,1
0,1.2,0,0,0.333333,0
3,1.04,0,0,0.544872,1
0,2,0,0,0.466667,1
49,1.2,1,0,0.666667,0
0,2,0,0,0.5,1
0,0.25,1,0,0.666667,1
0,1.034091,0.125,0,0.35,1
0,0.266667,1,0,0.1875,0
0,0.8,0.5,0,0.257576,1
0,0.833333,1,1,0.4,1
1,0.552,0.8,0,0.288462,1
0,1.2,0,0,0.333333,0
4,0.428571,1,0,0.35,0
0,1.333333,0,0,0.5,1
0,0.857143,0.25,1,0.342857,1
0,0.738636,0.875,6,0.253623,1
0,0.5,1,0,0.6,0
0,0,1,0,0.5,0
0,0.714286,0.5,0,0.234375,1
0,1.125,0.333333,0,0.259259,0
0,0.759259,0.833333,1,0.254386,1
0,2,0,0,0.5,0
0,0.846429,0.4375,5,0.124074,1
0,0.666667,0,1,0.36,1
0,0.571429,1,2,0.458333,1
0,0.873563,0,0,0.391667,1
0,2,0,0,0.333333,0
0,1.076923,1,0,0.255102,1
0,0.939394,0.363636,3,0.253333,1
0,0.714286,0.75,0,0.227273,1
0,1.333333,0,0,0.625,0
0,0.854167,0.5,0,0.323077,1
0,1.125,0,0,0.259259,1
0,2,0,0,1,0
0,0.757576,0.666667,0,0.316667,1
0,0.8,0.5,0,0.257576,1
0,0.851852,0.333333,0,0.228571,0
5,2,0,0,0.333333,0
0,0.833333,0.5,0,0.32,1
0,0.853333,0.4,0,0.223214,1
0,1.166667,0.5,0,0.314286,0
0,0.5,1,0,0.5,1
0,2,0,0,0.666667,0
0,0.767857,0.833333,0,0.172414,1
0,0.8125,0.571429,2,0.254902,1
0,0.083333,1,1,0.303571,1
0,0.8,0,0,0.257576,1
0,2,0,0,0,1
0,0.888889,0.333333,0,0.357143,0
0,0.6875,1,0,0.333333,0
0,0.083333,1,2,0.428571,1
0,0.833333,0.333333,2,0.5,0
0,1.25,0,0,0.4,0
0,2,0,0,0.5,1
0,2,0,0,0.416667,0
0,0.75,1,2,0.55,1
0,0.848739,0,1,0.311111,1
0,2,0,0,1,0
0,0.871739,0.95,12,0.251773,1
0,0,1,1,0.514286,1
0,2,0,0,0.666667,0
0,0.927083,1,1,0.265306,1
0,0.333333,1,0,0.5,0
0,0.25,1,0,0.454545,0
0,0.777778,0.833333,0,0.305263,1
0,0.830579,0.636364,5,0.217391,1
0,1.25,0,0,0.4,0
0,1.2,0,0,0.333333,0
0,0.583333,1,2,0.4,0
0,1.2,0,0,0.333333,0
0,2,0,0,1,0
2,2,0,0,1,0
0,1.142857,0,0,0.325,1
0,0.875,0.333333,0,0.355556,1
0,0.843537,0.857143,0,0.25,1
0,0.75,0.8,0,0.218487,1
0,0.722222,0.5,0,0.3,1
6,0.740741,0.888889,3,0.193548,1
0,2,0,0,0.4,1
0,2,0,0,0,0
0,0.642857,1,0,0.196429,1
0,2,0,0,0.314815,0
0,1.001035,0.043478,1,0.302326,1
0,0.815126,0.857143,1,0.259259,1
0,0.75,1,1,0.407407,0
0,2,0,0,0.25,0
0,2,0,0,0.4,0
0,0.966667,0.6,0,0.357143,0
0,2,0,0,0.625,0
0,1.125,0,0,0.259259,0
0,0.75,1,2,0.333333,1
0,0.753788,0.909091,7,0.155556,1
0,0.821429,0.083333,0,0.642857,1
0,0.916667,0.666667,2,0.55,1
0,0.9,0.333333,0,0.257576,1
0,0.92,0.4,2,0.190476,1
0,2,0,0,0.666667,0
0,0.25,1,0,0.454545,0
0,0,1,1,0.75,0
0,0.8,0.5,0,0.309091,1
0,2,0,0,0.5,0
0,1.125,0,0,0.259259,0
0,1.111111,0.333333,0,0.25,1
4,0.5,1,0,0.6,0
0,2,0,0,0,0
0,2,0,0,0.833333,1
0,0.788462,0.75,0,0.314286,1
0,0.809524,0.857143,0,0.254386,1
