@relation poi-3.0_deleteColumns-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R17-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R10-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R6

@attribute dit numeric
@attribute noc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute lcom3 numeric
@attribute dam numeric
@attribute moa numeric
@attribute cam numeric
@attribute ic numeric
@attribute amc numeric
@attribute avg_cc numeric
@attribute bug {1,0}

@data
1,0,9,2,6,0.833333,1,5,0.571429,0,27.714286,1,1
3,0,10,2,2,1.25,0,0,0.4,1,6.8,0.4,0
2,0,6,4,1,2,0,0,0.7,1,8.2,1,1
2,0,35,2,5,0.8,0.5,0,0.257576,1,8.545455,0.9091,1
2,0,36,2,3,1.125,0,0,0.259259,0,5.333333,0.7778,0
1,0,0,9,14,0.5,1,3,0.198864,0,27.0625,1.0625,1
2,0,27,2,5,0.833333,0.75,0,0.28,1,9,0.8,1
1,0,9,5,1,1.164242,0.003636,0,0.190476,0,168.285714,1.2857,1
1,0,0,1,0,2,0,0,1,0,3,0,0
2,1,0,2,4,0.125,0,0,0.351852,1,18,1.1111,1
3,0,15,2,3,1.2,0,0,0.333333,0,4,0.6667,0
1,3,325,10,1,1.04,0,0,0.544872,0,25.461538,1.9615,1
3,0,0,3,1,2,0,0,0.466667,0,6,0.8,1
1,49,15,51,46,1.2,1,0,0.666667,0,152.5,0.8333,0
1,0,3,3,0,2,0,0,0.5,0,13.333333,0.6667,1
1,0,0,5,2,0.25,1,0,0.666667,0,26,0.6667,1
2,0,32,8,5,1.034091,0.125,0,0.35,1,24.583333,2,1
3,0,82,1,3,0.266667,1,0,0.1875,2,24.8125,1.1875,0
2,0,35,2,4,0.8,0.5,0,0.257576,1,9,1.0909,1
2,0,4,1,4,0.833333,1,1,0.4,1,25.5,1.25,1
2,1,111,212,3,0.552,0.8,0,0.288462,1,21.5,1.6923,1
3,0,15,2,3,1.2,0,0,0.333333,1,4,0.6667,0
4,4,22,11,0,0.428571,1,0,0.35,1,7.125,0.75,0
3,0,6,1,2,1.333333,0,0,0.5,1,3.25,0.25,1
3,0,26,4,1,0.857143,0.25,1,0.342857,1,35.375,1.125,1
2,0,0,0,7,0.738636,0.875,6,0.253623,1,13.086957,0.9565,1
3,0,4,3,0,0.5,1,0,0.6,0,4.6,0.2,0
1,0,0,2,5,0,1,0,0.5,0,27.75,1.25,0
1,0,24,1,133,0.714286,0.5,0,0.234375,0,123.75,17.125,1
2,0,36,2,3,1.125,0.333333,0,0.259259,0,5.333333,0.7778,0
2,0,77,1,7,0.759259,0.833333,1,0.254386,1,14.684211,0.9474,1
2,0,10,4,4,2,0,0,0.5,0,9,0.8,0
1,0,104,5,24,0.846429,0.4375,5,0.124074,0,34.5,2.7778,1
1,0,2,0,8,0.666667,0,1,0.36,0,21.8,2.2,1
1,0,0,2,5,0.571429,1,2,0.458333,0,15.375,1.375,1
1,0,331,3,0,0.873563,0,0,0.391667,0,24.566667,2.6667,1
1,0,3,0,2,2,0,0,0.333333,0,36.333333,2.3333,0
1,0,91,12,0,1.076923,1,0,0.255102,0,31.642857,2.5714,1
2,0,108,1,7,0.939394,0.363636,3,0.253333,1,15.56,0.96,1
2,0,199,5,5,0.714286,0.75,0,0.227273,1,13.863636,1.9091,1
3,0,6,1,2,1.333333,0,0,0.625,1,2.75,0.5,0
2,0,34,3,5,0.854167,0.5,0,0.323077,1,12.461538,0.9231,1
2,0,36,2,3,1.125,0,0,0.259259,0,5.666667,0.7778,1
1,0,0,3,1,2,0,0,1,0,0,1,0
2,0,44,2,4,0.757576,0.666667,0,0.316667,1,9,0.9167,1
2,0,35,2,5,0.8,0.5,0,0.257576,1,8.545455,0.9091,1
2,0,3,2,3,0.851852,0.333333,0,0.228571,1,7,0.9,0
1,5,15,6,22,2,0,0,0.333333,0,33.5,2.5,0
2,0,39,2,4,0.833333,0.5,0,0.32,1,7.9,0.9,1
2,0,62,4,5,0.853333,0.4,0,0.223214,1,16.5,1.3125,1
2,0,21,2,3,1.166667,0.5,0,0.314286,1,3.285714,0.7143,0
1,0,1,36,1,0.5,1,0,0.5,0,11,0.6667,1
5,0,6,1,1,2,0,0,0.666667,0,4,0,0
2,0,298,2,5,0.767857,0.833333,0,0.172414,1,15.206897,2.1379,1
2,0,32,1,7,0.8125,0.571429,2,0.254902,1,12.882353,0.9412,1
1,0,3,0,17,0.083333,1,1,0.303571,0,39,1.8571,1
2,0,35,2,4,0.8,0,0,0.257576,1,9.090909,1.0909,1
1,0,0,2,0,2,0,0,0,0,0,0,1
3,0,0,2,3,0.888889,0.333333,0,0.357143,1,15.142857,0.7143,0
1,0,28,0,11,0.6875,1,0,0.333333,0,45,3.2222,0
1,0,0,1,3,0.083333,1,2,0.428571,0,15.571429,1.4286,1
1,0,1,1,6,0.833333,0.333333,2,0.5,0,22.166667,1.6667,0
3,0,10,2,2,1.25,0,0,0.4,1,9.2,0.4,0
1,0,1,2,6,2,0,0,0.5,0,68.5,1,1
1,0,3,1,0,2,0,0,0.416667,0,80.333333,5.6667,0
2,0,6,1,16,0.75,1,2,0.55,1,34.8,1.2,1
2,0,103,2,5,0.848739,0,1,0.311111,1,15.333333,1.2222,1
6,0,0,6,1,2,0,0,1,0,5,0,0
2,0,167,3,6,0.871739,0.95,12,0.251773,1,14.340426,1.0213,1
1,0,1,7,6,0,1,1,0.514286,0,35.571429,0.7143,1
4,0,6,3,1,2,0,0,0.666667,0,4,0,0
2,0,1362,14,7,0.927083,1,1,0.265306,1,30.473684,2.5263,1
1,0,0,1,3,0.333333,1,0,0.5,0,25.666667,2.3333,0
1,0,9,2,3,0.25,1,0,0.454545,0,7.181818,0.6364,0
2,0,95,1,5,0.777778,0.833333,0,0.305263,1,15.421053,0.9474,1
2,0,0,1,7,0.830579,0.636364,5,0.217391,1,13.695652,0.9565,1
3,0,10,2,2,1.25,0,0,0.4,1,6.8,0.4,0
3,0,15,2,3,1.2,0,0,0.333333,1,4,0.6667,0
1,0,0,1,1,0.583333,1,2,0.4,0,7,0.8,0
3,0,15,2,3,1.2,0,0,0.333333,0,4,0.6667,0
1,0,0,0,0,2,0,0,1,0,3,0,0
5,2,0,5,3,2,0,0,1,0,31,0,0
2,0,28,1,4,1.142857,0,0,0.325,1,6.375,0.875,1
2,0,6,6,5,0.875,0.333333,0,0.355556,1,18.666667,1.1111,1
2,0,197,2,4,0.843537,0.857143,0,0.25,1,12.772727,1.6364,1
2,0,64,1,6,0.75,0.8,0,0.218487,1,14.588235,0.9412,1
3,0,3,2,4,0.722222,0.5,0,0.3,1,5.7,0.8,1
2,6,133,9,8,0.740741,0.888889,3,0.193548,1,17.193548,1,1
1,0,6,1,1,2,0,0,0.4,0,0,1,1
1,0,0,0,0,2,0,0,0,0,0,0,0
2,0,22,4,7,0.642857,1,0,0.196429,0,89.375,7.75,1
1,0,36,7,4,2,0,0,0.314815,0,0,1,0
1,0,0,5,2,1.001035,0.043478,1,0.302326,0,7.162791,1.2093,1
2,0,99,1,6,0.815126,0.857143,1,0.259259,1,11.277778,0.9444,1
2,0,30,3,7,0.75,1,1,0.407407,1,5,0.8889,0
1,0,6,0,11,2,0,0,0.25,0,19.75,0.75,0
1,0,45,14,0,2,0,0,0.4,0,0,1,0
1,0,9,2,0,0.966667,0.6,0,0.357143,0,6,0.8571,0
3,0,1,1,2,2,0,0,0.625,0,4.5,0,0
2,0,36,2,3,1.125,0,0,0.259259,0,5.333333,0.7778,0
1,0,3,1,6,0.75,1,2,0.333333,0,16.833333,0.8333,1
2,0,106,2,6,0.753788,0.909091,7,0.155556,0,16.64,1.32,1
1,0,8,0,2,0.821429,0.083333,0,0.642857,0,13.625,0.625,1
2,0,6,1,17,0.916667,0.666667,2,0.55,1,86.2,1.4,1
2,0,43,2,4,0.9,0.333333,0,0.257576,1,8,0.9091,1
2,0,92,1,8,0.92,0.4,2,0.190476,1,15.904762,0.9524,1
4,0,6,2,1,2,0,0,0.666667,0,4,0,0
1,0,9,2,3,0.25,1,0,0.454545,0,7.181818,0.6364,0
1,0,0,1,3,0,1,1,0.75,0,21.5,1,0
2,0,35,1,5,0.8,0.5,0,0.309091,1,9.909091,0.9091,1
1,0,1,0,3,2,0,0,0.5,0,27,0.5,0
2,0,36,2,3,1.125,0,0,0.259259,0,5.888889,0.7778,0
2,0,45,2,3,1.111111,0.333333,0,0.25,0,5.4,0.8,1
3,4,4,5,0,0.5,1,0,0.6,0,4.6,0.2,0
